Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Верхневилюйская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11304	695	828	582	754	868	675	673	33	279	132	175	411	421	171	377	318	233	370	327	251	283	222	31	484	31	229	161	150	51	183	241	284	248	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11258	614	773	574	672	796	643	576	31	323	118	159	414	419	192	395	292	309	392	293	239	280	252	33	482	50	321	179	171	53	234	263	324	285	107									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6822	342	375	292	365	458	378	312	22	171	87	124	304	301	119	237	198	177	286	199	182	194	170	22	290	31	144	132	111	37	151	132	211	174	94									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	361	15	16	8	15	19	14	36	0	13	0	5	23	30	9	10	6	9	9	14	4	12	7	0	27	0	8	4	7	0	10	13	11	7	0									
6	Число погашенных избирательных бюллетеней	4072	257	382	274	292	319	251	228	9	138	31	30	87	88	64	148	88	123	97	80	53	74	75	11	165	19	169	43	53	16	73	118	102	102	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	364	15	16	8	15	19	14	36	0	14	0	5	23	30	9	10	6	9	9	14	4	12	7	0	27	0	8	4	7	0	10	13	11	9	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6822	342	375	292	365	458	378	312	22	171	87	124	304	301	119	237	198	177	286	199	182	194	170	22	290	31	144	132	111	37	151	132	211	174	94									
9	Число недействительных избирательных бюллетеней	94	6	6	4	4	5	3	7	1	4	0	2	5	5	1	4	1	2	6	5	0	0	2	0	9	1	1	1	0	0	1	2	2	3	1									
10	Число действительных избирательных бюллетеней	7092	351	385	296	376	472	389	341	21	181	87	127	322	326	127	243	203	184	289	208	186	206	175	22	308	30	151	135	118	37	160	143	220	180	93									
