Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Олонецкая																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20523	1970	2012	2198	2201	317	1186	1812	941	247	234	1034	1203	402	134	505	50	286	447	857	335	798	411	943									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20000	1950	2000	2150	2200	300	1150	1800	900	230	230	1000	1200	400	130	496	44	270	400	800	300	750	400	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7715	762	861	783	859	94	415	627	421	102	98	397	467	204	50	221	26	69	139	289	86	231	187	327									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	527	20	13	32	22	2	19	25	20	11	10	11	29	39	14	10	0	51	23	57	27	58	6	28									
6	Число погашенных избирательных бюллетеней	11758	1168	1126	1335	1319	204	716	1148	459	117	122	592	704	157	66	265	18	150	238	454	187	461	207	545									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	527	20	13	32	22	2	19	25	20	11	10	11	29	39	14	10	0	51	23	57	27	58	6	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7709	762	861	783	858	94	414	627	421	102	98	397	466	204	50	219	26	69	139	289	86	231	187	326									
9	Число недействительных избирательных бюллетеней	237	29	28	21	20	4	13	17	15	4	8	13	13	8	1	4	0	0	3	6	2	8	6	14									
10	Число действительных избирательных бюллетеней	7999	753	846	794	860	92	420	635	426	109	100	395	482	235	63	225	26	120	159	340	111	281	187	340									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	35	45	45	45	10	25	40	25	5	5	15	25	5	5	10	5	7	8	23	10	22	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	88	9	9	5	10	0	4	9	5	0	4	3	4	0	3	2	0	2	0	3	0	8	6	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	4	4	0	6	2	3	7	7	0	7	4	6	1	3	3	7	11	3	4	4	4	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	362	26	36	40	35	10	21	31	20	5	1	12	21	5	2	8	5	5	8	20	10	14	4	23									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	5	5	5	1	0	3	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	6	6	2	8	1	3	3	2	1	1	1	7	4	1	4	0	0	0	3	0	4	3	1									
		0.74%	0.77%	0.69%	0.25%	0.91%	1.04%	0.69%	0.46%	0.45%	0.88%	0.93%	0.25%	1.41%	1.65%	1.56%	1.75%	0.00%	0.00%	0.00%	0.87%	0.00%	1.38%	1.55%	0.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	213	18	25	26	23	2	8	15	6	2	4	6	15	2	4	9	7	0	3	6	7	10	1	14									
		2.59%	2.30%	2.86%	3.19%	2.61%	2.08%	1.85%	2.30%	1.36%	1.77%	3.70%	1.47%	3.03%	0.82%	6.25%	3.93%	26.92%	0.00%	1.85%	1.73%	6.19%	3.46%	0.52%	3.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	204	14	20	19	16	1	11	15	10	2	3	11	19	5	1	6	0	1	15	8	5	8	6	8									
		2.48%	1.79%	2.29%	2.33%	1.82%	1.04%	2.54%	2.30%	2.27%	1.77%	2.78%	2.70%	3.84%	2.06%	1.56%	2.62%	0.00%	0.83%	9.26%	2.31%	4.42%	2.77%	3.11%	2.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3436	280	309	307	351	35	196	273	189	51	44	185	171	178	27	106	7	64	74	186	47	122	90	144									
		41.72%	35.81%	35.35%	37.67%	39.89%	36.46%	45.27%	41.87%	42.86%	45.13%	40.74%	45.34%	34.55%	73.25%	42.19%	46.29%	26.92%	53.33%	45.68%	53.76%	41.59%	42.21%	46.63%	40.68%									
