Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Пластовская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20012	1602	2088	2158	1754	1656	1297	853	1079	1151	503	192	487	429	126	309	439	72	70	106	122	146	802	532	233	340	103	190	299	874									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16100	1200	1500	1600	1300	1200	1010	650	800	850	450	180	450	400	130	280	450	70	70	100	110	140	800	500	210	350	100	200	300	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10825	738	1066	1125	962	887	527	375	401	483	301	135	356	304	100	200	280	61	55	86	99	99	519	347	193	184	83	159	195	505									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1288	95	106	119	44	45	110	51	83	130	119	21	43	42	5	27	23	7	0	0	0	9	36	31	7	20	0	7	43	65									
6	Число погашенных избирательных бюллетеней	3987	367	328	356	294	268	373	224	316	237	30	24	51	54	25	53	147	2	15	14	11	32	245	122	10	146	17	34	62	130									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1288	95	106	119	44	45	110	51	83	130	119	21	43	42	5	27	23	7	0	0	0	9	36	31	7	20	0	7	43	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10822	738	1065	1125	961	887	527	375	400	483	301	135	356	304	100	200	280	61	55	86	99	99	519	347	193	184	83	159	195	505									
9	Число недействительных избирательных бюллетеней	388	43	50	42	30	49	35	14	16	18	14	2	3	6	3	11	3	4	0	2	3	1	12	3	5	1	3	4	2	9									
10	Число действительных избирательных бюллетеней	11722	790	1121	1202	975	883	602	412	467	595	406	154	396	340	102	216	300	64	55	84	96	107	543	375	195	203	80	162	236	561									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	428	30	30	40	40	20	5	10	7	10	3	5	10	11	12	4	24	7	8	10	10	10	15	15	10	4	2	22	14	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	383	30	24	40	32	18	4	10	7	7	1	5	10	11	12	4	24	7	8	10	10	10	15	5	1	2	0	22	14	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	3	8	6	11	11	1	1	3	6	9	0	2	4	0	3	1	0	1	3	1	4	0	4	1	5	1	4	3	6									
14	Число погашенных неиспользованных открепительных удостоверений	45	0	6	0	8	2	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	10	9	2	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	5	9	4	8	2	2	2	2	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	3	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	106	9	13	6	7	10	6	5	5	11	5	1	1	6	1	0	2	1	0	0	0	1	4	6	1	1	0	3	1	0									
		0.88%	1.08%	1.11%	0.48%	0.70%	1.07%	0.94%	1.17%	1.04%	1.79%	1.19%	0.64%	0.25%	1.73%	0.95%	0.00%	0.66%	1.47%	0.00%	0.00%	0.00%	0.93%	0.72%	1.59%	0.50%	0.49%	0.00%	1.81%	0.42%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	324	30	29	29	22	29	21	7	23	15	7	5	13	8	2	3	11	1	0	4	2	2	14	10	8	3	10	3	0	13									
		2.68%	3.60%	2.48%	2.33%	2.19%	3.11%	3.30%	1.64%	4.76%	2.45%	1.67%	3.21%	3.26%	2.31%	1.90%	1.32%	3.63%	1.47%	0.00%	4.65%	2.02%	1.85%	2.52%	2.65%	4.00%	1.47%	12.05%	1.81%	0.00%	2.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	295	21	36	30	27	24	11	6	19	15	20	4	9	8	0	1	9	0	0	2	1	0	17	4	1	2	2	1	10	15									
		2.44%	2.52%	3.07%	2.41%	2.69%	2.58%	1.73%	1.41%	3.93%	2.45%	4.76%	2.56%	2.26%	2.31%	0.00%	0.44%	2.97%	0.00%	0.00%	2.33%	1.01%	0.00%	3.06%	1.06%	0.50%	0.98%	2.41%	0.60%	4.20%	2.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5453	335	433	465	389	386	228	192	188	278	202	84	269	203	73	113	130	36	35	39	55	86	249	210	112	104	43	97	142	277									
		45.03%	40.22%	36.98%	37.38%	38.71%	41.42%	35.79%	45.07%	38.92%	45.35%	48.10%	53.85%	67.42%	58.67%	69.52%	49.78%	42.90%	52.94%	63.64%	45.35%	55.56%	79.63%	44.86%	55.56%	56.00%	50.98%	51.81%	58.43%	59.66%	48.60%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	88	5	11	9	15	6	4	7	4	5	2	0	1	4	1	0	1	0	0	0	0	1	3	0	1	3	1	1	1	2									
		0.73%	0.60%	0.94%	0.72%	1.49%	0.64%	0.63%	1.64%	0.83%	0.82%	0.48%	0.00%	0.25%	1.16%	0.95%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.93%	0.54%	0.00%	0.50%	1.47%	1.20%	0.60%	0.42%	0.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	4	3	4	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	0	0									
		0.18%	0.48%	0.26%	0.32%	0.20%	0.00%	0.16%	0.23%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.54%	0.00%	0.50%	0.00%	1.20%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2844	203	290	330	257	232	162	97	130	160	76	31	64	78	19	49	75	13	8	18	10	8	147	64	61	36	9	31	51	135									
		23.48%	24.37%	24.77%	26.53%	25.57%	24.89%	25.43%	22.77%	26.92%	26.10%	18.10%	19.87%	16.04%	22.54%	18.10%	21.59%	24.75%	19.12%	14.55%	20.93%	10.10%	7.41%	26.49%	16.93%	30.50%	17.65%	10.84%	18.67%	21.43%	23.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	57	7	11	4	7	1	4	3	2	4	1	1	0	0	0	3	0	1	0	0	1	0	3	0	0	0	1	1	2	0									
