Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Славянская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  4201	УИК  4202	УИК  4203	УИК  4204	УИК  4205	УИК  4206	УИК  4207	УИК  4208	УИК  4209	УИК  4210	УИК  4211	УИК  4212	УИК  4213	УИК  4214	УИК  4215	УИК  4216	УИК  4217	УИК  4218	УИК  4219	УИК  4220	УИК  4221	УИК  4222	УИК  4223	УИК  4224	УИК  4225	УИК  4226	УИК  4227	УИК  4228	УИК  4229	УИК  4230	УИК  4231	УИК  4232	УИК  4233	УИК  4234	УИК  4235	УИК  4236	УИК  4237	УИК  4238	УИК  4239	УИК  4240	УИК  4241	УИК  4242	УИК  4243	УИК  4244	УИК  4245	УИК  4246	УИК  4247	УИК  4248	УИК  4249	УИК  4250	УИК  4251	УИК  4252	УИК  4253	УИК  4254	УИК  4255	УИК  4256	УИК  4257	УИК  4258	УИК  4259	УИК  4260					
1	"Число избирателей, внесенных в списки"	98873	2519	2228	2068	1325	2287	1769	2714	2932	2376	2145	2723	2181	1553	1577	2819	2615	2246	2366	2100	1831	2355	1948	1285	2790	1529	1390	2666	216	1153	2053	232	1760	708	363	2880	658	716	1327	2293	1840	1790	1972	1717	742	308	2642	1265	1332	2058	982	1169	1240	1347	1285	1447	1111	641	346	496	447					
2	"Число бюллетеней, полученных участковыми комиссиями"	97278	2400	2050	1940	1280	2260	1580	2520	2900	2400	1900	2700	2210	1560	1600	2800	2300	2350	2450	2070	1820	2420	1900	1160	2750	1490	1330	2600	210	1110	2060	220	1760	690	330	2800	650	730	1430	2330	1830	1820	2170	1700	640	300	2580	1320	1340	2050	960	1140	1240	1390	1270	1420	1100	710	320	470	448					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	53393	1187	1052	908	613	983	781	1369	1300	1269	968	1373	1107	885	853	1261	1494	1027	1063	1031	923	985	948	550	1546	786	775	1340	190	835	1122	163	1074	584	262	1793	358	395	609	1344	1301	1084	1012	1063	513	229	1395	805	845	1499	636	635	911	912	702	802	662	351	286	330	314					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3337	33	60	49	49	72	85	91	72	71	38	64	41	55	65	48	63	80	69	51	30	61	56	33	81	69	56	113	7	61	179	28	58	0	39	97	42	36	220	41	0	6	12	23	0	18	103	37	78	74	68	54	11	40	34	43	94	49	34	47	49					
6	Число погашенных бюллетеней	40548	1180	938	983	618	1205	714	1060	1528	1060	894	1263	1062	620	682	1491	743	1243	1318	988	867	1374	896	577	1123	635	499	1147	13	214	759	29	628	106	29	910	250	299	601	945	529	730	1146	614	127	53	1082	478	417	477	256	451	318	438	534	575	344	310	0	93	85					
7	Число бюллетеней в переносных ящиках для голосования	3337	33	60	49	49	72	85	91	72	71	38	64	41	55	65	48	63	80	69	51	30	61	56	33	81	69	56	113	7	61	179	28	58	0	39	97	42	36	220	41	0	6	12	23	0	18	103	37	78	74	68	54	11	40	34	43	94	49	34	47	49					
8	Число бюллетеней в стационарных ящиках для голосования	53362	1187	1047	908	611	983	781	1369	1300	1266	968	1373	1107	885	850	1261	1494	1027	1063	1031	923	982	948	550	1546	786	775	1340	190	835	1122	163	1074	584	262	1784	358	395	609	1344	1301	1084	1012	1063	513	229	1395	804	845	1499	636	635	911	912	702	802	662	346	286	330	314					
9	Число недействительных бюллетеней	705	11	14	16	2	17	10	21	14	15	14	17	9	20	13	3	18	18	12	10	8	2	64	12	7	23	6	18	1	11	8	0	16	4	3	11	7	9	26	16	1	0	15	6	2	6	12	10	8	6	8	13	24	11	23	15	9	4	2	3	21					
10	Число действительных бюллетеней	55994	1209	1093	941	658	1038	856	1439	1358	1322	992	1420	1139	920	902	1306	1539	1089	1120	1072	945	1041	940	571	1620	832	825	1435	196	885	1293	191	1116	580	298	1870	393	422	803	1369	1300	1090	1009	1080	511	241	1486	831	915	1567	696	676	898	941	713	830	747	391	318	374	342					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	727	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	15	12	12	12	12	12	12	12	16	12	12	12	12	12	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	253	5	4	1	1	1	7	6	4	9	2	6	11	2	4	11	9	8	7	9	6	3	7	3	2	1	3	5	0	2	4	0	9	0	0	10	2	1	3	3	5	1	5	3	1	1	11	2	2	6	0	1	4	10	12	2	0	2	2	0	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	164	6	3	2	4	0	0	1	5	2	6	4	8	2	10	6	5	4	2	1	4	4	4	7	4	1	0	5	0	3	4	0	5	0	0	1	3	3	1	1	0	0	6	1	0	0	8	5	2	3	0	1	3	3	4	1	1	3	2	0	0					
14	Число погашенных открепительных удостоверений	474	7	8	11	11	11	5	6	8	3	10	6	1	10	8	1	3	4	5	3	6	9	5	9	10	11	9	7	12	10	8	12	3	12	12	2	10	11	9	9	7	11	7	9	11	11	4	10	10	6	12	11	8	2	4	10	12	10	10	12	0					
15	Число открепительных удостоверений выданных ТИК	11	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	503	4	10	4	9	11	9	9	8	14	4	10	10	10	8	6	6	7	6	8	5	6	12	7	5	16	7	12	1	10	19	6	8	10	1	20	4	1	9	10	9	7	7	7	8	7	13	11	9	11	10	5	10	20	15	14	6	2	1	3	6					
		0.88%	0.32%	0.90%	0.41%	1.36%	1.04%	1.03%	0.61%	0.58%	1.04%	0.39%	0.69%	0.87%	1.06%	0.87%	0.45%	0.38%	0.63%	0.53%	0.73%	0.52%	0.57%	1.19%	1.20%	0.30%	1.87%	0.84%	0.82%	0.50%	1.11%	1.46%	3.14%	0.70%	1.71%	0.33%	1.06%	1.0%	0.23%	1.08%	0.72%	0.69%	0.64%	0.68%	0.64%	1.55%	2.83%	0.86%	1.30%	0.97%	0.69%	1.42%	0.72%	1.08%	2.10%	2.03%	1.65%	0.79%	0.50%	0.31%	0.79%	1.65%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	728	21	25	18	12	28	9	19	13	40	23	46	23	10	14	26	37	18	22	15	11	10	8	12	13	4	5	16	0	4	5	4	6	4	0	20	8	4	5	8	7	3	12	7	5	2	20	9	10	6	7	5	7	15	10	11	6	6	4	3	7					
		1.28%	1.72%	2.25%	1.88%	1.81%	2.65%	1.03%	1.30%	0.94%	2.99%	2.28%	3.20%	2.00%	1.06%	1.53%	1.98%	2.37%	1.62%	1.94%	1.38%	1.15%	0.95%	0.79%	2.05%	0.79%	0.46%	0.60%	1.10%	0.0%	0.44%	0.38%	2.09%	0.53%	0.68%	0.0%	1.06%	2.0%	0.92%	0.60%	0.57%	0.53%	0.27%	1.17%	0.64%	0.97%	0.80%	1.33%	1.07%	1.08%	0.38%	0.99%	0.72%	0.75%	1.57%	1.35%	1.30%	0.79%	1.51%	1.25%	0.79%	1.92%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	869	18	12	13	12	14	9	12	27	24	17	22	20	14	22	10	31	21	15	9	19	12	17	12	17	8	9	19	3	6	21	1	19	4	2	29	9	8	18	27	15	23	26	16	7	10	25	9	17	18	9	10	9	18	21	15	19	4	3	8	5					
