Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Камышлинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7365	241	178	153	448	950	980	1338	167	1072	249	966	267	216	140									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7436	258	182	157	469	950	982	1284	178	1091	256	977	282	219	151									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5164	195	124	108	293	587	693	943	124	749	178	705	225	151	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	647	27	33	7	105	67	59	56	20	65	25	73	40	29	41									
6	Число погашенных избирательных бюллетеней	1625	36	25	42	71	296	230	285	34	277	53	199	17	39	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	647	27	33	7	105	67	59	56	20	65	25	73	40	29	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5163	195	124	108	293	587	692	943	124	749	178	705	225	151	89									
9	Число недействительных избирательных бюллетеней	168	2	1	0	7	28	13	39	5	8	20	30	13	2	0									
10	Число действительных избирательных бюллетеней	5642	220	156	115	391	626	738	960	139	806	183	748	252	178	130									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	199	15	5	10	15	13	20	21	10	30	10	20	15	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	186	15	5	6	15	13	20	21	10	30	10	19	15	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	0	2	3	9	1	5	1	1	6	0	6	4	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	13	0	0	4	0	0	0	0	0	0	0	1	0	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	0	2	3	3	2	4	0	1	9	1	9	0	1	1									
		0.62%	0.00%	1.27%	2.61%	0.75%	0.31%	0.53%	0.00%	0.69%	1.11%	0.49%	1.16%	0.00%	0.56%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	293	3	5	2	23	38	39	54	11	58	6	39	7	8	0									
		5.04%	1.35%	3.18%	1.74%	5.78%	5.81%	5.19%	5.41%	7.64%	7.13%	2.96%	5.01%	2.64%	4.44%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	5	3	3	3	5	6	10	0	9	3	6	2	1	1									
		0.98%	2.25%	1.91%	2.61%	0.75%	0.76%	0.80%	1.00%	0.00%	1.11%	1.48%	0.77%	0.75%	0.56%	0.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3452	161	104	73	276	372	429	578	75	392	116	487	191	114	84									
		59.41%	72.52%	66.24%	63.48%	69.35%	56.88%	57.12%	57.86%	52.08%	48.16%	57.14%	62.60%	72.08%	63.33%	64.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	0	0	1	3	1	3	5	0	2	0	2	0	0	0									
		0.29%	0.00%	0.00%	0.87%	0.75%	0.15%	0.40%	0.50%	0.00%	0.25%	0.00%	0.26%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	79	2	3	1	0	7	17	8	1	30	2	6	1	1	0									
		1.36%	0.90%	1.91%	0.87%	0.00%	1.07%	2.26%	0.80%	0.69%	3.69%	0.99%	0.77%	0.38%	0.56%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	386	15	12	15	23	37	62	65	5	34	8	49	21	11	29									
		6.64%	6.76%	7.64%	13.04%	5.78%	5.66%	8.26%	6.51%	3.47%	4.18%	3.94%	6.30%	7.92%	6.11%	22.31%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	0	0	0	2	3	3	4	0	2	1	1	0	0	0									
		0.28%	0.00%	0.00%	0.00%	0.50%	0.46%	0.40%	0.40%	0.00%	0.25%	0.49%	0.13%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	0	2	1	1	4	3	4	0	2	0	3	2	0	0									
		0.38%	0.00%	1.27%	0.87%	0.25%	0.61%	0.40%	0.40%	0.00%	0.25%	0.00%	0.39%	0.75%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	2	0	0	1	1	2	3	0	3	0	10	0	0	0									
		0.38%	0.90%	0.00%	0.00%	0.25%	0.15%	0.27%	0.30%	0.00%	0.37%	0.00%	1.29%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	0	0	0	1	2	3	5	0	2	0	3	0	0	1									
		0.29%	0.00%	0.00%	0.00%	0.25%	0.31%	0.40%	0.50%	0.00%	0.25%	0.00%	0.39%	0.00%	0.00%	0.77%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1054	32	21	11	50	118	139	171	43	237	42	121	23	32	14									
		18.14%	14.41%	13.38%	9.57%	12.56%	18.04%	18.51%	17.12%	29.86%	29.12%	20.69%	15.55%	8.68%	17.78%	10.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	0	0	3	0	2	1	3	0	3	3	0	2	0	0									
		0.29%	0.00%	0.00%	2.61%	0.00%	0.31%	0.13%	0.30%	0.00%	0.37%	1.48%	0.00%	0.75%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	174	0	4	2	5	34	27	50	3	23	1	12	3	10	0									
		2.99%	0.00%	2.55%	1.74%	1.26%	5.20%	3.60%	5.01%	2.08%	2.83%	0.49%	1.54%	1.13%	5.56%	0.00%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
