Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Красноярская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782					
1	"Число избирателей, внесенных в список"	38116	367	272	213	432	619	191	582	136	475	1352	2167	992	206	91	1009	2150	1981	1833	351	204	280	1889	2246	1740	1961	1808	1250	1317	852	365	171	1670	475	460	285	809	365	452	117	289	426	523	445	1266	236	98	160	400	138					
2	Число полученных избирательных бюллетеней	38642	370	265	212	484	652	207	582	138	486	1315	2139	1026	199	90	988	2109	1962	1840	348	232	280	1950	2228	1792	1909	1781	1795	1302	831	365	180	1641	470	453	275	845	370	430	131	313	440	495	433	1277	223	96	157	397	139					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26024	208	224	189	368	397	141	358	106	342	793	1457	697	133	55	679	1417	1376	1245	250	163	244	1201	1401	986	1312	1159	1153	758	555	251	83	1182	348	326	236	614	267	330	94	185	316	388	329	896	180	93	128	303	108					
5	"Число избирательных бюллетеней, выданных вне помещения"	3274	90	2	0	40	115	32	111	18	48	173	90	128	59	23	86	148	148	146	47	21	35	108	118	91	58	127	97	60	57	79	58	105	56	52	11	84	46	48	12	62	43	67	58	120	35	0	9	35	18					
6	Число погашенных избирательных бюллетеней	9344	72	39	23	76	140	34	113	14	96	349	592	201	7	12	223	544	438	449	51	48	1	641	709	715	539	495	545	484	219	35	39	354	66	75	28	147	57	52	25	66	81	40	46	261	8	3	20	59	13					
7	Число избирательных бюллетеней в переносных ящиках	3274	90	2	0	40	115	32	111	18	48	173	90	128	59	23	86	148	148	146	47	21	35	108	118	91	58	127	97	60	57	79	58	105	56	52	11	84	46	48	12	62	43	67	58	120	35	0	9	35	18					
8	Число бюллетеней в стационарных ящиках для голосования	26024	208	224	189	368	397	141	358	106	342	793	1457	697	133	55	679	1417	1376	1245	250	163	244	1201	1401	986	1312	1159	1153	758	555	251	83	1182	348	326	236	614	267	330	94	185	316	388	329	896	180	93	128	303	108					
9	Число недействительных избирательных бюллетеней	473	9	9	9	5	7	4	3	1	9	10	27	11	1	1	10	41	23	7	5	0	4	21	20	12	25	39	14	11	8	3	1	15	11	6	7	10	2	3	1	6	5	5	10	25	2	1	6	6	2					
10	Число действительных избирательных бюллетеней	28825	289	217	180	403	505	169	466	123	381	956	1520	814	191	77	755	1524	1501	1384	292	184	275	1288	1499	1065	1345	1247	1236	807	604	327	140	1272	393	372	240	688	311	375	105	241	354	450	377	991	213	92	131	332	124					
