Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Колпинская №21																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694					
1	"Число избирателей, внесенных в список"	137649	1152	1930	2001	2351	2126	2421	2244	2247	2519	2495	2911	2713	2714	2649	2045	1843	2052	2790	1542	2007	2111	2786	1629	1512	1903	2160	2039	2618	2722	2751	2881	2839	2453	2191	2519	2214	2200	2722	2551	2863	2888	2674	2568	2697	2935	2135	1897	1854	1968	1805	1043	907	2075	2200	2648	2321	2517	2007	2614	2403	1077					
2	Число полученных избирательных бюллетеней	132000	1100	1800	1900	2300	2000	2300	2200	2200	2500	2400	2800	2500	2500	2500	2000	1800	2000	2700	1500	2000	2000	2700	1600	1500	1800	2000	2000	2500	2500	2700	2800	2800	2400	2000	2500	2200	2000	2500	2500	2800	2800	2500	2500	2500	2800	2000	1800	1800	1900	1700	1000	800	2000	2100	2500	2200	2500	2000	2500	2300	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	78624	732	1056	1205	1380	1265	1408	1277	1353	1481	1481	1709	1609	1795	1345	1099	1069	1177	1573	912	1140	1079	1553	981	881	1092	1216	1096	1472	1545	1602	1704	1665	1410	1291	1500	1275	1369	1551	1475	1559	1572	1523	1365	1427	1524	1140	1009	974	1148	1076	666	498	1184	1285	1492	1201	1413	1178	1594	1361	612					
5	"Число избирательных бюллетеней, выданных вне помещения"	2013	4	31	40	38	51	28	24	17	22	20	22	20	73	28	57	46	27	48	30	52	24	42	40	30	12	34	16	48	32	37	30	48	36	36	27	28	28	40	61	48	29	28	15	16	28	30	27	35	33	49	29	74	42	44	31	14	8	37	31	19	19					
6	Число погашенных избирательных бюллетеней	51363	364	713	655	882	684	864	899	830	997	899	1069	871	632	1127	844	685	796	1079	558	808	897	1105	579	589	696	750	888	980	923	1061	1066	1087	954	673	973	897	603	909	964	1193	1199	949	1120	1057	1248	830	764	791	719	575	305	228	774	771	977	985	1079	785	875	920	369					
7	Число избирательных бюллетеней в переносных ящиках	2013	4	31	40	38	51	28	24	17	22	20	22	20	73	28	57	46	27	48	30	52	24	42	40	30	12	34	16	48	32	37	30	48	36	36	27	28	28	40	61	48	29	28	15	16	28	30	27	35	33	49	29	74	42	44	31	14	8	37	31	19	19					
8	Число бюллетеней в стационарных ящиках для голосования	78520	732	1056	1205	1378	1265	1408	1277	1353	1481	1481	1709	1604	1795	1344	1099	1069	1177	1573	912	1140	1075	1552	981	881	1090	1216	1096	1472	1544	1602	1701	1615	1410	1290	1498	1274	1369	1549	1475	1557	1572	1523	1355	1427	1524	1140	1009	974	1148	1076	666	495	1180	1285	1492	1196	1413	1175	1592	1361	612					
9	Число недействительных избирательных бюллетеней	364	1	1	9	10	6	10	4	2	5	5	10	8	9	7	8	5	13	16	7	3	4	7	2	5	5	6	7	6	3	1	9	4	5	6	4	3	5	11	10	8	5	9	5	12	3	4	9	2	3	5	2	3	8	11	4	5	7	2	6	5	4					
10	Число действительных избирательных бюллетеней	80169	735	1086	1236	1406	1310	1426	1297	1368	1498	1496	1721	1616	1859	1365	1148	1110	1191	1605	935	1189	1095	1587	1019	906	1097	1244	1105	1514	1573	1638	1722	1659	1441	1320	1521	1299	1392	1578	1526	1597	1596	1542	1365	1431	1549	1166	1027	1007	1178	1120	693	566	1214	1318	1519	1205	1414	1210	1617	1375	627					
