Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																												
Дата голосования: 02.12.2007																																																																																																												
																																																																																																												
Наименование Избирательной комиссии:    ТИК  Центрального округа г. Курска																																																																																																												
																																																																																																												
Сводная таблица результатов выборов																																																																																																												
																																																																																																												
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
1	"Число избирателей, внесенных в списки избирателей"	172118	2182	794	1491	2510	2733	1135	983	768	2322	2404	1700	2809	2708	947	2019	651	2148	3260	2349	2029	2710	1311	2252	1092	2517	2672	2145	1499	2262	2613	2878	2525	2919	2893	1129	2902	2917	2754	1224	2507	2988	2819	2011	2581	2176	1531	880	1282	2051	902	1291	1656	1517	2290	2608	1366	2406	1892	2931	1270	2430	1069	1606	2273	1763	1611	2033	1625	2938	2195	2576	2171	1326	2399	2569	752	1955	1982	1758	1316	1828	250	1484	1538	2240	1890	465	153	211	82	64	197	63	46	390	235	151	92	38	112	131					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	152170	2000	700	1400	2200	2500	1000	950	750	2200	2300	1500	2500	2500	900	1900	600	2000	2600	2100	1900	2500	1200	2000	1000	2200	2400	2000	1300	2000	2300	2500	2200	2600	2600	1000	2500	2500	2500	1000	2100	2500	2500	1800	2300	1900	1300	800	1000	1800	800	1100	1500	1300	1800	2300	1100	2100	1700	2500	1100	2000	900	1500	2000	1600	1500	1800	1500	2600	2000	2100	1600	1000	2200	2400	600	1700	1700	1600	1100	1600	260	1300	1400	2000	1600	400	150	200	85	70	220	80	50	450	250	150	100	50	120	135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	102634	1197	352	824	1389	1631	613	445	387	1264	1450	1344	1685	1595	530	1130	381	1026	2489	1446	1098	1636	756	1146	561	1515	1410	1250	895	1296	1571	1683	1364	1722	1610	675	1722	1715	1587	651	1637	1837	1804	1006	1114	1152	737	471	890	1246	498	825	1012	769	1741	1729	902	1418	1120	1920	807	1834	756	753	1226	1060	838	1170	942	1600	1906	1761	1316	909	1371	1511	477	1241	1101	909	703	1294	216	617	820	1399	1113	269	134	198	44	64	197	63	46	375	232	144	85	36	97	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2420	45	10	55	37	36	27	25	19	35	56	23	20	24	25	54	7	51	15	43	23	60	40	21	3	36	20	23	16	27	13	25	27	28	28	7	25	20	24	16	13	25	20	20	16	54	70	17	29	27	37	19	31	35	15	62	25	26	36	15	18	8	21	19	43	62	57	28	33	41	0	32	20	11	15	12	15	52	33	33	60	14	0	22	51	15	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	47116	758	338	521	774	833	360	480	344	901	794	133	795	881	345	716	212	923	96	611	779	804	404	833	436	649	970	727	389	677	716	792	809	850	962	318	753	765	889	333	450	638	676	774	1170	694	493	312	81	527	265	256	457	496	44	509	173	656	544	565	275	158	123	728	731	478	605	602	525	959	94	307	264	80	814	877	108	407	566	658	337	292	44	661	529	586	469	125	16	2	41	6	23	17	4	75	18	6	15	14	23	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2420	45	10	55	37	36	27	25	19	35	56	23	20	24	25	54	7	51	15	43	23	60	40	21	3	36	20	23	16	27	13	25	27	28	28	7	25	20	24	16	13	25	20	20	16	54	70	17	29	27	37	19	31	35	15	62	25	26	36	15	18	8	21	19	43	62	57	28	33	41	0	32	20	11	15	12	15	52	33	33	60	14	0	22	51	15	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	102263	1152	352	823	1385	1626	613	445	365	1264	1450	1344	1685	1593	530	1130	381	1026	2487	1446	1098	1633	756	1146	561	1515	1410	1248	895	1212	1569	1683	1364	1722	1608	675	1697	1710	1583	651	1637	1830	1792	986	1114	1152	736	471	888	1246	496	825	1012	769	1741	1724	902	1418	1120	1920	807	1832	756	753	1225	1060	838	1170	922	1598	1844	1761	1316	898	1371	1511	477	1241	1101	909	702	1294	216	617	820	1384	1113	269	134	198	44	64	197	63	46	375	232	144	85	36	97	131					
9	Число недействительных избирательных бюллетеней	1585	22	3	14	16	22	3	14	4	15	24	51	22	25	6	21	13	24	47	35	21	23	16	22	8	20	20	16	16	16	28	19	14	22	20	10	31	27	24	5	21	18	21	15	11	18	5	6	14	11	11	17	20	13	25	30	11	21	13	25	16	29	19	8	31	14	15	17	13	18	15	37	10	6	25	23	3	34	23	15	5	21	7	11	22	20	16	7	1	5	0	0	0	0	0	4	5	4	1	0	0	0					
10	Число действительных избирательных бюллетеней	103098	1175	359	864	1406	1640	637	456	380	1284	1482	1316	1683	1592	549	1163	375	1053	2455	1454	1100	1670	780	1145	556	1531	1410	1255	895	1223	1554	1689	1377	1728	1616	672	1691	1703	1583	662	1629	1837	1791	991	1119	1188	801	482	903	1262	522	827	1023	791	1731	1756	916	1423	1143	1910	809	1811	758	764	1237	1108	880	1181	942	1621	1829	1756	1326	903	1361	1500	489	1259	1111	927	757	1287	209	628	849	1379	1115	268	133	193	44	64	197	63	46	371	227	140	84	36	97	131					
