Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Чернская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14941	2531	2470	1080	778	547	379	168	530	217	208	385	362	410	236	225	361	253	238	231	247	197	345	163	314	262	740	258	531	275									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12434	2038	2017	920	663	454	324	140	435	180	184	302	300	347	222	197	304	210	197	192	205	167	286	149	268	219	614	214	452	234									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7383	1014	944	347	373	389	240	75	221	136	146	218	210	245	136	139	266	184	155	172	171	110	175	102	145	175	361	128	231	175									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1459	147	80	114	75	58	53	25	41	44	37	84	25	40	61	35	38	26	25	20	25	36	47	30	38	39	54	28	99	35									
6	Число погашенных избирательных бюллетеней	3592	877	993	459	215	7	31	40	173	0	1	0	65	62	25	23	0	0	17	0	9	21	64	17	85	5	199	58	122	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1459	147	80	114	75	58	53	25	41	44	37	84	25	40	61	35	38	26	25	20	25	36	47	30	38	39	54	28	99	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7382	1014	944	347	373	389	240	75	221	136	146	218	210	245	136	139	266	184	154	172	171	110	175	102	145	175	361	128	231	175									
9	Число недействительных избирательных бюллетеней	88	10	21	4	7	3	5	0	3	2	2	1	4	3	0	0	0	0	0	0	0	0	4	0	0	4	9	0	0	6									
10	Число действительных избирательных бюллетеней	8753	1151	1003	457	441	444	288	100	259	178	181	301	231	282	197	174	304	210	179	192	196	146	218	132	183	210	406	156	330	204									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	647	50	50	70	35	25	25	10	25	10	10	15	15	20	40	20	15	10	10	10	10	10	15	20	25	16	30	10	26	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	623	50	40	70	35	25	25	10	11	10	10	15	15	20	40	20	15	10	10	10	10	10	15	20	25	16	30	10	26	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	27	15	14	3	4	3	7	5	6	5	3	5	4	6	4	3	4	2	3	3	2	6	2	6	10	2	3	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	24	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	20	21	4	8	1	1	0	1	0	1	0	2	2	0	0	0	2	0	0	0	3	2	0	1	0	0	1	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	73	9	11	3	6	1	1	0	6	2	1	0	1	5	0	1	1	2	2	4	0	0	0	1	2	3	6	0	5	0									
		0.83%	0.78%	1.07%	0.65%	1.34%	0.22%	0.34%	0.00%	2.29%	1.11%	0.55%	0.00%	0.43%	1.75%	0.00%	0.57%	0.33%	0.95%	1.12%	2.08%	0.00%	0.00%	0.00%	0.76%	1.09%	1.40%	1.45%	0.00%	1.52%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	213	40	26	17	5	14	4	5	4	4	0	5	9	5	4	4	6	4	6	2	1	4	7	0	5	9	9	5	6	3									
		2.41%	3.45%	2.54%	3.69%	1.12%	3.13%	1.37%	5.00%	1.53%	2.22%	0.00%	1.66%	3.83%	1.75%	2.03%	2.30%	1.97%	1.90%	3.35%	1.04%	0.51%	2.74%	3.15%	0.00%	2.73%	4.21%	2.17%	3.21%	1.82%	1.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	164	33	35	12	3	9	5	0	1	5	0	4	11	3	1	0	1	2	0	7	3	3	3	2	5	1	3	5	5	2									
		1.85%	2.84%	3.42%	2.60%	0.67%	2.01%	1.71%	0.00%	0.38%	2.78%	0.00%	1.32%	4.68%	1.05%	0.51%	0.00%	0.33%	0.95%	0.00%	3.65%	1.53%	2.05%	1.35%	1.52%	2.73%	0.47%	0.72%	3.21%	1.52%	0.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5611	539	506	266	312	321	199	55	190	132	158	183	147	203	139	127	219	162	130	146	162	100	144	115	112	133	247	101	224	139									
		63.47%	46.43%	49.41%	57.70%	69.64%	71.81%	67.92%	55.00%	72.52%	73.33%	86.34%	60.60%	62.55%	71.23%	70.56%	72.99%	72.04%	77.14%	72.63%	76.04%	82.65%	68.49%	64.86%	87.12%	61.20%	62.15%	59.52%	64.74%	67.88%	66.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	58	10	10	6	4	3	2	2	0	0	2	8	1	0	0	1	1	1	0	0	0	0	2	0	2	1	1	1	0	0									
		0.66%	0.86%	0.98%	1.30%	0.89%	0.67%	0.68%	2.00%	0.00%	0.00%	1.09%	2.65%	0.43%	0.00%	0.00%	0.57%	0.33%	0.48%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	1.09%	0.47%	0.24%	0.64%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	2	6	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0									
		0.17%	0.17%	0.59%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.35%	0.00%	0.00%	0.33%	0.00%	0.00%	0.52%	0.00%	0.00%	0.45%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1321	247	192	88	53	48	31	17	30	25	16	46	34	37	23	24	39	23	11	23	12	20	26	11	26	37	85	24	44	29									
		14.94%	21.27%	18.75%	19.09%	11.83%	10.74%	10.58%	17.00%	11.45%	13.89%	8.74%	15.23%	14.47%	12.98%	11.68%	13.79%	12.83%	10.95%	6.15%	11.98%	6.12%	13.70%	11.71%	8.33%	14.21%	17.29%	20.48%	15.38%	13.33%	13.81%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	3	9	0	4	2	4	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.29%	0.26%	0.88%	0.00%	0.89%	0.45%	1.37%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.51%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	42	11	9	4	2	0	1	0	1	0	0	0	4	0	2	0	1	0	1	0	1	0	0	0	2	0	3	0	0	0									
		0.48%	0.95%	0.88%	0.87%	0.45%	0.00%	0.34%	0.00%	0.38%	0.00%	0.00%	0.00%	1.70%	0.00%	1.02%	0.00%	0.33%	0.00%	0.56%	0.00%	0.51%	0.00%	0.00%	0.00%	1.09%	0.00%	0.72%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	1	1	0	1	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	1	2	0	0	0									
		0.14%	0.09%	0.10%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	2.30%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.48%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	72	15	17	2	1	3	2	0	0	0	0	8	3	0	2	0	0	0	0	0	1	0	5	0	1	4	3	2	3	0									
		0.81%	1.29%	1.66%	0.43%	0.22%	0.67%	0.68%	0.00%	0.00%	0.00%	0.00%	2.65%	1.28%	0.00%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	2.25%	0.00%	0.55%	1.87%	0.72%	1.28%	0.91%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	947	206	148	49	38	34	34	16	25	9	2	43	15	22	12	7	23	15	25	9	14	19	23	3	23	17	37	14	35	30									
		10.71%	17.74%	14.45%	10.63%	8.48%	7.61%	11.60%	16.00%	9.54%	5.00%	1.09%	14.24%	6.38%	7.72%	6.09%	4.02%	7.57%	7.14%	13.97%	4.69%	7.14%	13.01%	10.36%	2.27%	12.57%	7.94%	8.92%	8.97%	10.61%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	5	7	1	1	2	0	0	0	0	1	0	1	0	1	1	7	1	1	0	2	0	2	0	0	0	1	1	2	0									
		0.42%	0.43%	0.68%	0.22%	0.22%	0.45%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.43%	0.00%	0.51%	0.57%	2.30%	0.48%	0.56%	0.00%	1.02%	0.00%	0.90%	0.00%	0.00%	0.00%	0.24%	0.64%	0.61%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	162	30	26	9	11	7	5	3	2	1	1	4	3	5	12	5	3	0	3	0	0	0	5	0	5	3	9	3	6	1									
		1.83%	2.58%	2.54%	1.95%	2.46%	1.57%	1.71%	3.00%	0.76%	0.56%	0.55%	1.32%	1.28%	1.75%	6.09%	2.87%	0.99%	0.00%	1.68%	0.00%	0.00%	0.00%	2.25%	0.00%	2.73%	1.40%	2.17%	1.92%	1.82%	0.48%									
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
