Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
"Наименование Избирательной комиссии:    Орел, Советская"																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64762	1236	1849	2041	2152	2883	2869	2373	2236	2377	2195	1936	1408	2038	2446	1676	2736	2757	1106	2391	1490	1541	998	1445	1287	1644	2122	1452	1278	1522	1193	1189	1415	2055	2470	406	56	92	57	73	272									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62670	1200	1800	2000	2100	2800	2800	2300	2100	2300	2100	1900	1400	2000	2400	1600	2700	2700	1000	2300	1400	1300	1214	1400	1200	1600	2100	1400	1200	1500	1100	1100	1300	2000	2400	396	56	100	59	73	272									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30793	551	781	953	1108	1338	1400	1150	1144	1087	1171	905	603	825	1025	741	979	1127	625	1048	600	721	961	742	706	773	988	712	604	776	526	460	697	857	1335	295	56	76	10	73	264									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	662	20	13	28	13	16	21	20	15	6	12	23	7	14	13	8	13	18	7	5	11	8	18	36	15	28	21	11	5	18	18	14	13	12	4	96	0	15	47	0	0									
6	Число погашенных избирательных бюллетеней	31215	629	1006	1019	979	1446	1379	1130	941	1207	917	972	790	1161	1362	851	1708	1555	368	1247	789	571	235	622	479	799	1091	677	591	706	556	626	590	1131	1061	5	0	9	2	0	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	661	20	13	28	13	16	21	20	15	6	12	23	7	14	13	8	13	18	6	5	11	8	18	36	15	28	21	11	5	18	18	14	13	12	4	96	0	15	47	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30772	551	781	953	1106	1338	1400	1150	1138	1087	1171	905	603	825	1019	741	979	1127	625	1048	600	721	961	742	706	771	988	712	603	776	525	460	697	854	1335	295	56	76	10	73	264									
9	Число недействительных избирательных бюллетеней	979	16	22	37	28	32	51	28	37	31	38	33	16	39	43	29	42	17	14	33	20	32	21	11	18	35	41	20	21	27	19	25	13	28	30	6	0	0	1	5	20									
10	Число действительных избирательных бюллетеней	30454	555	772	944	1091	1322	1370	1142	1116	1062	1145	895	594	800	989	720	950	1128	617	1020	591	697	958	767	703	764	968	703	587	767	524	449	697	838	1309	385	56	91	56	68	244									
