Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Гаврилов-Ямская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21549	1778	1967	1874	1710	1020	1426	1417	1124	2233	312	292	185	543	729	699	158	266	352	319	191	183	480	327	289	1026	327	322									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17240	1420	1580	1500	1380	820	1140	1080	900	1800	250	230	150	420	580	560	130	210	290	260	150	150	380	270	230	830	270	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7718	727	746	698	552	330	470	436	509	988	107	76	74	194	289	216	16	105	117	126	20	66	120	124	80	309	93	130									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1262	15	63	70	65	24	95	156	22	28	40	36	31	55	39	23	62	12	33	39	88	18	46	66	30	54	29	23									
6	Число погашенных избирательных бюллетеней	8260	678	771	732	763	466	575	488	369	784	103	118	45	171	252	321	52	93	140	95	42	66	214	80	120	467	148	107									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1262	15	63	70	65	24	95	156	22	28	40	36	31	55	39	23	62	12	33	39	88	18	46	66	30	54	29	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7718	727	746	698	552	330	470	436	509	988	107	76	74	194	289	216	16	105	117	126	20	66	120	124	80	309	93	130									
9	Число недействительных избирательных бюллетеней	147	11	14	11	15	8	6	13	7	15	2	1	0	6	8	3	2	2	3	0	0	0	1	2	0	6	0	11									
10	Число действительных избирательных бюллетеней	8833	731	795	757	602	346	559	579	524	1001	145	111	105	243	320	236	76	115	147	165	108	84	165	188	110	357	122	142									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	20	20	20	20	20	20	20	20	20	5	5	5	5	20	10	5	5	5	5	5	5	5	5	5	15	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	81	10	9	10	9	2	5	4	3	6	0	2	1	0	5	1	0	0	2	4	0	1	1	2	1	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	1	2	7	6	4	0	2	4	0	3	1	1	16	4	7	1	2	1	1	1	2	2	4	3	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	219	10	11	10	11	18	15	16	17	14	5	3	4	5	15	9	5	5	3	1	5	4	4	3	4	12	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	2	1	1	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	134	14	11	12	4	5	8	17	9	11	2	1	0	2	3	5	2	1	2	3	2	0	1	4	3	6	2	4									
		1.49%	1.89%	1.36%	1.56%	0.65%	1.41%	1.42%	2.87%	1.69%	1.08%	1.36%	0.89%	0.00%	0.80%	0.91%	2.09%	2.56%	0.85%	1.33%	1.82%	1.85%	0.00%	0.60%	2.11%	2.73%	1.65%	1.64%	2.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	244	23	16	15	17	9	14	32	16	23	2	4	1	6	12	12	1	2	3	6	2	1	2	9	2	8	1	5									
		2.72%	3.10%	1.98%	1.95%	2.76%	2.54%	2.48%	5.41%	3.01%	2.26%	1.36%	3.57%	0.95%	2.41%	3.66%	5.02%	1.28%	1.71%	2.00%	3.64%	1.85%	1.19%	1.20%	4.74%	1.82%	2.20%	0.82%	3.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	237	9	15	14	15	6	10	13	15	41	0	5	1	5	15	10	2	1	6	2	9	2	9	9	2	8	4	9									
		2.64%	1.21%	1.85%	1.82%	2.43%	1.69%	1.77%	2.20%	2.82%	4.04%	0.00%	4.46%	0.95%	2.01%	4.57%	4.18%	2.56%	0.85%	4.00%	1.21%	8.33%	2.38%	5.42%	4.74%	1.82%	2.20%	3.28%	5.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3931	284	333	298	265	131	230	249	176	443	88	52	75	142	143	99	44	62	77	86	61	57	91	99	62	143	71	70									
		43.78%	38.27%	41.16%	38.80%	42.95%	37.01%	40.71%	42.06%	33.15%	43.60%	59.86%	46.43%	71.43%	57.03%	43.60%	41.42%	56.41%	52.99%	51.33%	52.12%	56.48%	67.86%	54.82%	52.11%	56.36%	39.39%	58.20%	45.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	99	11	7	12	5	2	10	4	5	13	1	0	1	1	3	4	0	1	2	2	0	2	2	1	0	7	2	1									
		1.10%	1.48%	0.87%	1.56%	0.81%	0.56%	1.77%	0.68%	0.94%	1.28%	0.68%	0.00%	0.95%	0.40%	0.91%	1.67%	0.00%	0.85%	1.33%	1.21%	0.00%	2.38%	1.20%	0.53%	0.00%	1.93%	1.64%	0.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	2	0	1	1	2	0	1	3	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	2	0	2									
		0.23%	0.27%	0.00%	0.13%	0.16%	0.56%	0.00%	0.17%	0.56%	0.20%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.93%	0.00%	0.60%	0.00%	0.91%	0.55%	0.00%	1.31%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1627	138	143	143	121	64	119	97	98	162	30	23	15	43	57	32	10	27	20	33	20	14	34	16	21	98	24	25									
		18.12%	18.60%	17.68%	18.62%	19.61%	18.08%	21.06%	16.39%	18.46%	15.94%	20.41%	20.54%	14.29%	17.27%	17.38%	13.39%	12.82%	23.08%	13.33%	20.00%	18.52%	16.67%	20.48%	8.42%	19.09%	26.99%	19.67%	16.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	52	1	4	4	4	2	11	3	1	7	0	1	1	1	1	1	0	2	0	1	1	0	1	3	0	2	0	0									
		0.58%	0.13%	0.49%	0.52%	0.65%	0.56%	1.95%	0.51%	0.19%	0.69%	0.00%	0.89%	0.95%	0.40%	0.30%	0.42%	0.00%	1.71%	0.00%	0.61%	0.93%	0.00%	0.60%	1.58%	0.00%	0.55%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	72	5	7	5	4	3	2	5	4	4	0	2	1	1	5	5	0	1	2	2	0	0	0	3	4	3	3	1									
