Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Канская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405					
1	"Число избирателей, внесенных в списки"	19768	935	119	138	243	260	63	587	201	162	368	1289	258	815	158	117	133	622	87	120	690	82	77	139	666	98	101	38	217	140	171	465	134	231	104	755	282	118	212	88	231	874	82	1767	173	203	233	1041	355	183	242	109	193	197	2402					
2	"Число бюллетеней, полученных участковыми комиссиями"	19936	945	120	143	245	258	66	591	207	170	389	1309	262	806	167	121	134	625	87	123	680	83	77	150	674	100	103	39	219	144	170	470	131	231	108	762	284	119	214	88	223	877	81	1789	175	203	228	1056	353	183	237	108	196	199	2414					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10395	427	64	88	160	140	42	286	90	112	222	661	169	387	84	70	98	337	70	63	396	50	44	78	346	83	70	26	128	59	92	282	105	124	73	296	180	118	165	88	171	605	56	738	111	123	151	402	172	100	113	58	86	100	1036					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	579	19	10	4	0	0	0	5	4	9	2	62	0	37	0	1	5	41	0	0	18	1	7	0	11	0	0	4	9	3	0	20	6	7	0	49	0	0	0	0	0	43	0	78	0	0	12	62	0	0	0	0	0	0	50					
6	Число погашенных бюллетеней	8962	499	46	51	85	118	24	300	113	49	165	586	93	382	83	50	31	247	17	60	266	32	26	72	317	17	33	9	82	82	78	168	20	100	35	417	104	1	49	0	52	229	25	973	64	80	65	592	181	83	124	50	110	99	1328					
7	Число бюллетеней в переносных ящиках для голосования	579	19	10	4	0	0	0	5	4	9	2	62	0	37	0	1	5	41	0	0	18	1	7	0	11	0	0	4	9	3	0	20	6	7	0	49	0	0	0	0	0	43	0	78	0	0	12	62	0	0	0	0	0	0	50					
8	Число бюллетеней в стационарных ящиках для голосования	10395	427	64	88	160	140	42	286	90	112	222	661	169	387	84	70	98	337	70	63	396	50	44	78	346	83	70	26	128	59	92	282	105	124	73	296	180	118	165	88	171	605	56	738	111	123	151	402	172	100	113	58	86	100	1036					
9	Число недействительных бюллетеней	138	12	0	0	3	6	0	5	3	1	1	15	3	3	2	0	5	4	1	0	2	0	3	0	4	0	1	0	0	1	1	1	0	2	0	3	3	2	0	0	0	7	3	12	0	0	0	7	2	3	0	0	3	0	14					
10	Число действительных бюллетеней	10836	434	74	92	157	134	42	286	91	120	223	708	166	421	82	71	98	374	69	63	412	51	48	78	353	83	69	30	137	61	91	301	111	129	73	342	177	116	165	88	171	641	53	804	111	123	163	457	170	97	113	58	83	100	1072					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	189	7	2	2	7	2	2	7	2	2	2	7	2	7	2	2	2	7	2	2	7	2	2	2	7	2	2	2	2	2	2	7	2	2	2	7	2	2	2	2	2	7	2	10	2	2	2	7	7	2	2	2	2	2	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	1	0	0	2	0	0	0	0	0	1	2	2	1	0	1	0	1	1	1	2	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	2	0	7	0	0	0	3	0	0	0	0	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	3	0	0	1	0	0	2	1	1	1	2	0	1	1	1	0	0	2	1	2	1	1	0	2	1	1	1	1	1	0	1	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1					
14	Число погашенных открепительных удостоверений	151	6	2	2	5	2	2	7	2	2	1	5	0	6	2	1	2	6	1	1	5	2	2	2	6	1	1	2	1	2	2	6	2	2	2	6	2	1	2	2	1	5	2	3	2	2	2	4	7	2	2	2	1	2	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	111	7	0	1	1	1	0	7	3	0	0	5	1	3	2	1	2	7	0	2	4	2	0	0	2	1	1	0	1	1	0	4	1	0	0	6	2	4	0	0	0	3	3	5	3	1	2	3	4	3	1	1	1	2	7					
		1.01%	1.56%	0.0%	1.08%	0.62%	0.71%	0.0%	2.40%	3.19%	0.0%	0.0%	0.69%	0.59%	0.70%	2.38%	1.40%	1.94%	1.85%	0.0%	3.17%	0.96%	3.92%	0.0%	0.0%	0.56%	1.20%	1.42%	0.0%	0.72%	1.61%	0.0%	1.32%	0.90%	0.0%	0.0%	1.73%	1.11%	3.38%	0.0%	0.0%	0.0%	0.46%	5.35%	0.61%	2.70%	0.81%	1.22%	0.64%	2.32%	3.0%	0.88%	1.72%	1.16%	2.0%	0.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	99	13	0	0	0	0	0	3	1	0	5	4	1	3	0	1	2	5	0	2	3	0	0	4	0	0	0	0	1	0	0	1	2	1	0	2	2	0	0	0	1	3	0	20	3	2	1	6	0	0	1	0	1	0	5					
		0.90%	2.91%	0.0%	0.0%	0.0%	0.0%	0.0%	1.03%	1.06%	0.0%	2.23%	0.55%	0.59%	0.70%	0.0%	1.40%	1.94%	1.32%	0.0%	3.17%	0.72%	0.0%	0.0%	5.12%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.33%	1.80%	0.76%	0.0%	0.57%	1.11%	0.0%	0.0%	0.0%	0.58%	0.46%	0.0%	2.45%	2.70%	1.62%	0.61%	1.29%	0.0%	0.0%	0.88%	0.0%	1.16%	0.0%	0.46%					
