Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Новошахтинская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405					
1	"Число избирателей, внесенных в списки"	79596	1778	1597	1731	1078	1367	1138	1436	1200	1026	1743	1598	1179	2100	1473	2192	2438	1850	1660	1391	1852	1464	1443	1651	1275	1899	1405	1835	1835	1661	1820	699	998	1350	1283	2083	1359	1602	1218	855	674	1043	874	1482	1540	1032	1270	850	523	1169	2170	1186	1353	1211	2081	1576					
2	"Число бюллетеней, полученных участковыми комиссиями"	79180	1800	1560	1800	1050	1300	1100	1400	1200	1010	1700	1550	1140	2080	1460	2180	2370	1780	1720	1400	1840	1470	1500	1600	1270	1870	1400	1910	1770	1710	1760	710	1000	1320	1250	2100	1160	1600	1220	900	650	1060	880	1500	1580	1080	1300	840	520	1160	2220	1180	1370	1200	2120	1560					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32677	690	635	667	349	546	397	518	467	303	900	748	550	779	606	937	1076	781	617	589	752	632	587	635	441	685	667	831	788	746	908	358	332	613	448	671	410	628	410	287	340	317	360	496	657	414	552	483	206	426	1102	464	572	523	951	830					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3957	103	85	71	46	75	29	54	38	104	135	192	80	27	45	30	64	20	147	33	32	59	104	41	98	84	26	33	61	89	38	98	44	44	164	152	52	34	111	98	63	117	33	64	34	26	35	34	66	114	41	89	87	61	158	95					
6	Число погашенных бюллетеней	42546	1007	840	1062	655	679	674	828	695	603	665	610	510	1274	809	1213	1230	979	956	778	1056	779	809	924	731	1101	707	1046	921	875	814	254	624	663	638	1277	698	938	699	515	247	626	487	940	889	640	713	323	248	620	1077	627	711	616	1011	635					
7	Число бюллетеней в переносных ящиках для голосования	3957	103	85	71	46	75	29	54	38	104	135	192	80	27	45	30	64	20	147	33	32	59	104	41	98	84	26	33	61	89	38	98	44	44	164	152	52	34	111	98	63	117	33	64	34	26	35	34	66	114	41	89	87	61	158	95					
8	Число бюллетеней в стационарных ящиках для голосования	32459	690	635	667	349	546	397	517	467	303	900	556	550	779	606	937	1076	761	617	589	752	632	587	635	440	685	667	831	788	746	908	358	331	612	448	671	410	628	410	287	340	315	360	496	657	414	552	483	206	426	1102	464	572	523	951	830					
9	Число недействительных бюллетеней	537	13	7	0	6	8	5	14	6	4	6	2	7	8	4	0	16	17	22	9	0	14	15	15	5	13	10	1	12	15	0	2	9	12	10	0	3	14	111	7	8	2	7	8	16	6	13	4	0	3	17	0	4	7	3	17					
10	Число действительных бюллетеней	35879	780	713	738	389	613	421	557	499	403	1029	746	623	798	647	967	1124	764	742	613	784	677	676	661	533	756	683	863	837	820	946	454	366	644	602	823	459	648	410	378	395	430	386	552	675	434	574	513	272	537	1126	553	655	577	1106	908					
