Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Барабинская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80					
1	"Число избирателей, внесенных в списки"	12450	525	198	365	230	435	477	144	609	222	216	839	246	457	178	441	321	297	196	478	309	894	269	261	398	483	403	479	208	668	444	310	450					
2	"Число бюллетеней, полученных участковыми комиссиями"	12720	620	190	520	230	440	480	150	600	220	210	830	240	440	180	440	330	290	200	640	310	860	260	250	370	470	390	470	210	670	440	310	460					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9549	514	170	345	226	410	407	96	443	143	154	542	189	346	136	345	260	210	144	478	233	601	164	212	280	366	291	320	180	451	334	244	315					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	224	11	0	20	0	0	13	36	25	6	14	0	0	0	5	0	0	0	0	0	0	6	20	0	0	0	0	6	0	57	0	5	0					
6	Число погашенных бюллетеней	2947	95	20	155	4	30	60	18	132	71	42	288	51	94	39	95	70	80	56	162	77	253	76	38	90	104	99	144	30	162	106	61	145					
7	Число бюллетеней в переносных ящиках для голосования	224	11	0	20	0	0	13	36	25	6	14	0	0	0	5	0	0	0	0	0	0	6	20	0	0	0	0	6	0	57	0	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	9548	514	170	345	226	410	407	96	443	143	154	542	189	346	136	345	260	210	144	478	233	601	164	212	279	366	291	320	180	451	334	244	315					
9	Число недействительных бюллетеней	158	3	2	4	0	3	3	0	6	5	1	13	1	12	2	2	3	12	4	6	2	2	1	9	8	10	4	14	0	16	1	0	9					
10	Число действительных бюллетеней	9614	522	168	361	226	407	417	132	462	144	167	529	188	334	139	343	257	198	140	472	231	605	183	203	271	356	287	312	180	492	333	249	306					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	10	5	10	5	5	10	5	10	5	5	10	5	5	5	5	5	5	5	10	5	10	5	5	5	5	5	5	5	10	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	0	0	1	0	1	0	0	1	0	0	2	0	1	0	1	3	3	0	2	0	3	0	0	0	2	1	0	0	7	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	0	2	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	2	0	0	0	0	1	1					
14	Число погашенных открепительных удостоверений	171	10	5	9	5	4	10	5	9	5	5	8	5	4	5	4	2	2	5	8	5	7	5	5	5	3	4	5	5	3	4	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	160	8	1	6	0	2	5	1	6	3	4	8	3	7	1	7	4	4	2	7	2	20	4	5	0	3	4	4	0	8	12	3	16					
		1.63%	1.52%	0.58%	1.64%	0.0%	0.48%	1.19%	0.75%	1.28%	2.01%	2.38%	1.47%	1.58%	2.02%	0.70%	2.02%	1.53%	1.90%	1.38%	1.46%	0.85%	3.29%	2.17%	2.35%	0.0%	0.81%	1.37%	1.22%	0.0%	1.57%	3.59%	1.20%	5.07%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	74	9	0	5	2	4	1	1	3	4	0	3	1	3	0	6	0	0	6	4	1	3	0	2	2	5	1	2	0	6	0	0	0					
		0.75%	1.71%	0.0%	1.36%	0.88%	0.97%	0.23%	0.75%	0.64%	2.68%	0.0%	0.55%	0.52%	0.86%	0.0%	1.73%	0.0%	0.0%	4.16%	0.83%	0.42%	0.49%	0.0%	0.94%	0.71%	1.36%	0.34%	0.61%	0.0%	1.18%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	224	20	0	6	1	8	18	6	6	0	3	13	1	6	0	9	4	3	2	11	5	17	4	4	8	14	3	13	3	23	2	6	5					
		2.29%	3.80%	0.0%	1.64%	0.44%	1.95%	4.28%	4.54%	1.28%	0.0%	1.78%	2.39%	0.52%	1.73%	0.0%	2.60%	1.53%	1.42%	1.38%	2.30%	2.14%	2.80%	2.17%	1.88%	2.86%	3.82%	1.03%	3.98%	1.66%	4.52%	0.59%	2.40%	1.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	66	3	0	1	0	2	6	0	3	1	0	3	1	8	1	8	2	0	0	4	0	7	0	0	1	3	6	3	0	1	1	1	0					
		0.67%	0.57%	0.0%	0.27%	0.0%	0.48%	1.42%	0.0%	0.64%	0.67%	0.0%	0.55%	0.52%	2.31%	0.70%	2.31%	0.76%	0.0%	0.0%	0.83%	0.0%	1.15%	0.0%	0.0%	0.35%	0.81%	2.06%	0.92%	0.0%	0.19%	0.29%	0.40%	0.0%					
22	"5. ""За Русь Святую"""	40	1	0	2	0	2	7	0	0	1	2	1	1	2	0	1	0	4	0	1	1	2	1	3	1	2	1	1	0	3	0	0	0					
		0.40%	0.19%	0.0%	0.54%	0.0%	0.48%	1.66%	0.0%	0.0%	0.67%	1.19%	0.18%	0.52%	0.57%	0.0%	0.28%	0.0%	1.90%	0.0%	0.20%	0.42%	0.32%	0.54%	1.41%	0.35%	0.54%	0.34%	0.30%	0.0%	0.59%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	0	0	1	0	4	3	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	2	1	0	0	0	2	1	0					
		0.19%	0.0%	0.0%	0.27%	0.0%	0.97%	0.71%	0.0%	0.21%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.34%	0.0%	0.0%	0.0%	0.59%	0.40%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	18	0	0	2	0	0	1	1	0	0	0	2	1	1	0	1	2	0	1	1	0	0	0	1	0	0	0	0	0	1	1	2	0					
		0.18%	0.0%	0.0%	0.54%	0.0%	0.0%	0.23%	0.75%	0.0%	0.0%	0.0%	0.36%	0.52%	0.28%	0.0%	0.28%	0.76%	0.0%	0.69%	0.20%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.29%	0.80%	0.0%					
25	"8. ""Народно-республиканская партия России"""	23	2	0	0	1	2	1	0	0	0	1	2	1	3	0	0	1	0	0	2	0	1	1	0	0	0	0	1	0	0	2	2	0					
		0.23%	0.38%	0.0%	0.0%	0.44%	0.48%	0.23%	0.0%	0.0%	0.0%	0.59%	0.36%	0.52%	0.86%	0.0%	0.0%	0.38%	0.0%	0.0%	0.41%	0.0%	0.16%	0.54%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.59%	0.80%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.44%	0.24%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1430	89	3	65	63	91	56	4	59	22	25	40	11	32	23	48	39	27	17	72	13	64	45	28	26	65	58	59	75	85	29	44	53					
		14.63%	16.95%	1.76%	17.80%	27.87%	22.19%	13.33%	3.03%	12.60%	14.76%	14.88%	7.38%	5.82%	9.24%	16.31%	13.91%	15.0%	12.85%	11.80%	15.06%	5.57%	10.54%	24.45%	13.20%	9.31%	17.75%	19.93%	18.09%	41.66%	16.73%	8.68%	17.67%	16.82%					
28	"11. ""Истинные патриоты России"""	14	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0					
		0.14%	0.0%	0.0%	0.0%	0.44%	0.97%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	1.53%	0.47%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	66	5	0	1	2	4	4	1	4	0	0	3	2	0	1	3	2	0	1	1	4	3	2	0	0	7	2	4	0	3	1	2	4					
		0.67%	0.95%	0.0%	0.27%	0.88%	0.97%	0.95%	0.75%	0.85%	0.0%	0.0%	0.55%	1.05%	0.0%	0.70%	0.86%	0.76%	0.0%	0.69%	0.20%	1.71%	0.49%	1.08%	0.0%	0.0%	1.91%	0.68%	1.22%	0.0%	0.59%	0.29%	0.80%	1.26%					
30	"13. ""Демократическая партия России"""	20	4	0	2	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	3	0	0	1					
		0.20%	0.76%	0.0%	0.54%	0.0%	0.73%	0.23%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.35%	0.27%	0.0%	0.30%	0.0%	0.59%	0.0%	0.0%	0.31%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.67%	0.59%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.20%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.40%	0.0%					
32	"15. ""Партия СЛОН"""	18	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0					
		0.18%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.81%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	349	30	5	10	4	13	14	10	12	3	25	23	7	16	8	13	4	4	10	7	12	12	4	11	12	22	0	13	8	4	17	11	5					
		3.57%	5.71%	2.94%	2.73%	1.76%	3.17%	3.33%	7.57%	2.56%	2.01%	14.88%	4.24%	3.70%	4.62%	5.67%	3.76%	1.53%	1.90%	6.94%	1.46%	5.15%	1.97%	2.17%	5.18%	4.30%	6.01%	0.0%	3.98%	4.44%	0.78%	5.08%	4.41%	1.58%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	28	1	2	2	0	1	2	0	1	5	0	1	0	1	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	3					
		0.28%	0.19%	1.17%	0.54%	0.0%	0.24%	0.47%	0.0%	0.21%	3.35%	0.0%	0.18%	0.0%	0.28%	2.12%	0.28%	0.0%	0.47%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.80%	0.95%					
35	"18. ""ЛДПР"""	1539	49	21	53	31	60	59	28	69	34	30	95	32	67	27	59	18	34	24	84	48	90	34	33	74	44	39	35	11	85	55	26	91					
		15.74%	9.33%	12.35%	14.52%	13.71%	14.63%	14.04%	21.21%	14.74%	22.81%	17.85%	17.52%	16.93%	19.36%	19.14%	17.10%	6.92%	16.19%	16.66%	17.57%	20.60%	14.82%	18.47%	15.56%	26.52%	12.02%	13.40%	10.73%	6.11%	16.73%	16.46%	10.44%	28.88%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	143	8	0	7	2	9	11	2	6	3	1	10	1	4	6	4	2	3	5	6	1	7	0	3	2	7	1	5	0	12	5	3	7					
		1.46%	1.52%	0.0%	1.91%	0.88%	2.19%	2.61%	1.51%	1.28%	2.01%	0.59%	1.84%	0.52%	1.15%	4.25%	1.15%	0.76%	1.42%	3.47%	1.25%	0.42%	1.15%	0.0%	1.41%	0.71%	1.91%	0.34%	1.53%	0.0%	2.36%	1.49%	1.20%	2.22%					
37	"20. ""Политическая партия ""Единая Россия"""	3555	217	107	131	87	121	167	54	149	46	48	232	102	130	42	119	86	65	42	156	87	238	48	93	97	85	100	128	72	188	176	81	61					
		36.37%	41.33%	62.94%	35.89%	38.49%	29.51%	39.76%	40.90%	31.83%	30.87%	28.57%	42.80%	53.96%	37.57%	29.78%	34.49%	33.07%	30.95%	29.16%	32.63%	37.33%	39.20%	26.08%	43.86%	34.76%	23.22%	34.36%	39.26%	40.0%	37.00%	52.69%	32.53%	19.36%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	1	0	1	1	1	0	2	0	0	2	0	3	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	1					
		0.19%	0.0%	0.58%	0.0%	0.44%	0.24%	0.23%	0.0%	0.42%	0.0%	0.0%	0.36%	0.0%	0.86%	0.70%	0.0%	0.38%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.59%	0.0%	0.31%					
39	"22. ""Развитие предпринимательства"""	19	3	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	6	0	0	0	0	0	1	0	0	0	1	1					
		0.19%	0.57%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.28%	0.70%	0.0%	0.38%	0.0%	0.69%	0.0%	0.42%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.40%	0.31%					
