Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Пинежская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704					
1	"Число избирателей, внесенных в список избирателей"	23550	485	816	334	215	223	546	375	891	932	213	96	388	231	768	253	509	140	427	618	1393	2066	398	1262	411	570	1213	528	1442	319	136	346	210	132	126	130	333	346	244	391	1668	1083	115	150	78					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22030	480	800	320	210	220	550	350	850	900	200	100	350	250	750	250	500	150	400	600	1300	1800	350	1200	400	500	1000	500	1400	300	150	300	200	100	100	120	300	350	250	250	1600	1000	100	150	80					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11034	263	446	157	134	124	220	190	438	388	99	54	209	82	344	156	196	71	201	363	776	1130	253	541	130	237	479	229	626	175	58	187	75	69	65	47	114	133	52	179	761	436	44	68	35					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1075	31	17	9	7	12	18	29	66	39	10	6	32	7	36	8	40	4	37	15	15	71	12	5	50	26	30	31	35	5	6	21	3	11	4	8	54	44	62	18	17	52	38	20	14					
6	Число погашенных избирательных бюллетеней	9912	186	337	154	69	84	312	131	346	473	91	40	109	161	370	86	264	75	162	222	509	599	85	654	220	237	491	240	730	120	86	92	122	20	31	65	132	173	136	53	822	512	18	62	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1084	31	17	9	7	12	18	29	66	39	10	6	32	7	36	8	40	4	37	15	15	71	12	5	50	26	30	31	44	5	6	21	3	11	4	8	54	44	62	18	17	52	38	20	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11033	263	446	157	134	124	220	190	438	388	99	54	209	82	344	156	196	71	201	363	776	1129	253	541	130	237	479	229	626	175	58	187	75	69	65	47	114	133	52	179	761	436	44	68	35					
9	Число недействительных избирательных бюллетеней	103	0	7	5	1	0	1	1	4	2	1	0	1	2	1	0	0	1	4	8	9	12	3	4	1	6	6	0	2	0	0	4	2	0	0	0	2	1	0	0	8	4	0	0	0					
10	Число действительных избирательных бюллетеней	12014	294	456	161	140	136	237	218	500	425	108	60	240	87	379	164	236	74	234	370	782	1188	262	542	179	257	503	260	668	180	64	204	76	80	69	55	166	176	114	197	770	484	82	88	49					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	426	5	20	4	5	4	8	6	20	10	6	6	15	5	7	10	14	3	10	13	15	25	16	20	6	8	20	10	20	10	5	10	4	3	4	4	10	4	6	3	20	20	4	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	276	0	16	3	5	3	8	6	11	2	2	6	14	5	7	10	14	3	4	10	12	19	8	15	2	1	16	5	11	5	5	2	3	3	1	4	4	1	5	1	11	7	1	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	119	0	1	0	0	0	1	3	2	2	1	0	3	2	1	1	4	1	1	3	23	21	0	7	4	1	1	2	4	1	1	2	0	1	0	0	1	1	0	1	14	2	4	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	150	5	4	1	0	1	0	0	9	8	4	0	1	0	0	0	0	0	6	3	3	6	8	5	4	7	4	5	9	5	0	8	1	0	3	0	6	3	1	2	9	13	3	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3429	86	120	57	15	31	73	53	163	147	21	23	79	23	123	32	52	31	65	121	207	358	52	132	38	73	165	105	216	45	7	61	13	16	21	16	61	27	21	54	232	133	24	23	14					
		28.30%	29.25%	25.92%	34.34%	10.64%	22.79%	30.67%	24.20%	32.34%	34.43%	19.27%	38.33%	32.78%	25.84%	32.37%	19.51%	22.03%	41.33%	27.31%	32.01%	26.17%	29.83%	19.62%	24.18%	21.11%	27.76%	32.42%	40.38%	32.24%	25.00%	10.94%	29.33%	16.67%	20.00%	30.43%	29.09%	36.31%	15.25%	18.42%	27.41%	29.82%	27.25%	29.27%	26.14%	28.57%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2025	40	108	20	28	27	24	43	95	60	13	7	26	4	57	22	33	18	32	52	140	210	62	108	37	41	80	41	106	37	6	31	13	10	4	8	24	25	15	44	141	92	18	17	6					
		16.71%	13.61%	23.33%	12.05%	19.86%	19.85%	10.08%	19.63%	18.85%	14.05%	11.93%	11.67%	10.79%	4.49%	15.00%	13.41%	13.98%	24.00%	13.45%	13.76%	17.70%	17.50%	23.40%	19.78%	20.56%	15.59%	15.72%	15.77%	15.82%	20.56%	9.38%	14.90%	16.67%	12.50%	5.80%	14.55%	14.29%	14.12%	13.16%	22.34%	18.12%	18.85%	21.95%	19.32%	12.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	158	4	5	0	1	2	5	3	8	2	0	0	2	2	5	2	2	0	0	4	18	33	2	6	1	0	3	4	9	2	1	1	2	0	1	0	3	2	3	0	10	5	2	2	1					
		1.30%	1.36%	1.08%	0.00%	0.71%	1.47%	2.10%	1.37%	1.59%	0.47%	0.00%	0.00%	0.83%	2.25%	1.32%	1.22%	0.85%	0.00%	0.00%	1.06%	2.28%	2.75%	0.75%	1.10%	0.56%	0.00%	0.59%	1.54%	1.34%	1.11%	1.56%	0.48%	2.56%	0.00%	1.45%	0.00%	1.79%	1.13%	2.63%	0.00%	1.29%	1.02%	2.44%	2.27%	2.04%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1884	50	93	31	32	32	36	21	64	47	15	10	39	29	51	24	42	12	42	69	145	186	45	96	32	32	94	33	123	33	9	26	9	18	10	4	23	19	7	22	95	65	3	12	4					
		15.55%	17.01%	20.09%	18.67%	22.70%	23.53%	15.13%	9.59%	12.70%	11.01%	13.76%	16.67%	16.18%	32.58%	13.42%	14.63%	17.80%	16.00%	17.65%	18.25%	18.33%	15.50%	16.98%	17.58%	17.78%	12.17%	18.47%	12.69%	18.36%	18.33%	14.06%	12.50%	11.54%	22.50%	14.49%	7.27%	13.69%	10.73%	6.14%	11.17%	12.21%	13.32%	3.66%	13.64%	8.16%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	234	2	2	4	1	6	1	2	3	5	0	0	3	2	12	2	3	0	3	4	25	47	14	11	1	1	12	2	10	6	0	2	2	0	1	0	2	4	1	5	18	12	1	1	1					
		1.93%	0.68%	0.43%	2.41%	0.71%	4.41%	0.42%	0.91%	0.60%	1.17%	0.00%	0.00%	1.24%	2.25%	3.16%	1.22%	1.27%	0.00%	1.26%	1.06%	3.16%	3.92%	5.28%	2.01%	0.56%	0.38%	2.36%	0.77%	1.49%	3.33%	0.00%	0.96%	2.56%	0.00%	1.45%	0.00%	1.19%	2.26%	0.88%	2.54%	2.31%	2.46%	1.22%	1.14%	2.04%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4212	112	126	49	63	38	98	95	163	163	59	20	91	26	130	82	104	13	91	117	238	342	85	184	70	110	144	75	202	57	41	80	35	36	31	27	49	97	67	70	267	177	34	31	23					
		34.76%	38.10%	27.21%	29.52%	44.68%	27.94%	41.18%	43.38%	32.34%	38.17%	54.13%	33.33%	37.76%	29.21%	34.21%	50.00%	44.07%	17.33%	38.24%	30.95%	30.09%	28.50%	32.08%	33.70%	38.89%	41.83%	28.29%	28.85%	30.15%	31.67%	64.06%	38.46%	44.87%	45.00%	44.93%	49.09%	29.17%	54.80%	58.77%	35.53%	34.32%	36.27%	41.46%	35.23%	46.94%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	72	0	2	0	0	0	0	1	4	1	0	0	0	1	1	0	0	0	1	3	9	12	2	5	0	0	5	0	2	0	0	3	2	0	1	0	4	2	0	2	7	0	0	2	0					
		0.59%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.46%	0.79%	0.23%	0.00%	0.00%	0.00%	1.12%	0.26%	0.00%	0.00%	0.00%	0.42%	0.79%	1.14%	1.00%	0.75%	0.92%	0.00%	0.00%	0.98%	0.00%	0.30%	0.00%	0.00%	1.44%	2.56%	0.00%	1.45%	0.00%	2.38%	1.13%	0.00%	1.02%	0.90%	0.00%	0.00%	2.27%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
