Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Вичугская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
1	"Число избирателей, внесенных в списки"	17587	337	210	85	232	717	138	108	755	113	271	342	82	1279	238	493	177	273	349	91	318	112	527	274	1708	1240	1310	1340	1222	1746	1500					
2	"Число бюллетеней, полученных участковыми комиссиями"	17478	336	211	92	232	716	136	102	749	117	275	349	84	1282	239	500	174	272	355	88	322	117	526	277	1666	1216	1303	1330	1200	1742	1470					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7726	160	82	54	92	381	27	61	338	14	158	154	40	447	108	129	64	90	111	55	163	52	209	71	744	577	612	570	573	816	774					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1645	44	31	5	65	76	46	9	47	63	6	3	10	145	57	149	42	73	106	1	22	28	99	119	78	56	52	50	100	20	43					
6	Число погашенных бюллетеней	8107	132	98	33	75	259	63	32	364	40	111	192	34	690	74	222	68	109	138	32	137	37	218	87	844	583	639	710	527	906	653					
7	Число бюллетеней в переносных ящиках для голосования	1645	44	31	5	65	76	46	9	47	63	6	3	10	145	57	149	42	73	106	1	22	28	99	119	78	56	52	50	100	20	43					
8	Число бюллетеней в стационарных ящиках для голосования	7726	160	82	54	92	381	27	61	338	14	158	154	40	447	108	129	64	90	111	55	163	52	209	71	744	577	612	570	573	816	774					
9	Число недействительных бюллетеней	144	2	0	1	3	8	2	3	4	0	7	2	1	20	2	3	1	1	3	2	0	0	5	0	20	15	13	10	9	4	3					
10	Число действительных бюллетеней	9227	202	113	58	154	449	71	67	381	77	157	155	49	572	163	275	105	162	214	54	185	80	303	190	802	618	651	610	664	832	814					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	173	5	3	3	3	7	3	3	7	3	4	4	3	10	4	7	4	4	5	2	4	3	6	4	10	10	10	10	10	11	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	5	0	3	0	0	1	0	3	0	0	3	0	1	2	1	1	0	5	0	0	3	6	0	2	10	4	5	4	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	2	1	2	2	2	4	3	7	1	1	1	0	5	3	2	4	3	1	5	1	0	8	1	6	4	1	5	4	7	11					
14	Число погашенных открепительных удостоверений	106	0	3	0	3	7	2	3	4	3	4	1	3	9	2	6	3	4	0	2	4	0	0	4	8	0	6	5	6	4	10					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	129	4	6	2	4	10	0	1	3	3	2	2	1	11	0	1	4	3	5	4	0	3	3	3	17	5	10	6	5	5	6					
		1.37%	1.96%	5.30%	3.38%	2.54%	2.18%	0.0%	1.42%	0.77%	3.89%	1.21%	1.27%	2.0%	1.85%	0.0%	0.35%	3.77%	1.84%	2.30%	7.14%	0.0%	3.75%	0.97%	1.57%	2.06%	0.78%	1.50%	0.96%	0.74%	0.59%	0.73%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	85	0	1	0	2	2	2	0	1	0	0	2	1	4	5	2	0	0	1	2	0	0	0	0	10	8	12	5	8	13	4					
		0.90%	0.0%	0.88%	0.0%	1.27%	0.43%	2.73%	0.0%	0.25%	0.0%	0.0%	1.27%	2.0%	0.67%	3.03%	0.71%	0.0%	0.0%	0.46%	3.57%	0.0%	0.0%	0.0%	0.0%	1.21%	1.26%	1.80%	0.80%	1.18%	1.55%	0.48%					
