Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																	
Дата голосования: 02.12.2007																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия г.Абакана																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74					
1	"Число избирателей, внесенных в списки избирателей"	124360	1277	1060	1516	908	1123	1097	1710	1405	1876	1771	1982	2352	2267	1705	2340	1453	1460	2347	2463	2251	1467	2536	1593	1989	1547	1402	1389	1566	1483	1630	1675	1664	985	2307	1782	1303	1515	1238	1793	2082	2104	1981	1364	1419	1528	1254	1386	1828	3097	2390	1825	2467	1713	2197	2215	2089	1463	2295	1573	2333	2898	2837	1516	1241	1408	1561	1857	306	496	136	1248	1488	1167	371					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	99600	1000	900	1200	800	900	1000	1400	1100	1500	1400	1600	1900	1800	1400	1900	1200	1200	1800	2000	1800	1100	1800	1200	1500	1200	1100	1100	1300	1100	1300	1300	1300	800	1900	1400	1000	1200	900	1400	1700	1700	1600	1100	1100	1200	1000	1100	1500	2000	1900	1500	2000	1400	1800	1700	1700	1200	1800	1100	1900	2100	2300	1200	1000	1100	1300	1500	600	800	600	1000	1200	900	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60285	636	574	1008	452	556	635	993	776	893	883	871	1207	1178	771	1010	559	781	1245	1402	1180	614	1364	610	761	692	517	519	628	644	799	738	717	526	1075	789	479	642	530	827	1102	1059	903	560	605	778	550	664	966	1298	871	950	1231	889	1166	1084	1107	708	1184	728	1266	1391	1486	759	647	777	728	905	204	473	56	470	798	650	191					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2254	13	22	19	34	28	31	24	28	35	27	16	26	33	24	30	14	22	75	21	36	30	24	36	25	38	38	34	41	30	37	42	34	18	39	17	25	17	14	15	21	18	45	21	15	39	24	28	30	31	23	10	52	12	19	18	31	14	33	317	18	19	21	11	16	10	21	24	93	23	54	11	10	10	0					
6	Число погашенных избирательных бюллетеней	37061	351	304	173	314	316	334	383	296	572	490	713	667	589	605	860	627	397	480	577	584	456	412	554	714	470	545	547	631	426	464	520	549	256	786	594	496	541	356	558	577	623	652	519	480	383	426	408	504	671	1006	540	717	499	615	598	562	478	583	55	616	690	793	430	337	313	551	571	303	304	490	519	392	240	109					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2254	13	22	19	34	28	31	24	28	35	27	16	26	33	24	30	14	22	75	21	36	30	24	36	25	38	38	34	41	30	37	42	34	18	39	17	25	17	14	15	21	18	45	21	15	39	24	28	30	31	23	10	52	12	19	18	31	14	33	317	18	19	21	11	16	10	21	24	93	23	54	11	10	10	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60251	636	574	1006	452	555	635	992	776	893	883	871	1206	1166	771	1010	559	781	1245	1402	1177	614	1364	610	761	692	517	519	628	644	799	738	717	526	1075	789	478	642	530	825	1102	1059	903	560	605	778	550	664	965	1297	869	950	1231	888	1165	1084	1107	708	1184	727	1266	1389	1485	759	647	777	728	905	204	473	56	469	798	650	191					
9	Число недействительных избирательных бюллетеней	634	5	3	11	5	7	7	8	8	12	8	10	13	8	9	7	8	14	17	23	15	4	18	5	10	9	0	12	3	3	6	6	7	8	4	7	5	6	3	4	10	6	8	4	8	8	5	7	9	28	7	7	10	8	16	12	8	13	13	44	7	3	17	6	2	3	8	7	5	9	0	4	5	7	2					
10	Число действительных избирательных бюллетеней	61871	644	593	1014	481	576	659	1008	796	916	902	877	1219	1191	786	1033	565	789	1303	1400	1198	640	1370	641	776	721	555	541	666	671	830	774	744	536	1110	799	498	653	541	836	1113	1071	940	577	612	809	569	685	986	1300	885	953	1273	892	1168	1090	1130	709	1204	1000	1277	1405	1489	764	661	784	741	922	292	487	110	476	803	653	189					
