Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Тихорецкая городская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  5201	УИК  5202	УИК  5203	УИК  5204	УИК  5205	УИК  5206	УИК  5207	УИК  5208	УИК  5209	УИК  5210	УИК  5211	УИК  5212	УИК  5213	УИК  5214	УИК  5215	УИК  5216	УИК  5217	УИК  5218	УИК  5219	УИК  5220	УИК  5221	УИК  5222	УИК  5223	УИК  5224	УИК  5225	УИК  5226	УИК  5227	УИК  5228					
1	"Число избирателей, внесенных в списки"	54758	2560	2187	2370	2406	2417	2455	2378	2386	2513	2057	1752	2046	2404	1770	1611	2358	1728	1635	1781	1928	2023	2045	2394	880	1396	331	1429	1518					
2	"Число бюллетеней, полученных участковыми комиссиями"	54118	2515	2160	2345	2380	2405	2425	2355	2345	2490	2036	1725	2024	2390	1745	1595	2335	1720	1605	1785	1925	1975	2020	2320	875	1370	323	1430	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24567	1084	852	1054	1162	1170	1053	1215	1203	1073	925	777	870	1050	728	666	1125	757	751	725	830	919	935	1360	385	616	138	540	604					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	936	22	46	57	37	29	12	19	10	47	117	31	55	22	44	42	46	26	28	38	22	26	23	11	18	25	3	37	43					
6	Число погашенных бюллетеней	28615	1409	1262	1234	1181	1206	1360	1121	1132	1370	994	917	1099	1318	973	887	1164	937	826	1022	1073	1030	1062	949	472	729	182	853	853					
7	Число бюллетеней в переносных ящиках для голосования	936	22	46	57	37	29	12	19	10	47	117	31	55	22	44	42	46	26	28	38	22	26	23	11	18	25	3	37	43					
8	Число бюллетеней в стационарных ящиках для голосования	24560	1084	852	1054	1162	1169	1053	1215	1203	1073	925	777	869	1050	728	666	1125	757	751	725	830	918	934	1357	385	616	138	540	604					
9	Число недействительных бюллетеней	264	11	6	17	15	8	9	4	14	11	17	8	5	15	9	4	7	8	8	14	11	7	17	8	5	15	0	3	8					
10	Число действительных бюллетеней	25232	1095	892	1094	1184	1190	1056	1230	1199	1109	1025	800	919	1057	763	704	1164	775	771	749	841	937	940	1360	398	626	141	574	639					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	598	29	24	25	26	27	27	25	25	26	22	20	22	26	20	18	25	19	18	20	20	22	22	25	11	16	5	16	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	139	5	4	5	6	13	8	4	13	7	11	2	3	4	0	3	16	0	1	2	2	3	3	14	3	3	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	105	4	5	2	2	3	2	3	6	4	41	3	5	1	1	1	12	1	1	0	0	0	2	1	0	5	0	0	0					
14	Число погашенных открепительных удостоверений	459	24	20	20	20	14	19	21	12	19	11	18	19	22	20	15	9	19	17	18	18	19	19	11	8	13	3	14	17					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	170	9	6	5	11	5	7	11	12	12	7	6	3	7	7	3	5	5	3	5	2	4	4	15	2	7	1	2	4					
		0.66%	0.81%	0.66%	0.45%	0.91%	0.41%	0.65%	0.89%	0.98%	1.07%	0.67%	0.74%	0.32%	0.65%	0.90%	0.42%	0.42%	0.63%	0.38%	0.65%	0.23%	0.42%	0.41%	1.09%	0.49%	1.09%	0.70%	0.34%	0.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	346	30	9	12	21	15	34	25	22	15	13	7	14	10	8	2	23	7	5	7	5	14	10	17	1	9	1	5	5					
		1.35%	2.71%	1.00%	1.08%	1.75%	1.25%	3.19%	2.02%	1.81%	1.33%	1.24%	0.86%	1.51%	0.93%	1.03%	0.28%	1.96%	0.89%	0.64%	0.91%	0.58%	1.48%	1.04%	1.24%	0.24%	1.40%	0.70%	0.86%	0.77%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	465	7	17	24	25	12	17	24	13	25	42	13	12	19	18	12	14	9	9	14	14	16	14	26	11	18	5	14	21					
		1.82%	0.63%	1.89%	2.16%	2.08%	1.00%	1.59%	1.94%	1.07%	2.23%	4.03%	1.60%	1.29%	1.77%	2.33%	1.69%	1.19%	1.14%	1.15%	1.83%	1.64%	1.69%	1.46%	1.90%	2.72%	2.80%	3.54%	2.42%	3.24%					
