Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Онежская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27334	2800	2512	2319	2193	1806	1665	1607	1064	247	1155	490	326	249	456	279	387	410	137	74	361	206	119	318	154	162	551	252	85	1154	202	185	320	225	472	229	156	231	284	275	236	981									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27896	2830	2580	2410	2260	1830	1720	1660	1100	240	1200	500	340	250	450	288	390	420	120	70	350	210	120	330	160	160	570	260	80	1185	210	180	330	230	500	220	130	210	288	270	235	1010									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	193	0	0	0	0	0	0	0	0	0	0	0	0	27	7	0	29	0	12	0	25	18	0	20	0	0	19	0	0	0	4	0	1	0	0	0	0	27	0	4	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9077	973	1001	782	642	550	581	560	365	76	277	122	126	43	195	91	102	108	60	34	124	67	39	94	68	51	145	93	33	397	91	85	139	59	163	93	72	73	86	71	71	275									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	721	58	17	16	14	41	16	9	45	17	95	71	14	9	12	12	16	16	0	2	16	5	5	10	4	30	23	1	4	22	7	9	9	20	24	8	3	10	3	2	2	24									
6	Число погашенных избирательных бюллетеней	17905	1799	1562	1612	1604	1239	1123	1091	690	147	828	307	200	171	236	185	243	296	48	34	185	120	76	206	88	79	383	166	43	766	108	86	181	151	313	119	55	100	199	193	162	711									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	914	58	17	16	14	41	16	9	45	17	95	71	14	36	19	12	45	16	12	2	41	23	5	30	4	30	42	1	4	22	11	9	10	20	24	8	3	37	3	6	2	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9077	973	1001	782	642	550	581	560	365	76	277	122	126	43	195	91	102	108	60	34	124	67	39	94	68	51	145	93	33	397	91	85	139	59	163	93	72	73	86	71	71	275									
9	Число недействительных избирательных бюллетеней	242	30	33	19	7	20	19	24	15	2	15	0	1	2	3	0	3	1	0	1	0	0	1	1	0	3	1	2	0	8	1	1	2	0	3	0	0	1	3	4	1	15									
10	Число действительных избирательных бюллетеней	9749	1001	985	779	649	571	578	545	395	91	357	193	139	77	211	103	144	123	72	35	165	90	43	123	72	78	186	92	37	411	101	93	147	79	184	101	75	109	86	73	72	284									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	369	25	28	28	19	24	20	20	20	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	10	5	5	5	5	5	10	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	130	15	20	17	14	5	2	1	4	1	10	1	2	0	5	1	4	0	0	1	1	0	0	0	1	0	0	3	0	2	2	0	0	0	4	7	1	0	0	0	1	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	110	4	13	13	9	3	0	5	1	2	3	3	2	2	8	1	2	1	1	1	1	1	0	0	2	1	1	0	0	2	1	1	2	1	3	3	1	4	1	3	7	1									
14	Число погашенных неиспользованных открепительных удостоверений	239	10	8	11	5	19	18	19	16	4	0	4	3	5	0	4	1	5	5	4	4	5	5	5	4	5	10	2	5	8	3	5	5	5	1	3	4	5	5	5	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	3	3	6	5	2	3	5	0	0	0	0	0	1	3	0	0	0	0	0	1	1	0	0	1	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	112	11	18	14	9	6	9	3	1	0	7	4	2	2	1	1	1	0	0	0	2	1	0	0	3	0	1	2	0	2	1	2	1	0	1	0	0	1	0	0	1	5									
		1.12%	1.07%	1.77%	1.75%	1.37%	1.02%	1.51%	0.53%	0.24%	0.00%	1.88%	2.07%	1.43%	2.53%	0.47%	0.97%	0.68%	0.00%	0.00%	0.00%	1.21%	1.11%	0.00%	0.00%	4.17%	0.00%	0.53%	2.13%	0.00%	0.48%	0.98%	2.13%	0.67%	0.00%	0.53%	0.00%	0.00%	0.91%	0.00%	0.00%	1.37%	1.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	196	25	16	16	10	15	12	14	5	1	5	5	6	1	3	2	6	4	1	0	3	2	2	5	2	1	1	0	0	10	2	0	3	2	0	2	0	2	2	0	1	9									
		1.96%	2.42%	1.57%	2.01%	1.52%	2.54%	2.01%	2.46%	1.22%	1.08%	1.34%	2.59%	4.29%	1.27%	1.40%	1.94%	4.08%	3.23%	1.39%	0.00%	1.82%	2.22%	4.55%	4.03%	2.78%	1.23%	0.53%	0.00%	0.00%	2.39%	1.96%	0.00%	2.01%	2.53%	0.00%	1.98%	0.00%	1.82%	2.25%	0.00%	1.37%	3.01%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	314	32	27	22	23	30	10	19	13	3	4	5	4	3	7	4	10	4	2	0	8	1	0	4	4	1	5	4	1	24	3	2	2	2	5	2	5	1	5	2	1	10									
		3.14%	3.10%	2.65%	2.76%	3.51%	5.08%	1.68%	3.34%	3.17%	3.23%	1.08%	2.59%	2.86%	3.80%	3.27%	3.88%	6.80%	3.23%	2.78%	0.00%	4.85%	1.11%	0.00%	3.23%	5.56%	1.23%	2.67%	4.26%	2.70%	5.73%	2.94%	2.13%	1.34%	2.53%	2.67%	1.98%	6.67%	0.91%	5.62%	2.60%	1.37%	3.34%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4406	400	394	288	224	227	231	206	230	51	166	80	82	33	85	57	78	59	40	28	100	58	20	67	40	47	119	45	18	193	59	49	80	42	91	53	39	52	53	47	34	141									
		44.10%	38.80%	38.70%	36.09%	34.15%	38.41%	38.69%	36.20%	56.10%	54.84%	44.62%	41.45%	58.57%	41.77%	39.72%	55.34%	53.06%	47.58%	55.56%	77.78%	60.61%	64.44%	45.45%	54.03%	55.56%	58.02%	63.64%	47.87%	48.65%	46.06%	57.84%	52.13%	53.69%	53.16%	48.66%	52.48%	52.00%	47.27%	59.55%	61.04%	46.58%	47.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	4	6	5	5	3	4	4	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	1	1									
		0.44%	0.39%	0.59%	0.63%	0.76%	0.51%	0.67%	0.70%	0.24%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	1.39%	0.00%	0.00%	0.00%	2.27%	0.81%	0.00%	0.00%	0.00%	1.06%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.73%	0.00%	0.00%	1.37%	0.33%									
