Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Кызылская городская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32					
1	"Число избирателей, внесенных в список избирателей"	52870	1283	2772	1078	2209	1657	1698	1209	2209	1440	1815	1425	2050	2125	2271	1633	1938	1032	1307	1484	793	2036	1025	1913	2904	1028	1555	1382	1406	1590	1902	1488	1213					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58680	1500	2700	1100	2800	2000	1600	2300	2000	1700	1600	1900	2000	2200	2600	1600	1880	1200	1500	1400	1300	2300	1100	2200	2600	1300	2100	1700	1600	1600	2200	1700	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38091	1164	1984	816	1510	1337	982	938	1094	1029	680	879	1595	1464	2130	1359	1168	803	1030	997	617	1695	866	1601	1352	714	1506	1202	1075	1382	1305	910	907					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4240	89	117	262	43	74	260	50	61	167	31	148	55	277	41	62	482	35	125	188	19	25	75	116	850	73	29	166	62	81	41	46	90					
6	Число погашенных избирательных бюллетеней	16349	247	599	22	1247	589	358	1312	845	504	889	873	350	459	429	179	230	362	345	215	664	580	159	483	398	513	565	332	463	137	854	744	403					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4240	89	117	262	43	74	260	50	61	167	31	148	55	277	41	62	482	35	125	188	19	25	75	116	850	73	29	166	62	81	41	46	90					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38059	1164	1984	816	1510	1337	982	938	1090	1029	679	877	1595	1464	2130	1359	1168	803	1019	997	617	1695	866	1601	1352	714	1506	1202	1075	1382	1291	910	907					
9	Число недействительных избирательных бюллетеней	317	6	15	6	21	5	4	9	9	11	6	7	4	4	3	12	14	7	10	13	10	13	0	16	21	5	1	20	13	16	14	16	6					
10	Число действительных избирательных бюллетеней	41982	1247	2086	1072	1532	1406	1238	979	1142	1185	704	1018	1646	1737	2168	1409	1636	831	1134	1172	626	1707	941	1701	2181	782	1534	1348	1124	1447	1318	940	991					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	691	15	32	15	25	15	15	20	35	15	15	20	29	25	35	20	22	15	15	15	15	28	15	25	25	22	22	25	25	29	25	15	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	536	12	31	10	25	5	14	15	27	12	6	20	23	15	26	14	17	12	11	6	7	28	12	23	16	19	22	19	18	21	19	9	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	343	6	7	8	23	5	7	13	11	8	11	18	9	23	17	10	18	5	6	9	7	17	4	5	17	15	20	5	9	12	3	4	11					
14	Число погашенных неиспользованных открепительных удостоверений	155	3	1	5	0	10	1	5	8	3	9	0	6	10	9	6	5	3	4	9	8	0	3	2	9	3	0	6	7	8	6	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	0	2	0	3	0	1	1	7	1	0	0	2	2	1	2	4	0	0	1	1	4	1	1	4	2	2	1	1	3	1	1	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3944	83	136	62	181	89	31	91	129	93	75	102	130	180	91	112	142	79	66	74	61	166	91	265	206	117	166	186	145	209	168	120	98					
		9.32%	6.62%	6.47%	5.75%	11.65%	6.31%	2.50%	9.21%	11.21%	7.78%	10.56%	9.95%	7.88%	10.34%	4.19%	7.88%	8.61%	9.43%	5.77%	6.24%	9.59%	9.65%	9.67%	15.43%	9.36%	14.87%	10.81%	13.60%	12.75%	14.29%	12.61%	12.55%	9.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1287	60	103	48	3	49	3	3	137	64	45	6	6	25	11	9	18	12	70	62	21	37	17	9	106	6	40	3	14	12	109	128	51					
		3.04%	4.79%	4.90%	4.45%	0.19%	3.47%	0.24%	0.30%	11.90%	5.35%	6.34%	0.59%	0.36%	1.44%	0.51%	0.63%	1.09%	1.43%	6.12%	5.23%	3.30%	2.15%	1.81%	0.52%	4.81%	0.76%	2.61%	0.22%	1.23%	0.82%	8.18%	13.39%	5.12%					
