Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Кулундинская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17821	2629	880	1463	2205	1200	535	124	721	185	187	299	236	888	92	120	342	370	136	97	244	216	147	271	224	1037	1656	898	419									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16750	2500	800	1400	2100	1100	500	120	700	170	180	300	220	800	90	110	300	330	110	90	240	210	130	250	200	950	1600	850	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8218	1073	465	775	946	674	220	61	297	75	88	187	136	412	47	80	105	148	48	39	129	136	90	187	160	416	709	382	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	532	47	12	41	39	46	20	14	44	3	14	11	5	19	19	1	38	15	1	12	8	14	4	9	26	14	17	28	11									
6	Число погашенных избирательных бюллетеней	8000	1380	323	584	1115	380	260	45	359	92	78	102	79	369	24	29	157	167	61	39	103	60	36	54	14	520	874	440	256									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	531	47	12	41	38	46	20	14	44	3	14	11	5	19	19	1	38	15	1	12	8	14	4	9	26	14	17	28	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8216	1073	464	775	946	673	220	61	297	75	88	187	136	412	47	80	105	148	48	39	129	136	90	187	160	416	709	382	133									
9	Число недействительных избирательных бюллетеней	212	17	14	21	30	6	11	0	13	1	2	10	4	7	0	5	3	5	1	2	3	4	6	5	3	12	15	7	5									
10	Число действительных избирательных бюллетеней	8535	1103	462	795	954	713	229	75	328	77	100	188	137	424	66	76	140	158	48	49	134	146	88	191	183	418	711	403	139									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	132	10	4	9	17	6	4	0	4	3	3	3	3	4	3	3	3	4	3	1	3	7	3	3	3	9	9	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	86	7	3	9	17	6	2	0	3	1	0	3	0	3	0	0	0	3	1	0	1	6	0	2	0	8	6	4	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	17	0	4	7	2	3	2	4	1	0	1	2	2	2	2	0	1	3	1	2	4	3	2	1	4	3	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	46	3	1	0	0	0	2	0	1	2	3	0	3	1	3	3	3	1	2	1	2	1	3	1	3	1	3	1	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	3	1	3	2	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	10	2	4	8	8	1	1	1	0	1	2	2	0	0	0	1	0	0	0	2	1	2	1	0	5	5	2	3									
		0.71%	0.89%	0.42%	0.49%	0.81%	1.11%	0.42%	1.33%	0.29%	0.00%	0.98%	1.01%	1.42%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	1.46%	0.67%	2.13%	0.51%	0.00%	1.16%	0.69%	0.49%	2.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	292	47	16	22	22	23	9	6	14	2	5	10	3	18	1	2	6	4	4	0	4	2	2	6	4	14	24	16	6									
		3.34%	4.20%	3.36%	2.70%	2.24%	3.20%	3.75%	8.00%	4.11%	2.56%	4.90%	5.05%	2.13%	4.18%	1.52%	2.47%	4.20%	2.45%	8.16%	0.00%	2.92%	1.33%	2.13%	3.06%	2.15%	3.26%	3.31%	3.90%	4.17%									
