Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Чистопольская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13957	840	78	264	315	210	289	619	441	182	1601	537	374	233	117	119	335	172	281	210	350	261	503	93	447	220	245	441	215	471	87	102	410	559	155	1012	1169									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14179	853	78	265	317	212	287	624	455	184	1624	538	378	236	117	128	348	171	289	214	372	264	502	94	459	224	249	458	217	477	87	100	423	562	157	1010	1206									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12618	731	68	231	307	189	279	560	412	160	1490	491	354	221	110	103	274	166	244	181	331	255	432	93	427	204	234	419	206	440	74	89	367	535	132	864	945									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	748	83	9	30	6	18	8	25	25	20	31	40	14	9	6	14	48	5	11	9	16	4	62	0	16	15	9	18	5	28	13	8	25	16	22	45	35									
6	Число погашенных избирательных бюллетеней	813	39	1	4	4	5	0	39	18	4	103	7	10	6	1	11	26	0	34	24	25	5	8	1	16	5	6	21	6	9	0	3	31	11	3	101	226									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	748	83	9	30	6	18	8	25	25	20	31	40	14	9	6	14	48	5	11	9	16	4	62	0	16	15	9	18	5	28	13	8	25	16	22	45	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12618	731	68	231	307	189	279	560	412	160	1490	491	354	221	110	103	274	166	244	181	331	255	432	93	427	204	234	419	206	440	74	89	367	535	132	864	945									
9	Число недействительных избирательных бюллетеней	34	0	0	0	0	2	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	8									
10	Число действительных избирательных бюллетеней	13332	814	77	261	313	205	287	575	437	180	1521	531	365	230	116	117	322	171	255	190	347	259	494	93	442	219	243	437	211	468	87	97	392	541	154	909	972									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	423	23	2	7	9	6	8	16	13	5	46	15	11	6	3	7	10	5	8	6	23	7	19	3	13	6	7	18	6	15	2	3	12	16	4	29	34									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	259	15	0	0	3	1	0	7	13	0	18	2	5	1	1	7	10	0	7	3	20	1	18	0	13	3	3	15	1	15	0	0	12	8	0	23	34									
