Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Кардымовская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489					
1	"Число избирателей, внесенных в списки"	9603	2310	1630	205	309	181	287	181	698	149	516	409	218	546	353	333	123	260	270	413	212					
2	"Число бюллетеней, полученных участковыми комиссиями"	9511	2281	1596	211	301	175	275	167	693	144	526	415	221	546	346	332	115	261	265	421	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4495	1146	782	102	147	114	133	85	282	75	198	106	113	224	189	181	66	146	102	259	45					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1316	107	73	21	57	17	19	20	158	27	140	141	59	133	35	33	13	44	88	45	86					
6	Число погашенных бюллетеней	3700	1028	741	88	97	44	123	62	253	42	188	168	49	189	122	118	36	71	75	117	89					
7	Число бюллетеней в переносных ящиках для голосования	1316	107	73	21	57	17	19	20	158	27	140	141	59	133	35	33	13	44	88	45	86					
8	Число бюллетеней в стационарных ящиках для голосования	4495	1146	782	102	147	114	133	85	282	75	198	106	113	224	189	181	66	146	102	259	45					
9	Число недействительных бюллетеней	83	11	11	0	1	1	2	4	7	5	7	2	5	2	5	4	3	4	0	4	5					
10	Число действительных бюллетеней	5728	1242	844	123	203	130	150	101	433	97	331	245	167	355	219	210	76	186	190	300	126					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	232	45	30	5	7	5	6	5	14	5	15	10	7	15	10	12	5	11	8	10	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	85	24	11	1	2	0	1	0	4	4	6	2	1	3	3	1	0	9	0	10	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	8	2	0	5	4	1	6	2	10	1	0	1	5	3	4	4	5	2	8	7					
14	Число погашенных открепительных удостоверений	147	21	19	4	5	5	5	5	10	1	9	8	6	12	7	11	5	2	8	0	4					
15	Число открепительных удостоверений выданных ТИК	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	108	9	9	2	5	3	6	1	11	1	6	5	5	6	3	6	4	6	6	8	6					
		1.85%	0.71%	1.05%	1.62%	2.45%	2.29%	3.94%	0.95%	2.5%	0.98%	1.77%	2.02%	2.90%	1.68%	1.33%	2.80%	5.06%	3.15%	3.15%	2.63%	4.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	58	15	10	2	2	1	2	0	1	2	5	3	2	1	1	2	0	3	1	2	3					
		0.99%	1.19%	1.16%	1.62%	0.98%	0.76%	1.31%	0.0%	0.22%	1.96%	1.47%	1.21%	1.16%	0.28%	0.44%	0.93%	0.0%	1.57%	0.52%	0.65%	2.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	196	34	35	7	9	2	8	6	8	8	14	14	0	9	13	6	0	3	2	12	6					
		3.37%	2.71%	4.09%	5.69%	4.41%	1.52%	5.26%	5.71%	1.81%	7.84%	4.14%	5.66%	0.0%	2.52%	5.80%	2.80%	0.0%	1.57%	1.05%	3.94%	4.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	177	65	44	2	2	1	5	1	8	4	10	2	0	4	6	1	9	4	0	5	4					
		3.04%	5.18%	5.14%	1.62%	0.98%	0.76%	3.28%	0.95%	1.81%	3.92%	2.95%	0.80%	0.0%	1.12%	2.67%	0.46%	11.39%	2.10%	0.0%	1.64%	3.05%					
22	"5. ""За Русь Святую"""	37	8	3	2	1	1	0	1	2	0	4	3	1	4	2	1	1	0	0	1	2					
		0.63%	0.63%	0.35%	1.62%	0.49%	0.76%	0.0%	0.95%	0.45%	0.0%	1.18%	1.21%	0.58%	1.12%	0.89%	0.46%	1.26%	0.0%	0.0%	0.32%	1.52%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	2	1	0	1	0	0	0	0	0	1	0	2	0	3	1	0	0	0	1	0					
		0.20%	0.15%	0.11%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	1.16%	0.0%	1.33%	0.46%	0.0%	0.0%	0.0%	0.32%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	32	5	8	3	1	1	0	1	1	1	1	3	0	1	2	0	0	1	1	0	2					
		0.55%	0.39%	0.93%	2.43%	0.49%	0.76%	0.0%	0.95%	0.22%	0.98%	0.29%	1.21%	0.0%	0.28%	0.89%	0.0%	0.0%	0.52%	0.52%	0.0%	1.52%					
25	"8. ""Народно-республиканская партия России"""	8	2	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1					
		0.13%	0.15%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.76%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1					
		0.10%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.58%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%					
27	"10. ""Аграрная партия России"""	214	36	14	6	16	4	1	5	19	1	26	10	5	10	13	11	1	1	11	19	5					
		3.68%	2.87%	1.63%	4.87%	7.84%	3.05%	0.65%	4.76%	4.31%	0.98%	7.69%	4.04%	2.90%	2.80%	5.80%	5.14%	1.26%	0.52%	5.78%	6.25%	3.81%					
28	"11. ""Истинные патриоты России"""	6	0	0	1	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.81%	0.0%	0.76%	0.0%	0.0%	0.45%	0.0%	0.29%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	61	11	9	0	2	3	1	0	2	0	5	1	0	7	2	3	0	6	2	6	1					
		1.04%	0.87%	1.05%	0.0%	0.98%	2.29%	0.65%	0.0%	0.45%	0.0%	1.47%	0.40%	0.0%	1.96%	0.89%	1.40%	0.0%	3.15%	1.05%	1.97%	0.76%					
30	"13. ""Демократическая партия России"""	14	0	1	0	0	0	0	0	0	1	2	0	3	0	0	0	1	1	2	0	3					
		0.24%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.59%	0.0%	1.74%	0.0%	0.0%	0.0%	1.26%	0.52%	1.05%	0.0%	2.29%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	1	1	0	0	0	0	0	2	0	1	0	0	1	1	1	2	0	2	1	1					
		0.24%	0.07%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.29%	0.0%	0.0%	0.28%	0.44%	0.46%	2.53%	0.0%	1.05%	0.32%	0.76%					
32	"15. ""Партия СЛОН"""	8	0	2	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1					
		0.13%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.95%	0.0%	0.98%	0.29%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.52%	0.0%	0.76%					
33	"16. ""Родина"" (народно-патриотический союз)"""	234	65	38	5	3	6	8	0	10	8	13	13	2	9	14	14	2	3	3	11	7					
		4.02%	5.18%	4.44%	4.06%	1.47%	4.58%	5.26%	0.0%	2.27%	7.84%	3.84%	5.26%	1.16%	2.52%	6.24%	6.54%	2.53%	1.57%	1.57%	3.61%	5.34%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	31	3	4	1	1	1	0	1	5	1	2	0	1	3	1	1	1	3	0	2	0					
		0.53%	0.23%	0.46%	0.81%	0.49%	0.76%	0.0%	0.95%	1.13%	0.98%	0.59%	0.0%	0.58%	0.84%	0.44%	0.46%	1.26%	1.57%	0.0%	0.65%	0.0%					
35	"18. ""ЛДПР"""	671	162	117	12	39	17	16	15	39	11	39	30	25	28	16	11	4	17	30	31	12					
		11.54%	12.92%	13.68%	9.75%	19.11%	12.97%	10.52%	14.28%	8.86%	10.78%	11.53%	12.14%	14.53%	7.84%	7.14%	5.14%	5.06%	8.94%	15.78%	10.19%	9.16%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	99	24	11	1	1	4	1	0	9	2	11	7	1	5	8	2	0	4	0	4	4					
