Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    ТИК г. Дятьково и Дятьковского района																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368					
1	"Число избирателей, внесенных в список"	62201	2305	2569	1650	1263	2837	2718	1715	755	2935	2206	2801	2969	177	1916	1717	2638	2571	1896	2202	1970	1959	347	1120	156	1532	231	122	217	181	1058	93	96	125	533	78	443	362	2489	1525	2010	2849	2865					
2	Число полученных избирательных бюллетеней	61000	2300	2500	1650	1250	2750	2650	1700	750	2800	2180	2800	2800	400	1800	1650	2500	2500	1900	2150	1900	1900	337	1100	153	1500	237	125	223	188	1000	92	103	129	540	83	440	370	2400	1500	2000	2750	2900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30870	1195	1198	679	635	1440	1448	867	380	1297	948	1516	1540	177	744	864	1099	1092	952	1014	944	963	154	600	91	819	106	25	75	106	652	44	72	79	252	53	216	195	1232	778	1080	1349	1900					
5	"Число избирательных бюллетеней, выданных вне помещения"	2399	128	93	76	31	88	78	67	40	59	107	66	29	0	163	24	47	127	71	91	48	139	63	39	9	41	15	47	48	20	40	24	4	9	26	5	30	49	108	46	35	59	110					
6	Число погашенных избирательных бюллетеней	27731	977	1209	895	584	1222	1124	766	330	1444	1125	1218	1231	223	893	762	1354	1281	877	1045	908	798	120	461	53	640	116	53	100	62	308	24	27	41	262	25	194	126	1060	676	885	1342	890					
7	Число избирательных бюллетеней в переносных ящиках	2399	128	93	76	31	88	78	67	40	59	107	66	29	0	163	24	47	127	71	91	48	139	63	39	9	41	15	47	48	20	40	24	4	9	26	5	30	49	108	46	35	59	110					
8	Число бюллетеней в стационарных ящиках для голосования	30870	1195	1198	679	635	1440	1448	867	380	1297	948	1516	1540	177	744	864	1099	1092	952	1014	944	963	154	600	91	819	106	25	75	106	652	44	72	79	252	53	216	195	1232	778	1080	1349	1900					
9	Число недействительных избирательных бюллетеней	267	11	4	5	1	8	15	6	6	13	11	14	11	1	2	3	10	5	19	9	12	5	13	10	0	20	2	0	3	2	7	0	0	1	2	1	1	3	7	7	7	6	4					
10	Число действительных избирательных бюллетеней	33002	1312	1287	750	665	1520	1511	928	414	1343	1044	1568	1558	176	905	885	1136	1214	1004	1096	980	1097	204	629	100	840	119	72	120	124	685	68	76	87	276	57	245	241	1333	817	1108	1402	2006					
11	Число полученных открепительных  удостоверений	880	35	30	20	20	33	35	20	12	30	32	35	36	0	20	20	30	30	20	30	20	20	10	20	10	20	10	10	10	10	22	10	10	10	25	10	10	10	30	25	30	30	30					
12	Число выданных открепительных удостоверений	294	12	13	6	4	17	22	8	6	15	5	15	18	0	2	0	8	6	3	8	3	3	1	11	1	6	0	2	1	1	10	2	6	2	21	3	2	0	11	8	5	9	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	285	15	5	8	11	11	24	9	2	15	10	11	13	5	5	7	2	5	5	2	10	6	9	4	11	6	0	8	2	0	6	3	4	3	6	11	2	0	6	8	2	8	5					
14	Число неиспользованных открепительных удостоверений	586	23	17	14	16	16	13	12	6	15	27	20	18	0	18	20	22	24	17	22	17	17	9	9	9	14	10	8	9	9	12	8	4	8	4	7	8	10	19	17	25	21	12					
