Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Медынская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501					
1	"Число избирателей, внесенных в списки"	9796	2907	2748	297	368	173	578	541	171	374	366	222	109	445	81	416					
2	"Число бюллетеней, полученных участковыми комиссиями"	8865	2574	2435	269	363	167	522	476	161	372	386	200	92	392	82	374					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4550	1305	1203	196	235	86	260	234	105	148	271	45	37	214	76	135					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	909	33	43	13	84	37	89	102	43	103	79	98	18	45	0	122					
6	Число погашенных бюллетеней	3406	1236	1189	60	44	44	173	140	13	121	36	57	37	133	6	117					
7	Число бюллетеней в переносных ящиках для голосования	909	33	43	13	84	37	89	102	43	103	79	98	18	45	0	122					
8	Число бюллетеней в стационарных ящиках для голосования	4550	1305	1203	196	235	86	260	234	105	148	271	45	37	214	76	135					
9	Число недействительных бюллетеней	52	11	14	3	1	0	2	2	2	4	4	0	0	3	5	1					
10	Число действительных бюллетеней	5407	1327	1232	206	318	123	347	334	146	247	346	143	55	256	71	256					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	185	20	20	10	10	20	15	15	7	14	15	7	5	15	0	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	7	1	3	1	13	7	2	1	0	0	1	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	8	5	2	2	1	1	4	0	0	1	1	0	2	1	0					
14	Число погашенных открепительных удостоверений	148	13	19	7	9	7	8	13	6	14	15	6	5	15	0	11					
15	Число открепительных удостоверений выданных ТИК	7	3	2	0	0	0	0	0	0	0	1	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	68	17	10	3	0	1	6	5	0	9	4	3	0	7	0	3					
		1.24%	1.27%	0.80%	1.43%	0.0%	0.81%	1.71%	1.48%	0.0%	3.58%	1.14%	2.09%	0.0%	2.70%	0.0%	1.16%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	92	25	25	2	4	6	14	1	2	2	3	0	0	0	2	6					
		1.68%	1.86%	2.00%	0.95%	1.25%	4.87%	4.01%	0.29%	1.35%	0.79%	0.85%	0.0%	0.0%	0.0%	2.63%	2.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	117	26	14	4	1	5	8	8	6	13	7	0	0	3	13	9					
