Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Карталинская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694					
1	"Число избирателей, внесенных в списки"	37052	764	771	776	768	923	868	1237	963	1597	499	1208	1241	1151	1165	1395	1259	1645	1486	1433	1330	547	380	1005	160	162	446	182	114	210	765	393	253	948	127	114	746	160	104	627	203	182	937	532	265	969	376	144	184	1045	662	262	232	749	174	214					
2	"Число бюллетеней, полученных участковыми комиссиями"	37246	837	785	756	822	786	881	1370	948	1506	524	1204	1234	1210	1194	1364	1242	1625	1478	1431	1386	520	361	992	158	152	463	187	108	210	791	404	259	979	138	108	751	158	116	639	221	200	912	529	266	964	358	147	173	1078	674	287	218	736	167	239					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18448	376	377	352	335	333	384	555	338	705	166	621	618	593	581	596	675	803	730	647	586	332	213	489	89	107	291	130	99	122	369	188	163	491	77	83	412	97	68	393	169	151	534	294	129	491	226	105	132	475	252	125	100	468	96	117					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1299	30	18	18	27	33	24	54	27	28	20	17	27	25	49	47	13	27	32	21	106	16	57	16	10	4	15	7	0	23	63	10	11	35	0	0	23	7	8	23	0	15	25	24	21	50	23	0	1	37	57	9	31	16	0	19					
6	Число погашенных бюллетеней	17499	431	390	386	460	420	473	761	583	773	338	566	589	592	564	721	554	795	716	763	694	172	91	487	59	41	157	50	9	65	359	206	85	453	61	25	316	54	40	223	52	34	353	211	116	423	109	42	40	566	365	153	87	252	71	103					
7	Число бюллетеней в переносных ящиках для голосования	1299	30	18	18	27	33	24	54	27	28	20	17	27	25	49	47	13	27	32	21	106	16	57	16	10	4	15	7	0	23	63	10	11	35	0	0	23	7	8	23	0	15	25	24	21	50	23	0	1	37	57	9	31	16	0	19					
8	Число бюллетеней в стационарных ящиках для голосования	18442	376	377	352	335	333	384	555	338	705	166	621	617	594	581	596	675	803	729	647	586	332	213	487	89	107	291	130	99	121	369	188	163	491	77	83	412	97	68	393	169	151	533	294	129	491	226	105	132	474	252	125	100	468	96	117					
9	Число недействительных бюллетеней	288	3	4	2	4	3	4	3	0	11	7	8	16	7	16	11	1	13	14	7	0	7	6	7	3	2	5	10	0	3	5	2	7	11	0	2	3	6	2	13	0	1	16	5	1	8	7	1	1	4	4	2	0	4	0	6					
10	Число действительных бюллетеней	19453	403	391	368	358	363	404	606	365	722	179	630	628	612	614	632	687	817	747	661	692	341	264	496	96	109	301	127	99	141	427	196	167	515	77	81	432	98	74	403	169	165	542	313	149	533	242	104	132	507	305	132	131	480	96	130					
