Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
"Наименование Избирательной комиссии:    Чебоксары, Московская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801					
1	"Число избирателей, внесенных в списки избирателей"	143179	662	2724	2872	2354	2115	2371	2489	2754	1741	2100	2267	2475	2327	2618	2157	2168	2440	2428	2709	2925	2266	2528	1352	1563	2580	1970	2093	2559	2986	1515	1709	2246	2327	2589	1656	1114	2493	1386	1587	2428	1749	1970	2516	2133	394	1682	2398	1973	1750	2654	2570	2772	2788	2603	2337	2386	2255	2629	2467	2116	2515	2529	2373	911	202	321	325	453	150	441	579	286	309					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	129283	550	2450	2600	2200	1800	2200	2300	2500	1600	1900	2100	2300	2200	2400	1700	1900	2200	2200	2400	2600	2100	2400	1200	1400	2300	1800	1900	2000	2600	1400	1550	1950	2100	2400	1500	1000	2300	1200	1400	2200	1600	1700	2300	2000	350	1500	2100	1800	1600	2400	2400	2500	2500	2300	2200	2100	2100	2400	2200	1900	2300	2300	2200	800	180	300	330	350	160	440	580	284	309					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	92956	368	1763	1962	1521	1423	1590	1548	1762	1130	1401	1490	1614	1530	1736	1546	1424	1616	1602	1834	1892	1499	1692	919	1043	1609	1250	1323	1779	2402	765	1108	1818	1677	1710	1178	504	1679	652	879	1435	1070	1115	1525	1273	203	998	1555	1250	1152	1642	1658	1786	1817	1721	1532	1535	1441	1547	1630	1359	1528	1549	1457	538	147	221	230	332	140	424	473	186	249					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2095	22	15	16	17	14	12	39	18	23	24	22	23	30	20	38	56	20	36	17	14	29	32	3	0	5	37	29	12	13	303	30	7	14	21	9	238	12	27	16	21	26	18	42	36	9	4	23	17	16	14	10	15	18	16	5	5	3	15	9	25	15	38	41	35	8	4	23	0	2	9	106	95	59					
6	Число погашенных избирательных бюллетеней	34232	160	672	622	662	363	598	713	720	447	475	588	663	640	644	116	420	564	562	549	694	572	676	278	357	686	513	548	209	185	332	412	125	409	669	313	258	609	521	505	744	504	567	733	691	138	498	522	533	432	744	732	699	665	563	663	560	656	838	561	516	757	713	702	227	25	75	77	18	18	7	1	3	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2095	22	15	16	17	14	12	39	18	23	24	22	23	30	20	38	56	20	36	17	14	29	32	3	0	5	37	29	12	13	303	30	7	14	21	9	238	12	27	16	21	26	18	42	36	9	4	23	17	16	14	10	15	18	16	5	5	3	15	9	25	15	38	41	35	8	4	23	0	2	9	106	95	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	92912	368	1761	1962	1521	1423	1590	1547	1760	1130	1400	1489	1612	1530	1735	1546	1424	1615	1602	1831	1892	1497	1692	919	1043	1609	1250	1323	1777	2399	765	1107	1817	1675	1710	1178	502	1676	651	879	1435	1070	1115	1522	1272	203	998	1555	1250	1151	1642	1658	1784	1816	1718	1532	1535	1441	1547	1630	1358	1527	1549	1457	538	147	221	230	332	140	424	473	186	249					
9	Число недействительных избирательных бюллетеней	1196	7	26	31	16	20	22	22	25	14	24	22	17	26	21	21	17	17	17	21	21	26	21	10	8	21	10	24	20	22	14	13	32	16	18	21	29	18	12	12	28	18	15	10	18	0	8	23	13	16	15	17	28	20	20	14	22	17	16	8	24	16	30	13	12	1	2	7	5	0	1	3	1	1					
10	Число действительных избирательных бюллетеней	93811	383	1750	1947	1522	1417	1580	1564	1753	1139	1400	1489	1618	1534	1734	1563	1463	1618	1621	1827	1885	1500	1703	912	1035	1593	1277	1328	1769	2390	1054	1124	1792	1673	1713	1166	711	1670	666	883	1428	1078	1118	1554	1290	212	994	1555	1254	1151	1641	1651	1771	1814	1714	1523	1518	1427	1546	1631	1359	1526	1557	1485	561	154	223	246	327	142	432	576	280	307					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	5278	20	111	100	109	80	98	97	89	73	91	91	95	90	113	75	95	103	88	90	143	86	86	90	72	107	80	80	71	90	53	55	135	91	130	70	35	95	33	40	100	58	40	94	53	10	45	75	70	50	90	80	101	89	90	91	90	91	85	113	51	89	80	75	30	10	30	30	18	0	0	0	0	0					
