Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Чебоксары, Московская"																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814					
1	"Число избирателей, внесенных в список избирателей"	146886	664	2751	2628	1375	2356	2106	2333	2396	2681	1731	2056	2763	2442	2404	2268	1882	2076	2393	2548	2090	2342	1839	2674	2513	2317	2609	2601	2510	2502	2057	1747	2733	2739	2533	2510	2463	2470	2625	2196	3018	2857	1417	2196	2258	1624	1555	1962	2202	1923	954	1649	1987	2149	2412	2619	2139	2840	595	931	207	339	345	426	1383	1535	2490	1862	2696	2170	352	1533	429	690	173	363	161	370	152					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	119220	500	2300	2200	1000	2000	1700	1800	2000	2200	1400	1700	2400	2000	2000	1800	1500	1700	2000	2000	1600	1800	1500	2100	2000	2000	2200	2200	2000	2000	1600	1400	2200	2200	2000	2000	2000	2000	2100	1800	2400	2300	1100	1800	1800	1200	1200	1600	1800	1500	800	1300	1800	1800	2000	2100	1700	2300	400	800	200	300	300	350	1100	1200	2000	1500	2200	1700	250	1200	423	695	171	355	161	367	148					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	85805	354	1504	1631	839	1396	1267	1363	1405	1519	1032	1236	1595	1464	1388	1380	1128	1241	1472	1532	1255	1286	1083	1578	1418	1388	1584	1482	1451	1355	1182	1031	1556	1608	1425	1440	1418	1393	1477	1305	1674	1636	772	1254	1314	962	919	1135	1299	1209	529	1014	1591	1613	1571	1455	1260	1703	295	499	134	194	205	250	578	723	1261	973	1256	1174	184	777	397	639	167	124	161	320	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1524	15	18	19	0	14	14	8	26	16	17	14	10	42	26	25	34	39	30	34	17	14	7	8	33	16	14	11	8	3	8	7	19	14	11	19	19	20	12	9	22	14	4	16	36	10	1	19	16	9	12	20	15	10	15	33	19	13	2	24	11	10	22	1	27	18	19	7	16	27	6	7	19	51	1	231	0	47	24					
6	Число погашенных избирательных бюллетеней	31890	131	778	550	161	590	419	429	569	665	351	450	795	494	586	395	338	420	498	434	328	500	410	514	549	596	602	707	541	642	410	362	625	578	564	541	563	587	611	486	704	650	324	530	450	228	280	446	485	282	259	266	194	177	414	612	421	584	103	277	55	96	73	99	495	459	720	520	927	499	60	416	7	5	3	0	0	0	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1524	15	18	19	0	14	14	8	26	16	17	14	10	42	26	25	34	39	30	34	17	14	7	8	33	16	14	11	8	3	8	7	19	14	11	19	19	20	12	9	22	14	4	16	36	10	1	19	16	9	12	20	15	10	15	33	19	13	2	24	11	10	22	1	27	18	19	7	16	27	6	7	19	51	1	231	0	47	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	85634	354	1503	1631	839	1396	1266	1363	1405	1519	1032	1236	1595	1463	1388	1380	1128	1241	1472	1532	1254	1286	1083	1578	1317	1387	1581	1482	1451	1352	1174	1031	1556	1608	1425	1440	1417	1393	1475	1304	1674	1636	772	1254	1314	962	919	1135	1299	1208	528	1014	1588	1612	1570	1455	1259	1702	295	499	134	194	205	250	577	723	1261	973	1240	1174	184	777	397	618	167	124	161	320	123					
9	Число недействительных избирательных бюллетеней	2011	18	30	33	6	19	31	24	32	45	24	40	26	44	37	28	35	26	28	28	18	31	5	27	53	31	39	29	34	20	25	29	45	40	37	40	56	30	36	18	27	30	34	33	27	20	18	27	51	20	14	35	79	18	24	35	20	17	4	15	7	9	12	1	10	23	33	29	43	30	3	17	6	10	2	7	10	6	8					
10	Число действительных избирательных бюллетеней	85147	351	1491	1617	833	1391	1249	1347	1399	1490	1025	1210	1579	1461	1377	1377	1127	1254	1474	1538	1253	1269	1085	1559	1297	1372	1556	1464	1425	1335	1157	1009	1530	1582	1399	1419	1380	1383	1451	1295	1669	1620	742	1237	1323	952	902	1127	1264	1197	526	999	1524	1604	1561	1453	1258	1698	293	508	138	195	215	250	594	718	1247	951	1213	1171	187	767	410	659	166	348	151	361	139					
