Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Сокольская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720					
1	"Число избирателей, внесенных в список"	45363	1214	450	359	891	1059	1871	2114	2452	1835	2056	1637	1757	510	1019	1810	1623	1556	1980	1605	1502	1697	1587	931	991	135	76	282	191	546	110	765	860	636	304	320	183	102	228	94	463	930	184	86	229	409	1977	1747					
2	Число полученных избирательных бюллетеней	41835	1100	420	330	820	1010	1720	1930	2260	1680	1880	1470	1610	470	940	1670	1550	1440	1820	1480	1380	1530	1480	850	900	180	120	255	175	500	120	680	780	600	275	290	170	95	210	90	430	850	170	80	210	385	1890	1540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22487	568	203	96	425	613	1003	1060	1244	912	1221	847	841	209	446	909	835	782	993	755	776	965	743	336	460	58	44	155	89	190	46	353	348	293	160	114	94	65	115	40	270	468	83	42	99	189	1090	840					
5	"Число избирательных бюллетеней, выданных вне помещения"	2468	41	3	60	15	27	32	24	43	28	19	20	44	15	59	20	26	54	24	23	31	34	45	50	77	64	28	32	42	157	55	128	238	158	40	93	29	15	38	30	51	125	33	25	49	88	42	94					
6	Число погашенных избирательных бюллетеней	16880	491	214	174	380	370	685	846	973	740	640	603	725	246	435	741	689	604	803	702	573	531	692	464	363	58	48	68	44	153	19	199	194	149	75	83	47	15	57	20	109	257	54	13	62	108	758	606					
7	Число избирательных бюллетеней в переносных ящиках	2468	41	3	60	15	27	32	24	43	28	19	20	44	15	59	20	26	54	24	23	31	34	45	50	77	64	28	32	42	157	55	128	238	158	40	93	29	15	38	30	51	125	33	25	49	88	42	94					
8	Число бюллетеней в стационарных ящиках для голосования	22481	564	203	96	425	613	1003	1060	1244	912	1221	847	840	209	446	909	835	782	993	755	776	965	743	336	460	58	44	155	89	190	46	353	347	293	160	114	94	65	115	40	270	468	83	42	99	189	1090	840					
9	Число недействительных избирательных бюллетеней	175	2	6	0	4	3	9	9	2	5	8	4	15	1	7	9	6	4	7	7	5	3	3	4	9	1	1	1	2	1	0	5	0	0	1	1	1	1	4	0	3	6	0	0	0	0	4	11					
10	Число действительных избирательных бюллетеней	24774	603	200	156	436	637	1026	1075	1285	935	1232	863	869	223	498	920	855	832	1010	771	802	996	785	382	528	121	71	186	129	346	101	476	585	451	199	206	122	79	149	70	318	587	116	67	148	277	1128	923					
11	Число полученных открепительных  удостоверений	815	15	15	15	15	50	15	50	15	15	15	15	15	15	15	15	15	15	15	50	15	15	15	15	15	0	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	50					
12	Число выданных открепительных удостоверений	212	1	1	1	6	31	6	11	10	4	9	3	3	1	4	7	3	7	11	11	6	3	2	1	6	0	0	4	2	10	0	3	1	5	1	1	5	2	0	2	1	5	0	0	1	6	5	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	174	4	0	2	3	5	4	7	8	6	8	2	4	3	3	1	5	1	8	10	4	5	5	3	5	2	1	2	2	5	2	7	1	8	1	4	2	1	1	1	3	4	2	1	1	1	7	9					
14	Число неиспользованных открепительных удостоверений	603	14	14	14	9	19	9	39	5	11	6	12	12	14	11	8	12	8	4	39	9	12	13	14	9	0	0	11	13	5	15	12	14	10	14	14	10	13	15	13	14	10	15	15	14	9	10	40					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	777	22	2	2	19	19	44	30	44	36	42	25	22	1	13	28	20	32	41	32	33	47	20	14	31	6	0	7	5	6	8	10	3	12	2	6	5	0	0	1	8	10	2	2	2	8	21	34					
		3.11%	3.64%	0.97%	1.28%	4.32%	2.97%	4.25%	2.77%	3.42%	3.83%	3.39%	2.88%	2.49%	0.45%	2.57%	3.01%	2.32%	3.83%	4.03%	4.11%	4.09%	4.70%	2.54%	3.63%	5.77%	4.92%	0.00%	3.74%	3.82%	1.73%	7.92%	2.08%	0.51%	2.66%	1.00%	2.90%	4.07%	0.00%	0.00%	1.43%	2.49%	1.69%	1.72%	2.99%	1.35%	2.89%	1.86%	3.64%					
19	. Малышкин Олег Александрович	577	21	14	4	11	17	21	31	50	36	34	15	14	6	7	19	28	18	22	16	16	13	23	7	9	2	3	2	0	8	3	8	7	12	7	5	1	0	2	4	4	9	1	0	0	4	25	18					
		2.31%	3.47%	6.80%	2.56%	2.50%	2.66%	2.03%	2.86%	3.89%	3.83%	2.74%	1.73%	1.58%	2.68%	1.39%	2.05%	3.25%	2.15%	2.16%	2.06%	1.98%	1.30%	2.92%	1.81%	1.68%	1.64%	4.17%	1.07%	0.00%	2.31%	2.97%	1.66%	1.20%	2.66%	3.50%	2.42%	0.81%	0.00%	1.31%	5.71%	1.25%	1.52%	0.86%	0.00%	0.00%	1.44%	2.21%	1.93%					
