Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Пинежская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23124	483	792	313	226	188	502	352	879	883	206	92	413	192	774	248	478	137	455	667	1394	2110	407	1187	414	499	1173	485	1442	384	138	333	189	134	102	414	316	235	279	1831	1015	147	142	74									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	450	650	300	200	190	500	350	860	850	200	100	350	190	730	230	460	140	420	610	1300	2000	360	1200	400	500	1100	480	1400	350	130	300	200	120	100	400	300	210	270	1800	1000	100	140	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	52	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9062	212	346	145	106	101	172	162	413	325	76	48	192	63	288	131	158	47	139	308	653	884	199	500	107	190	429	169	497	116	53	142	55	64	53	90	106	68	97	702	340	39	45	32									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	718	24	16	4	5	6	7	12	42	34	10	3	31	7	18	7	24	6	31	8	11	13	12	2	43	4	23	15	12	34	0	27	0	0	2	28	36	6	14	26	31	49	20	15									
6	Число погашенных избирательных бюллетеней	12140	214	288	151	89	83	321	176	405	491	114	49	127	120	424	92	278	87	250	294	636	1103	149	698	250	306	648	296	891	200	77	131	145	56	45	254	158	84	159	1072	629	12	75	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	798	24	16	4	5	6	7	12	42	34	10	3	31	7	18	7	24	6	31	8	11	13	12	2	43	4	23	15	12	34	0	27	0	0	2	56	36	58	14	26	31	49	20	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9020	212	346	145	106	101	172	162	413	325	76	48	192	63	288	131	158	47	139	307	653	843	199	500	107	190	429	169	497	116	53	142	55	64	53	90	106	68	97	702	340	39	45	32									
9	Число недействительных избирательных бюллетеней	211	9	7	2	2	4	8	3	11	8	0	0	3	2	8	2	0	0	5	5	11	25	4	17	0	2	5	1	7	5	2	3	1	0	0	9	2	4	3	18	12	0	0	1									
10	Число действительных избирательных бюллетеней	9607	227	355	147	109	103	171	171	444	351	86	51	220	68	298	136	182	53	165	310	653	831	207	485	150	192	447	183	502	145	51	166	54	64	55	137	140	122	108	710	359	88	65	46									
