Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																
Дата голосования: 02.12.2007																																																																																																																
																																																																																																																
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																
																																																																																																																
Сводная таблица результатов выборов																																																																																																																
																																																																																																																
		Сумма	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373					
1	"Число избирателей, внесенных в списки избирателей"	202600	2030	416	2150	1251	1262	1477	2127	2492	1552	2127	1507	1270	2401	2187	2026	2329	2008	2634	2419	2280	594	2753	1938	2030	2040	2539	1433	1857	2073	2735	2883	617	1710	2058	1275	2573	2452	1954	1732	1779	1522	2049	2421	1052	2566	1839	1882	2404	1168	2003	2243	2422	2269	2696	1926	1979	1374	1534	1866	2616	2368	2383	1328	2105	2073	2653	2264	1851	1304	1633	1527	2018	1984	2035	2503	2063	1718	1946	2468	1468	1537	1334	1402	1195	1075	1901	1414	1931	2250	2592	2669	3383	1524	1481	1934	2233	2005	1993	2659	2028	2301	2028	1499	1457	282					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	165638	1610	452	1700	1000	1050	1200	1700	2000	1250	1700	1200	1000	1850	1700	1600	1900	1750	2100	2000	1850	752	2200	1500	1600	1600	2000	1100	1500	1600	2200	2200	722	1400	1600	2050	2100	2000	1600	1400	1450	1250	1700	1950	850	2050	1550	1600	2000	1800	1550	1800	2000	1900	2200	1500	1600	1200	1300	1500	2100	1900	1850	1150	1700	1650	2100	2000	1600	1050	1300	1250	1600	1600	1600	2000	1600	1400	1600	2000	1200	1250	1100	1150	1000	900	1500	1150	1600	2000	2000	1800	2350	1300	1200	1600	1800	1600	1600	2050	1600	1900	1650	1250	1200	352					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	104684	1199	214	1433	679	612	642	930	1145	931	1044	753	555	1131	1069	1087	1301	1300	1526	1337	1297	586	1398	936	859	1068	1190	763	928	1025	1314	1482	215	866	1101	1222	1468	1179	1044	873	1001	708	1102	1310	665	1451	886	967	1287	1153	950	1129	1350	1248	1366	1052	962	763	740	1039	1343	1233	1071	528	862	854	1226	1144	939	525	651	703	1048	1085	1108	1231	661	571	1030	1432	794	887	578	729	642	586	901	517	914	1012	1362	1553	2066	1186	608	916	1134	1085	1043	1320	941	1252	931	733	784	134					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4326	25	11	10	26	0	31	20	60	38	25	38	29	58	115	41	37	50	40	65	37	8	45	57	56	34	61	53	44	30	57	11	374	85	84	53	69	28	48	41	47	33	17	30	9	24	55	80	43	15	31	30	20	30	37	34	21	19	44	30	17	35	48	23	39	24	26	28	31	22	41	42	36	40	26	20	209	69	71	59	9	35	28	20	28	33	14	19	45	30	32	19	26	35	14	45	40	49	48	33	38	30	29	26	27	25					
6	Число погашенных избирательных бюллетеней	56502	386	227	257	295	442	527	750	795	280	631	409	415	661	466	472	562	400	534	598	516	158	757	507	685	498	749	284	528	545	829	707	133	449	415	775	563	793	508	486	402	509	581	610	176	575	609	553	670	632	569	641	630	622	797	414	617	418	516	431	740	632	731	599	799	772	848	828	630	503	608	505	516	475	466	749	730	760	499	509	397	328	494	401	330	281	585	536	641	958	606	228	258	79	578	639	626	466	509	697	621	618	690	491	389	193					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4291	25	11	9	26	20	31	20	60	38	25	38	29	58	113	41	37	49	40	62	37	8	45	57	53	33	61	53	44	30	57	11	373	85	78	53	69	28	47	41	47	32	17	30	9	24	53	80	43	15	31	29	20	30	37	34	21	19	44	30	14	35	46	23	39	24	26	28	30	22	37	42	36	40	24	19	211	68	71	58	9	29	28	20	28	32	14	19	44	29	32	17	26	34	14	45	39	47	48	32	36	29	29	26	27	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	103818	1148	201	1430	673	589	626	928	1139	929	1037	751	550	1116	1066	1084	1296	1191	1515	1329	1295	583	1397	914	1018	1060	1182	759	926	1023	1313	1481	214	860	1097	1209	1431	1177	1035	867	1001	706	1098	1305	661	1450	878	954	1271	1152	954	1118	1333	1238	1354	1048	977	758	730	1039	1327	1233	1067	508	862	852	1220	1116	921	523	650	703	1042	1083	1093	1224	673	569	1028	1428	791	862	577	722	637	584	901	530	953	1001	1357	1396	2063	1161	605	912	1089	1001	957	1312	995	1251	931	727	784	133					
9	Число недействительных избирательных бюллетеней	1874	19	6	20	6	16	38	24	21	15	10	11	15	30	21	16	29	21	37	55	25	5	16	26	49	14	16	11	19	13	16	18	13	13	23	16	18	14	12	21	2	15	70	20	10	34	12	12	19	15	4	28	23	14	12	3	12	14	8	17	17	17	17	10	6	22	22	29	23	11	15	33	19	18	14	13	14	6	20	45	11	11	10	11	10	10	8	13	22	14	31	32	29	32	6	10	12	19	8	16	18	26	6	12	14	0					
10	Число действительных избирательных бюллетеней	106235	1154	206	1419	693	593	619	924	1178	952	1052	778	564	1144	1158	1109	1304	1219	1518	1336	1307	586	1426	945	1022	1079	1227	801	951	1040	1354	1474	574	932	1152	1246	1482	1191	1070	887	1046	723	1045	1315	660	1440	919	1022	1295	1152	981	1119	1330	1254	1379	1079	986	763	766	1052	1324	1251	1096	521	895	854	1224	1115	928	534	672	712	1059	1105	1103	1230	870	631	1079	1441	789	880	595	731	655	606	907	536	975	1016	1358	1381	2060	1163	613	947	1116	1029	997	1328	1013	1254	954	741	797	158					
