Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
Наименование Избирательной комиссии:    Новосибирская 																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859					
1	"Число избирателей, внесенных в список избирателей"	89914	1283	405	170	1811	1054	1846	2565	2609	2630	2177	2587	2231	2669	353	1796	2258	599	1576	1109	265	1392	1299	177	2315	1085	2036	1182	642	1377	337	2338	564	1587	965	279	409	193	59	2871	1890	586	630	306	2450	2458	349	1753	409	2748	2636	2657	1575	2153	1543	918	752	1995	220	1486	2029	1162	206	288	1686	446	1076	407					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90375	1550	415	180	1800	1050	1850	2550	2600	2500	2200	2600	2200	2650	340	1800	2250	550	1600	1100	280	1400	1320	178	2300	1140	2050	1150	630	1350	355	2250	550	1550	950	290	410	200	67	2900	1900	595	650	320	2450	2500	415	1750	425	2750	2600	2650	1640	2150	1500	920	740	2200	230	1500	2050	1200	210	265	1700	450	1100	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44234	742	194	101	901	572	922	1507	1626	1468	1133	1508	1259	1064	128	704	1187	259	719	564	104	527	595	80	1010	635	881	570	318	714	146	1023	268	806	519	148	238	142	41	1417	839	265	221	133	1084	1051	233	927	158	1303	1325	1187	640	1198	795	372	397	1541	109	561	831	509	132	168	612	189	522	192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2579	52	25	8	35	7	35	34	38	124	25	35	18	50	28	94	36	21	34	51	51	76	56	7	78	13	24	34	16	50	46	112	68	16	26	18	23	8	12	64	50	34	15	14	64	89	35	53	40	50	34	43	43	14	13	23	49	8	20	45	73	34	6	40	72	34	31	5					
6	Число погашенных избирательных бюллетеней	43562	756	196	71	864	471	893	1009	936	908	1042	1057	923	1536	184	1002	1027	270	847	485	125	797	669	91	1212	492	1145	546	296	586	163	1115	214	728	405	124	149	50	14	1419	1011	296	414	173	1302	1360	147	770	227	1397	1241	1420	957	938	692	525	294	651	101	894	1146	657	72	57	1016	227	547	213					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2578	52	25	8	35	7	35	34	38	124	25	35	18	50	28	94	36	21	34	51	51	76	56	7	78	13	24	34	16	50	46	112	68	16	26	18	23	8	12	63	50	34	15	14	64	89	35	53	40	50	34	43	43	14	13	23	49	8	20	45	73	34	6	40	72	34	31	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44218	742	194	101	901	572	922	1507	1625	1465	1132	1504	1257	1064	128	704	1186	259	719	564	104	527	595	80	1010	635	881	570	318	714	146	1023	268	806	519	148	238	141	41	1415	839	265	221	133	1084	1051	233	927	158	1303	1325	1187	640	1198	795	372	397	1540	109	561	831	509	132	168	612	189	522	192					
9	Число недействительных избирательных бюллетеней	837	16	4	2	15	7	16	16	28	22	15	15	13	22	6	14	17	3	7	13	4	33	38	0	15	12	25	7	0	10	4	21	6	12	14	4	2	2	0	35	21	6	4	4	22	22	2	7	0	36	25	33	13	21	15	5	8	12	0	13	15	13	3	6	8	5	16	7					
10	Число действительных избирательных бюллетеней	45959	778	215	107	921	572	941	1525	1635	1567	1142	1524	1262	1092	150	784	1205	277	746	602	151	570	613	87	1073	636	880	597	334	754	188	1114	330	810	531	162	259	147	53	1443	868	293	232	143	1126	1118	266	973	198	1317	1334	1197	670	1191	793	390	438	1536	129	593	889	530	135	202	676	218	537	190					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1658	26	9	4	55	11	30	35	40	44	32	36	28	35	3	37	36	13	33	20	9	38	40	5	40	30	35	30	6	45	20	73	16	15	10	7	13	2	4	75	28	15	15	17	30	35	20	40	13	32	25	25	28	28	25	20	5	30	4	37	33	15	7	5	30	7	30	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1611	26	8	3	46	11	29	34	39	43	32	36	28	35	3	37	36	13	33	20	9	37	39	2	39	28	35	30	5	45	20	73	16	14	10	7	12	2	4	75	28	15	15	14	25	32	20	40	11	32	25	25	28	28	25	17	5	30	4	37	33	15	7	5	28	7	30	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	594	16	4	2	12	5	20	9	13	20	12	14	13	10	4	8	10	6	7	8	2	12	9	2	28	7	6	18	6	11	3	36	11	2	8	2	11	2	2	25	8	4	3	0	6	8	3	14	1	12	13	10	4	15	26	6	4	14	1	10	2	10	3	0	10	0	5	6					
14	Число погашенных неиспользованных открепительных удостоверений	47	0	1	1	9	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	5	3	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	5	0	0	0	0	1	2	2	5	2	0	2	2	0	3	2	0	0	1	1	1	1	0	2	0	3	2	0	0	1	2	0	1	0	0	0	0	0	2	4	3	0	0	3	0	0	0	0	2	0	1	1	2	3	2	1	0	1	0	1	2	0	0	0	1	2	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5357	74	32	12	112	82	82	223	260	214	170	239	185	112	26	98	151	27	76	48	11	61	51	12	132	68	80	55	39	56	17	87	28	80	41	22	22	16	2	143	100	39	21	21	126	103	19	140	21	165	188	166	96	168	110	58	47	82	16	75	83	56	14	14	90	12	57	24					
		11.45%	9.32%	14.61%	11.01%	11.97%	14.16%	8.57%	14.47%	15.63%	13.47%	14.69%	15.53%	14.51%	10.05%	16.67%	12.28%	12.36%	9.64%	10.09%	7.80%	7.10%	10.12%	7.83%	13.79%	12.13%	10.49%	8.84%	9.11%	11.68%	7.33%	8.85%	7.67%	8.33%	9.73%	7.52%	13.25%	8.43%	10.74%	3.77%	9.68%	11.25%	13.04%	8.90%	14.29%	10.98%	9.04%	7.09%	14.29%	10.61%	12.20%	13.83%	13.50%	14.06%	13.86%	13.61%	14.68%	10.54%	5.30%	12.40%	12.38%	9.18%	10.31%	10.14%	6.73%	13.16%	5.38%	10.31%	12.18%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8313	134	27	25	157	82	154	182	201	223	184	181	170	234	19	168	219	73	142	113	23	107	147	13	188	155	146	129	84	187	28	254	68	149	98	39	40	43	13	273	174	47	51	24	211	222	62	156	43	215	230	225	129	263	151	59	110	257	27	104	157	111	20	39	142	49	130	33					
		17.76%	16.88%	12.33%	22.94%	16.77%	14.16%	16.09%	11.81%	12.09%	14.03%	15.90%	11.76%	13.33%	21.01%	12.18%	21.05%	17.92%	26.07%	18.86%	18.37%	14.84%	17.74%	22.58%	14.94%	17.28%	23.92%	16.13%	21.36%	25.15%	24.48%	14.58%	22.38%	20.24%	18.13%	17.98%	23.49%	15.33%	28.86%	24.53%	18.47%	19.57%	15.72%	21.61%	16.33%	18.38%	19.47%	23.13%	15.92%	21.72%	15.89%	16.92%	18.29%	18.89%	21.70%	18.69%	14.94%	24.66%	16.60%	20.93%	17.16%	17.37%	20.44%	14.49%	18.75%	20.76%	21.97%	23.51%	16.75%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	493	5	4	2	7	5	5	12	23	17	11	20	17	11	0	5	14	4	6	0	3	7	3	1	13	4	9	8	3	13	2	10	5	4	8	3	4	3	0	9	8	3	4	3	13	16	5	11	0	21	13	17	8	12	9	4	5	21	2	8	3	2	1	3	9	4	5	3					
		1.05%	0.63%	1.83%	1.83%	0.75%	0.86%	0.52%	0.78%	1.38%	1.07%	0.95%	1.30%	1.33%	0.99%	0.00%	0.63%	1.15%	1.43%	0.80%	0.00%	1.94%	1.16%	0.46%	1.15%	1.19%	0.62%	0.99%	1.32%	0.90%	1.70%	1.04%	0.88%	1.49%	0.49%	1.47%	1.81%	1.53%	2.01%	0.00%	0.61%	0.90%	1.00%	1.69%	2.04%	1.13%	1.40%	1.87%	1.12%	0.00%	1.55%	0.96%	1.38%	1.17%	0.99%	1.11%	1.01%	1.12%	1.36%	1.55%	1.32%	0.33%	0.37%	0.72%	1.44%	1.32%	1.79%	0.90%	1.52%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13766	266	84	48	298	194	339	664	683	523	442	657	436	296	40	218	370	75	151	145	41	136	166	24	256	117	269	170	91	168	27	331	63	202	153	25	42	19	11	401	253	89	55	44	368	321	70	248	51	469	446	391	194	363	254	88	121	186	23	180	291	142	24	42	179	59	138	36					
		29.42%	33.50%	38.36%	44.04%	31.84%	33.51%	35.42%	43.09%	41.07%	32.91%	38.20%	42.69%	34.20%	26.57%	25.64%	27.32%	30.28%	26.79%	20.05%	23.58%	26.45%	22.55%	25.50%	27.59%	23.53%	18.06%	29.72%	28.15%	27.25%	21.99%	14.06%	29.16%	18.75%	24.57%	28.07%	15.06%	16.09%	12.75%	20.75%	27.13%	28.46%	29.77%	23.31%	29.93%	32.06%	28.16%	26.12%	25.31%	25.76%	34.66%	32.82%	31.79%	28.40%	29.95%	31.44%	22.28%	27.13%	12.02%	17.83%	29.70%	32.19%	26.15%	17.39%	20.19%	26.17%	26.46%	24.95%	18.27%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1676	16	2	1	43	30	22	93	112	138	82	115	110	27	8	19	51	8	10	9	1	18	24	3	59	18	29	27	5	19	5	31	12	22	22	0	2	2	1	37	23	6	6	1	23	26	2	25	6	33	46	29	7	49	39	13	3	25	1	10	19	7	1	2	16	2	16	7					
		3.58%	2.02%	0.91%	0.92%	4.59%	5.18%	2.30%	6.04%	6.73%	8.68%	7.09%	7.47%	8.63%	2.42%	5.13%	2.38%	4.17%	2.86%	1.33%	1.46%	0.65%	2.99%	3.69%	3.45%	5.42%	2.78%	3.20%	4.47%	1.50%	2.49%	2.60%	2.73%	3.57%	2.68%	4.04%	0.00%	0.77%	1.34%	1.89%	2.50%	2.59%	2.01%	2.54%	0.68%	2.00%	2.28%	0.75%	2.55%	3.03%	2.44%	3.38%	2.36%	1.02%	4.04%	4.83%	3.29%	0.67%	1.61%	0.78%	1.65%	2.10%	1.29%	0.72%	0.96%	2.34%	0.90%	2.89%	3.55%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16056	278	66	19	300	172	335	329	335	433	241	301	333	409	57	271	392	90	358	287	71	236	217	32	410	270	342	203	109	307	109	395	151	352	208	72	147	63	26	579	304	108	93	50	381	421	108	386	77	405	402	364	235	327	221	166	151	961	60	214	330	210	75	100	235	92	189	86					
		34.31%	35.01%	30.14%	17.43%	32.05%	29.71%	35.01%	21.35%	20.14%	27.25%	20.83%	19.56%	26.12%	36.71%	36.54%	33.96%	32.08%	32.14%	47.54%	46.67%	45.81%	39.14%	33.33%	36.78%	37.68%	41.67%	37.79%	33.61%	32.63%	40.18%	56.77%	34.80%	44.94%	42.82%	38.17%	43.37%	56.32%	42.28%	49.06%	39.17%	34.20%	36.12%	39.41%	34.01%	33.19%	36.93%	40.30%	39.39%	38.89%	29.93%	29.58%	29.59%	34.41%	26.98%	27.35%	42.03%	33.86%	62.08%	46.51%	35.31%	36.50%	38.67%	54.35%	48.08%	34.36%	41.26%	34.18%	43.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	298	5	0	0	4	7	4	22	21	19	12	11	11	3	0	5	8	0	3	0	1	5	5	2	15	4	5	5	3	4	0	6	3	1	1	1	2	1	0	1	6	1	2	0	4	9	0	7	0	9	9	5	1	9	9	2	1	4	0	2	6	2	0	2	5	0	2	1					
		0.64%	0.63%	0.00%	0.00%	0.43%	1.21%	0.42%	1.43%	1.26%	1.20%	1.04%	0.71%	0.86%	0.27%	0.00%	0.63%	0.65%	0.00%	0.40%	0.00%	0.65%	0.83%	0.77%	2.30%	1.38%	0.62%	0.55%	0.83%	0.90%	0.52%	0.00%	0.53%	0.89%	0.12%	0.18%	0.60%	0.77%	0.67%	0.00%	0.07%	0.67%	0.33%	0.85%	0.00%	0.35%	0.79%	0.00%	0.71%	0.00%	0.67%	0.66%	0.41%	0.15%	0.74%	1.11%	0.51%	0.22%	0.26%	0.00%	0.33%	0.66%	0.37%	0.00%	0.96%	0.73%	0.00%	0.36%	0.51%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
