Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Тацинская 																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1233	УИК  1234	УИК  1235	УИК  1236	УИК  1237	УИК  1238	УИК  1239	УИК  1240	УИК  1241	УИК  1242	УИК  2450	УИК  2515	УИК  2575					
1	"Число избирателей, внесенных в списки"	31667	1086	1763	920	1299	1894	652	1592	1824	1331	2190	2152	493	347	240	917	1785	878	498	993	942	894	381	686	486	602	457	698	488	564	785	1058	661	111					
2	"Число бюллетеней, полученных участковыми комиссиями"	32097	1066	1800	980	1298	1913	666	1582	1821	1345	2206	2197	491	345	243	945	1830	887	493	1013	947	891	369	668	492	622	466	713	488	579	808	1152	669	112					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16929	774	829	523	591	1057	315	800	934	670	1186	1123	269	103	152	334	756	496	269	517	697	623	199	488	271	361	254	421	269	325	395	573	274	81					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2058	20	78	50	47	113	91	59	59	67	180	30	52	126	33	133	158	47	39	80	10	32	70	71	46	25	44	43	36	35	62	33	87	2					
6	Число погашенных бюллетеней	13110	272	893	407	660	743	260	723	828	608	840	1044	170	116	58	478	916	344	185	416	240	236	100	109	175	236	168	249	183	219	351	546	308	29					
7	Число бюллетеней в переносных ящиках для голосования	2058	20	78	50	47	113	91	59	59	67	180	30	52	126	33	133	158	47	39	80	10	32	70	71	46	25	44	43	36	35	62	33	87	2					
8	Число бюллетеней в стационарных ящиках для голосования	16929	774	829	523	591	1057	315	800	934	670	1186	1123	269	103	152	334	756	496	269	517	697	623	199	488	271	361	254	421	269	325	395	573	274	81					
9	Число недействительных бюллетеней	239	7	13	4	4	13	8	11	7	14	7	15	3	0	1	9	11	0	8	14	2	0	1	30	10	3	11	3	5	6	5	7	5	2					
10	Число действительных бюллетеней	18748	787	894	569	634	1157	398	848	986	723	1359	1138	318	229	184	458	903	543	300	583	705	655	268	529	307	383	287	461	300	354	452	599	356	81					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	770	27	40	20	30	40	16	35	40	31	50	50	13	9	10	23	40	22	12	20	23	22	10	24	12	15	12	18	12	14	20	30	17	13					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	297	11	9	20	11	10	7	0	4	4	8	10	3	0	10	23	36	0	0	7	1	1	5	24	12	13	1	6	3	4	20	30	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	12	9	2	6	3	1	1	1	5	1	0	0	3	7	0	4	2	1	3	2	3	0	3	5	1	1	2	2	2	0	2	2	1					
14	Число погашенных открепительных удостоверений	473	16	31	0	19	30	9	35	36	27	42	40	10	9	0	0	4	22	12	13	22	21	5	0	0	2	11	12	9	10	0	0	13	13					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	302	7	13	10	3	17	6	15	11	13	6	21	2	5	0	11	13	6	7	17	9	23	8	0	12	9	3	12	4	8	11	7	6	7					
		1.59%	0.88%	1.43%	1.74%	0.47%	1.45%	1.47%	1.74%	1.10%	1.76%	0.43%	1.82%	0.62%	2.18%	0.0%	2.35%	1.42%	1.10%	2.27%	2.84%	1.27%	3.51%	2.97%	0.0%	3.78%	2.33%	1.00%	2.58%	1.31%	2.22%	2.40%	1.15%	1.66%	8.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	144	6	12	2	7	11	4	6	9	5	7	9	3	0	1	1	4	3	4	6	0	2	3	5	2	2	2	11	3	3	5	2	4	0					
		0.75%	0.75%	1.32%	0.34%	1.09%	0.94%	0.98%	0.69%	0.90%	0.67%	0.51%	0.78%	0.93%	0.0%	0.54%	0.21%	0.43%	0.55%	1.29%	1.00%	0.0%	0.30%	1.11%	0.89%	0.63%	0.51%	0.67%	2.37%	0.98%	0.83%	1.09%	0.33%	1.10%	0.0%					
