Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Тихорецкая																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137					
1	"Число избирателей, внесенных в списки"	46764	2769	1087	568	1204	1170	1199	1128	1153	1199	1179	1152	907	1586	1345	2703	1108	1328	2098	1387	932	1701	1081	229	1270	1312	1316	1094	1858	1616	1143	2257	1087	224	222	210	1416	1526					
2	"Число бюллетеней, полученных участковыми комиссиями"	47025	2740	1100	595	1200	1175	1200	1130	1160	1200	1185	1165	909	1590	1350	2750	1135	1360	2120	1375	935	1725	1100	235	1310	1295	1315	1100	1870	1575	1150	2270	1090	229	218	209	1415	1545					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24870	1257	345	326	584	559	515	568	554	540	495	681	611	886	820	1296	630	820	1226	863	609	1228	539	186	783	754	737	593	875	813	527	1031	710	131	157	178	560	883					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2340	155	123	46	20	43	91	47	34	28	54	38	15	117	25	114	49	71	38	38	13	43	249	10	47	52	63	42	71	85	144	77	66	46	10	0	132	44					
6	Число погашенных бюллетеней	19815	1328	632	223	596	573	594	515	572	632	636	446	283	587	505	1340	456	469	856	474	313	454	312	39	480	489	515	465	924	677	479	1162	314	52	51	31	723	618					
7	Число бюллетеней в переносных ящиках для голосования	2340	155	123	46	20	43	91	47	34	28	54	38	15	117	25	114	49	71	38	38	13	43	249	10	47	52	63	42	71	85	144	77	66	46	10	0	132	44					
8	Число бюллетеней в стационарных ящиках для голосования	24870	1257	345	326	584	559	515	568	554	540	495	681	611	886	820	1296	630	820	1226	863	609	1228	539	186	783	754	737	593	875	813	527	1031	710	131	157	178	560	883					
9	Число недействительных бюллетеней	237	8	8	6	9	10	14	8	8	4	6	6	0	7	14	12	10	17	1	6	3	2	0	0	3	3	10	4	5	11	3	6	7	0	0	1	8	17					
10	Число действительных бюллетеней	26973	1404	460	366	595	592	592	607	580	564	543	713	626	996	831	1398	669	874	1263	895	619	1269	788	196	827	803	790	631	941	887	668	1102	769	177	167	177	684	910					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	580	20	15	10	15	15	15	15	15	15	15	15	15	20	20	20	15	20	20	20	15	20	15	5	15	15	20	15	20	20	15	20	15	5	5	5	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	6	0	1	3	2	0	0	1	0	1	0	0	2	1	4	0	1	7	8	3	6	3	1	2	2	3	4	4	2	1	2	1	0	0	1	0	4					
