Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Кольчугинская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44143	2389	1617	1045	1694	1671	954	1936	2833	1117	1693	2551	2720	2804	622	1965	2696	2094	873	1413	1925	350	2007	666	473	153	210	480	241	243	210	237	232	223	167	211	367	258	410	122	271									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37200	1800	1350	850	1400	1400	800	1550	2300	950	1400	2100	2200	2300	500	1650	2200	1700	700	1150	1550	350	1800	550	450	150	250	450	250	200	250	250	250	250	200	250	350	300	400	150	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17791	813	692	483	730	588	420	783	1219	504	778	977	1032	1129	277	914	952	699	391	521	838	192	817	264	143	66	80	190	144	87	69	124	80	65	64	112	106	100	206	61	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2155	263	33	24	31	93	24	61	36	18	17	51	75	71	7	31	114	57	27	49	63	63	208	41	64	21	39	61	7	17	66	13	66	55	47	30	85	69	24	20	14									
6	Число погашенных избирательных бюллетеней	17254	724	625	343	639	719	356	706	1045	428	605	1072	1093	1100	216	705	1134	944	282	580	649	95	775	245	243	63	131	199	99	96	115	113	104	130	89	108	159	131	170	69	155									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2155	263	33	24	31	93	24	61	36	18	17	51	75	71	7	31	114	57	27	49	63	63	208	41	64	21	39	61	7	17	66	13	66	55	47	30	85	69	24	20	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17784	813	692	483	726	588	420	782	1219	504	778	977	1032	1128	277	914	952	698	391	521	838	192	817	264	143	66	80	190	144	87	69	124	80	65	64	112	106	100	206	61	81									
9	Число недействительных избирательных бюллетеней	404	33	16	5	7	8	15	21	28	13	16	22	21	23	8	15	21	18	12	17	16	11	16	6	11	1	2	4	0	2	0	1	1	1	1	3	2	0	3	1	3									
10	Число действительных избирательных бюллетеней	19535	1043	709	502	750	673	429	822	1227	509	779	1006	1086	1176	276	930	1045	737	406	553	885	244	1009	299	196	86	117	247	151	102	135	136	145	119	110	139	189	169	227	80	92									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	466	15	12	10	15	10	8	20	33	10	10	25	30	20	8	20	25	15	8	12	10	10	21	5	13	11	5	5	5	5	5	5	5	5	5	5	5	10	15	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	406	13	12	4	11	9	6	18	32	10	9	24	30	20	4	20	25	10	4	11	9	10	21	5	13	11	5	5	5	2	1	5	2	5	0	3	5	10	15	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	349	30	5	10	12	3	16	18	6	15	13	12	24	14	9	8	26	8	18	4	6	11	7	3	10	6	4	3	6	2	5	5	6	3	4	4	1	4	1	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	60	2	0	6	4	1	2	2	1	0	1	1	0	0	4	0	0	5	4	1	1	0	0	0	0	0	0	0	0	3	4	0	3	0	5	2	0	0	0	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	117	4	2	4	8	6	6	6	7	5	5	6	12	5	1	7	11	4	3	4	3	0	4	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	356	22	12	17	14	14	1	20	20	17	14	16	21	20	2	14	18	11	7	14	17	2	14	5	1	2	2	2	4	4	1	7	3	1	2	0	7	0	4	4	0									
		1.79%	2.04%	1.66%	3.35%	1.85%	2.06%	0.23%	2.37%	1.59%	3.26%	1.76%	1.56%	1.90%	1.67%	0.70%	1.48%	1.69%	1.46%	1.67%	2.46%	1.89%	0.78%	1.37%	1.64%	0.48%	2.30%	1.68%	0.80%	2.65%	3.85%	0.74%	5.11%	2.05%	0.83%	1.80%	0.00%	3.66%	0.00%	1.74%	4.94%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	574	22	29	17	25	17	9	27	42	16	14	20	27	36	10	20	34	23	12	23	24	14	20	13	6	4	4	9	6	2	1	4	7	3	4	7	8	3	8	2	2									
		2.88%	2.04%	4.00%	3.35%	3.30%	2.50%	2.03%	3.20%	3.35%	3.07%	1.76%	1.95%	2.44%	3.00%	3.52%	2.12%	3.19%	3.05%	2.87%	4.04%	2.66%	5.49%	1.95%	4.26%	2.90%	4.60%	3.36%	3.59%	3.97%	1.92%	0.74%	2.92%	4.79%	2.50%	3.60%	4.93%	4.19%	1.78%	3.48%	2.47%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	649	29	27	18	24	25	7	22	42	14	29	35	40	30	7	22	51	22	20	26	27	10	36	7	6	1	1	4	4	6	6	2	3	7	4	11	11	0	9	3	1									
		3.25%	2.70%	3.72%	3.55%	3.17%	3.67%	1.58%	2.61%	3.35%	2.68%	3.65%	3.40%	3.61%	2.50%	2.46%	2.33%	4.78%	2.91%	4.78%	4.56%	2.99%	3.92%	3.51%	2.30%	2.90%	1.15%	0.84%	1.59%	2.65%	5.77%	4.44%	1.46%	2.05%	5.83%	3.60%	7.75%	5.76%	0.00%	3.91%	3.70%	1.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8258	395	271	205	247	319	210	330	475	156	331	417	417	458	113	377	454	311	178	230	388	108	481	146	128	47	70	132	59	37	60	76	86	72	61	49	70	96	124	34	40									
		41.42%	36.71%	37.38%	40.43%	32.63%	46.84%	47.30%	39.15%	37.85%	29.89%	41.64%	40.56%	37.67%	38.20%	39.79%	39.89%	42.59%	41.19%	42.58%	40.35%	43.06%	42.35%	46.93%	47.87%	61.84%	54.02%	58.82%	52.59%	39.07%	35.58%	44.44%	55.47%	58.90%	60.00%	54.95%	34.51%	36.65%	56.80%	53.91%	41.98%	42.11%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	175	16	7	5	3	5	3	2	20	2	6	7	10	10	4	5	6	10	6	5	10	4	7	3	3	1	1	2	0	0	0	3	1	0	1	2	1	2	1	0	1									
		0.88%	1.49%	0.97%	0.99%	0.40%	0.73%	0.68%	0.24%	1.59%	0.38%	0.75%	0.68%	0.90%	0.83%	1.41%	0.53%	0.56%	1.32%	1.44%	0.88%	1.11%	1.57%	0.68%	0.98%	1.45%	1.15%	0.84%	0.80%	0.00%	0.00%	0.00%	2.19%	0.68%	0.00%	0.90%	1.41%	0.52%	1.18%	0.43%	0.00%	1.05%									
24	"6. Политическая партия ""Гражданская Платформа"""	32	4	0	1	1	0	1	2	2	3	1	2	2	1	0	0	1	3	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0									
		0.16%	0.37%	0.00%	0.20%	0.13%	0.00%	0.23%	0.24%	0.16%	0.57%	0.13%	0.19%	0.18%	0.08%	0.00%	0.00%	0.09%	0.40%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.84%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4201	300	162	89	185	131	81	149	211	101	146	232	264	293	52	212	211	165	81	116	186	51	231	58	23	21	14	50	28	25	27	32	27	21	20	29	40	35	55	19	28									
		21.07%	27.88%	22.34%	17.55%	24.44%	19.24%	18.24%	17.67%	16.81%	19.35%	18.36%	22.57%	23.85%	24.44%	18.31%	22.43%	19.79%	21.85%	19.38%	20.35%	20.64%	20.00%	22.54%	19.02%	11.11%	24.14%	11.76%	19.92%	18.54%	24.04%	20.00%	23.36%	18.49%	17.50%	18.02%	20.42%	20.94%	20.71%	23.91%	23.46%	29.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	173	11	7	6	8	5	9	9	18	3	5	11	9	6	5	9	5	3	1	13	6	1	14	1	1	0	0	2	0	2	0	0	1	0	0	1	0	0	1	0	0									
		0.87%	1.02%	0.97%	1.18%	1.06%	0.73%	2.03%	1.07%	1.43%	0.57%	0.63%	1.07%	0.81%	0.50%	1.76%	0.95%	0.47%	0.40%	0.24%	2.28%	0.67%	0.39%	1.37%	0.33%	0.48%	0.00%	0.00%	0.80%	0.00%	1.92%	0.00%	0.00%	0.68%	0.00%	0.00%	0.70%	0.00%	0.00%	0.43%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	212	9	7	6	14	5	8	15	20	8	2	8	14	13	2	6	14	8	4	8	5	4	6	3	3	0	2	2	0	0	5	1	0	1	0	1	1	1	2	3	1									
		1.06%	0.84%	0.97%	1.18%	1.85%	0.73%	1.80%	1.78%	1.59%	1.53%	0.25%	0.78%	1.26%	1.08%	0.70%	0.63%	1.31%	1.06%	0.96%	1.40%	0.55%	1.57%	0.59%	0.98%	1.45%	0.00%	1.68%	0.80%	0.00%	0.00%	3.70%	0.73%	0.00%	0.83%	0.00%	0.70%	0.52%	0.59%	0.87%	3.70%	1.05%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	2	0	0	3	1	0	1	1	0	1	8	0	2	0	0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.13%	0.19%	0.00%	0.00%	0.40%	0.15%	0.00%	0.12%	0.08%	0.00%	0.13%	0.78%	0.00%	0.17%	0.00%	0.00%	0.09%	0.00%	0.00%	0.18%	0.11%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	343	16	12	14	17	9	10	19	32	16	16	15	27	19	2	15	16	16	11	7	12	3	18	1	0	2	0	2	3	2	1	1	1	0	0	0	1	3	1	3	0									
		1.72%	1.49%	1.66%	2.76%	2.25%	1.32%	2.25%	2.25%	2.55%	3.07%	2.01%	1.46%	2.44%	1.58%	0.70%	1.59%	1.50%	2.12%	2.63%	1.23%	1.33%	1.18%	1.76%	0.33%	0.00%	2.30%	0.00%	0.80%	1.99%	1.92%	0.74%	0.73%	0.68%	0.00%	0.00%	0.00%	0.52%	1.78%	0.43%	3.70%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2775	136	90	69	121	97	67	127	174	93	98	122	164	169	46	126	150	103	63	77	142	36	133	50	18	7	17	29	39	13	20	6	11	9	11	32	42	28	18	8	14									
		13.92%	12.64%	12.41%	13.61%	15.98%	14.24%	15.09%	15.07%	13.86%	17.82%	12.33%	11.87%	14.81%	14.10%	16.20%	13.33%	14.07%	13.64%	15.07%	13.51%	15.76%	14.12%	12.98%	16.39%	8.70%	8.05%	14.29%	11.55%	25.83%	12.50%	14.81%	4.38%	7.53%	7.50%	9.91%	22.54%	21.99%	16.57%	7.83%	9.88%	14.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	84	3	0	4	1	5	0	6	12	1	2	5	1	8	2	5	4	3	2	5	2	0	3	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	2	2									
		0.42%	0.28%	0.00%	0.79%	0.13%	0.73%	0.00%	0.71%	0.96%	0.19%	0.25%	0.49%	0.09%	0.67%	0.70%	0.53%	0.38%	0.40%	0.48%	0.88%	0.22%	0.00%	0.29%	0.33%	0.00%	0.00%	0.84%	0.40%	0.00%	0.96%	0.00%	0.73%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	2.47%	2.11%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1678	78	85	51	87	40	23	93	158	79	114	108	90	111	31	119	80	59	21	28	65	11	42	11	6	1	4	9	8	10	14	3	5	5	5	6	8	1	4	2	3									
		8.42%	7.25%	11.72%	10.06%	11.49%	5.87%	5.18%	11.03%	12.59%	15.13%	14.34%	10.51%	8.13%	9.26%	10.92%	12.59%	7.50%	7.81%	5.02%	4.91%	7.21%	4.31%	4.10%	3.61%	2.90%	1.15%	3.36%	3.59%	5.30%	9.62%	10.37%	2.19%	3.42%	4.17%	4.50%	4.23%	4.19%	0.59%	1.74%	2.47%	3.16%									
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
