Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Чаа-Хольская											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК  167	УИК  168	УИК  169	УИК  170					
1	"Число избирателей, внесенных в списки"	3665	2100	584	196	785					
2	"Число бюллетеней, полученных участковыми комиссиями"	3328	1850	550	198	730					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	52	33	0	19	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1883	980	363	118	422					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	131	52	29	6	44					
6	Число погашенных бюллетеней	1262	785	158	55	264					
7	Число бюллетеней в переносных ящиках для голосования	183	85	29	25	44					
8	Число бюллетеней в стационарных ящиках для голосования	1881	980	361	118	422					
9	Число недействительных бюллетеней	198	98	39	9	52					
10	Число действительных бюллетеней	1866	967	351	134	414					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	60	25	10	10	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	8	2	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	1	0	1	0					
14	Число погашенных открепительных удостоверений	48	17	8	9	14					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	154	86	27	11	30					
		7.46%	8.07%	6.92%	7.69%	6.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	7	3	3	0	1					
		0.33%	0.28%	0.76%	0.0%	0.21%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	73	49	10	3	11					
		3.53%	4.60%	2.56%	2.09%	2.36%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	22	11	5	3	3					
		1.06%	1.03%	1.28%	2.09%	0.64%					
22	"5. ""За Русь Святую"""	4	0	0	2	2					
		0.19%	0.0%	0.0%	1.39%	0.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	7	0	0	2					
		0.43%	0.65%	0.0%	0.0%	0.42%					
24	"7. ""Новый курс - Автомобильная Россия"""	3	2	1	0	0					
		0.14%	0.18%	0.25%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	1	0	1	0	0					
		0.04%	0.0%	0.25%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	7	2	0	0					
		0.43%	0.65%	0.51%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	3	2	0	1	0					
		0.14%	0.18%	0.0%	0.69%	0.0%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	10	7	1	2	0					
		0.48%	0.65%	0.25%	1.39%	0.0%					
30	"13. ""Демократическая партия России"""	2	1	0	0	1					
		0.09%	0.09%	0.0%	0.0%	0.21%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	5	1	0	0					
		0.29%	0.46%	0.25%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	5	3	2	0	0					
		0.24%	0.28%	0.51%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	13	10	1	1	1					
		0.62%	0.93%	0.25%	0.69%	0.21%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	7	1	0	1					
		0.43%	0.65%	0.25%	0.0%	0.21%					
35	"18. ""ЛДПР"""	14	12	2	0	0					
		0.67%	1.12%	0.51%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	27	12	3	3	9					
		1.30%	1.12%	0.76%	2.09%	1.93%					
37	"20. ""Политическая партия ""Единая Россия"""	1302	629	263	97	313					
		63.08%	59.06%	67.43%	67.83%	67.16%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	4	4	2	2					
		0.58%	0.37%	1.02%	1.39%	0.42%					
39	"22. ""Развитие предпринимательства"""	6	3	1	0	2					
		0.29%	0.28%	0.25%	0.0%	0.42%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	156	96	18	8	34					
		7.55%	9.01%	4.61%	5.59%	7.29%					
											
41	Против всех	19	11	5	1	2					
		0.92%	1.03%	1.28%	0.69%	0.42%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
