Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Шемуршинская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998					
1	"Число избирателей, внесенных в списки избирателей"	10980	1789	745	313	60	51	57	272	491	390	689	352	344	1027	543	204	643	300	1082	337	676	525	90					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10961	1823	738	298	60	51	57	265	495	397	664	343	350	1010	566	201	658	296	1042	333	678	540	96					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9588	1576	680	269	52	49	57	244	399	363	585	304	317	879	518	170	554	265	933	298	546	450	80					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	938	86	58	23	8	2	0	21	73	11	62	36	21	84	20	26	72	24	104	32	97	68	10					
6	Число погашенных избирательных бюллетеней	435	161	0	6	0	0	0	0	23	23	17	3	12	47	28	5	32	7	5	3	35	22	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	938	86	58	23	8	2	0	21	73	11	62	36	21	84	20	26	72	24	104	32	97	68	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9588	1576	680	269	52	49	57	244	399	363	585	304	317	879	518	170	554	265	933	298	546	450	80					
9	Число недействительных избирательных бюллетеней	146	7	16	4	0	0	0	3	7	0	7	12	0	14	4	0	2	12	25	18	11	4	0					
10	Число действительных избирательных бюллетеней	10380	1655	722	288	60	51	57	262	465	374	640	328	338	949	534	196	624	277	1012	312	632	514	90					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1455	255	100	50	20	20	20	40	40	40	80	50	40	150	60	30	50	50	150	50	80	50	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	622	237	34	13	0	1	0	9	27	12	17	9	7	63	40	6	28	10	33	16	25	33	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	173	30	10	4	2	3	4	5	8	0	5	3	6	28	13	3	14	8	11	1	7	7	1					
14	Число погашенных неиспользованных открепительных удостоверений	833	18	66	37	20	19	20	31	13	28	63	41	33	87	20	24	22	40	117	34	55	17	28					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	10	3	0	0	0	0	0	0	0	0	1	3	3	0	1	8	0	2	0	13	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	53	6	6	1	0	0	0	2	0	2	10	0	0	1	1	0	2	1	6	4	6	5	0					
		0.50%	0.36%	0.81%	0.34%	0.00%	0.00%	0.00%	0.75%	0.00%	0.53%	1.55%	0.00%	0.00%	0.10%	0.19%	0.00%	0.32%	0.35%	0.58%	1.21%	0.93%	0.97%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0					
		0.06%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.19%	0.00%					
20	3.Политическая партия «Демократическая партия России»	7	0	4	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0					
		0.07%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	520	166	63	20	0	0	0	2	20	15	39	4	4	48	9	9	12	11	50	12	8	25	3					
		4.94%	9.99%	8.54%	6.85%	0.00%	0.00%	0.00%	0.75%	4.24%	4.01%	6.03%	1.18%	1.18%	4.98%	1.67%	4.59%	1.92%	3.81%	4.82%	3.64%	1.24%	4.83%	3.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	5	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	0					
		0.10%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.10%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.39%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	6	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0					
		0.06%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.19%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	244	71	26	13	0	0	0	3	9	8	38	5	1	9	2	4	12	1	15	8	7	11	1					
		2.32%	4.27%	3.52%	4.45%	0.00%	0.00%	0.00%	1.13%	1.91%	2.14%	5.87%	1.47%	0.30%	0.93%	0.37%	2.04%	1.92%	0.35%	1.45%	2.42%	1.09%	2.12%	1.11%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	193	57	25	9	0	0	0	9	12	3	11	4	1	22	3	0	12	0	6	8	9	1	1					
		1.83%	3.43%	3.39%	3.08%	0.00%	0.00%	0.00%	3.40%	2.54%	0.80%	1.70%	1.18%	0.30%	2.28%	0.56%	0.00%	1.92%	0.00%	0.58%	2.42%	1.40%	0.19%	1.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	33	1	6	1	0	0	0	2	0	3	4	0	0	3	2	3	3	0	0	1	4	0	0					
