Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:     Химкинская																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896	УИК №2897	УИК №2898	УИК №2899	УИК №2900	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952					
1	"Число избирателей, внесенных в списки"	143262	2585	2579	2181	2820	2929	2636	2423	2412	2239	2157	2768	2511	2891	2537	2762	2649	2838	2450	2828	2899	2729	2789	2793	2552	2664	2200	2260	2642	2172	2669	2873	2693	2458	2336	2573	2619	2684	1937	2237	2504	2617	2700	2534	2429	2807	192	2552	2703	2092	980	1005	1274	1358	2350	742	1600	1723	1531	2225	1370	921	1622	380	1077					
2	"Число бюллетеней, полученных участковыми комиссиями"	128021	2320	2300	1990	2545	2650	2375	2175	2165	2015	1945	2470	2235	2590	2250	2455	2390	2562	2190	2495	2622	2480	2490	2550	2290	2410	1972	2050	2420	1962	2430	2590	2335	2200	2090	2310	2350	2430	1700	2020	2240	2370	2445	2295	2062	2335	300	2310	2350	1870	832	872	1125	1190	2115	662	1440	1535	1390	1990	1140	775	1430	335	795					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	75833	1266	1414	1193	1454	1637	1301	1346	1318	1270	1219	1575	1304	1554	1190	1476	1527	1645	1358	1650	1386	1526	1508	1542	1358	1562	1140	1210	1429	1099	1517	1588	1493	1309	1268	1235	1355	1444	840	1058	1459	1459	1538	1461	1612	1498	86	1279	1170	1060	388	454	547	568	1151	346	788	810	730	1080	638	434	795	221	697					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1453	23	38	34	39	11	19	20	29	25	17	21	26	15	22	21	14	12	11	9	13	6	20	18	19	12	21	15	23	20	13	24	16	16	9	12	12	8	4	9	18	31	16	34	7	131	106	18	73	10	25	7	22	16	27	13	13	18	7	12	58	29	7	8	51					
6	Число погашенных бюллетеней	50598	1031	848	763	1052	1002	1055	809	818	720	709	874	905	1017	1038	940	849	905	821	836	1223	948	962	987	913	836	801	825	968	843	876	978	826	875	813	1063	983	978	856	953	672	880	891	800	459	706	108	1013	1107	800	419	411	556	606	937	303	639	704	653	898	444	312	628	106	47					
7	Число бюллетеней в переносных ящиках для голосования	1452	23	38	34	39	11	19	20	29	25	17	21	26	15	22	21	14	12	11	9	13	6	20	18	19	12	21	15	23	20	13	24	16	16	9	12	12	8	4	9	18	31	16	34	7	131	106	18	73	10	25	7	22	16	27	13	13	18	7	12	58	29	7	8	50					
8	Число бюллетеней в стационарных ящиках для голосования	75518	1243	1411	1224	1454	1637	1282	1325	1318	1270	1219	1565	1278	1535	1190	1458	1527	1640	1358	1641	1386	1526	1501	1533	1358	1561	1140	1209	1429	1099	1489	1588	1491	1309	1268	1235	1355	1444	840	1053	1350	1458	1536	1461	1601	1498	86	1279	1170	1060	388	454	547	568	1151	346	788	811	730	1062	638	434	795	221	697					
9	Число недействительных бюллетеней	1227	8	28	43	28	13	18	10	14	19	25	17	24	19	28	33	32	22	19	19	5	11	12	17	17	18	22	29	14	15	13	26	27	25	9	31	12	17	2	10	18	21	10	24	42	22	11	22	17	27	6	6	14	20	38	8	16	16	30	13	11	5	30	25	24					
10	Число действительных бюллетеней	75743	1258	1421	1215	1465	1635	1283	1335	1333	1276	1211	1569	1280	1531	1184	1446	1509	1630	1350	1631	1394	1521	1509	1534	1360	1555	1139	1195	1438	1104	1489	1586	1480	1300	1268	1216	1355	1435	842	1052	1350	1468	1542	1471	1566	1607	181	1275	1226	1043	407	455	555	564	1140	351	785	813	707	1061	685	458	772	204	723					
