Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Район Покровское - Стрешнево																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199					
1	"Число избирателей, внесенных в списки"	34028	2258	2588	2626	2441	2050	2687	2336	2801	2684	2352	2310	2318	1874	1918	131	172	38	136	31	207	70					
2	"Число бюллетеней, полученных участковыми комиссиями"	33030	2200	2500	2400	2400	2000	2600	2300	2800	2500	2000	2200	2300	1900	1900	170	250	50	200	40	250	70					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19357	1297	1567	1560	1318	1065	1507	1309	1602	1464	1487	1186	1206	1078	1056	99	164	22	69	31	207	63					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	598	38	39	60	36	44	34	14	38	40	21	53	38	19	6	32	8	4	67	0	0	7					
6	Число погашенных бюллетеней	13075	865	894	780	1046	891	1059	977	1160	996	492	961	1056	803	838	39	78	24	64	9	43	0					
7	Число бюллетеней в переносных ящиках для голосования	598	38	39	60	36	44	34	14	38	40	21	53	38	19	6	32	8	4	67	0	0	7					
8	Число бюллетеней в стационарных ящиках для голосования	19293	1259	1567	1556	1316	1062	1507	1309	1597	1464	1485	1186	1204	1070	1056	99	164	22	69	31	207	63					
9	Число недействительных бюллетеней	283	17	10	13	20	29	6	30	11	19	18	26	26	18	25	6	3	0	1	1	2	2					
10	Число действительных бюллетеней	19608	1280	1596	1603	1332	1077	1535	1293	1624	1485	1488	1213	1216	1071	1037	125	169	26	135	30	205	68					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	720	70	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	394	48	25	47	25	20	31	34	34	28	28	29	15	18	12	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	377	15	3	27	15	13	25	34	24	12	35	25	21	12	14	18	19	10	9	18	13	15					
14	Число погашенных открепительных удостоверений	326	22	25	3	25	30	19	16	16	22	22	21	35	32	38	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	164	15	12	11	6	10	12	9	13	10	29	7	5	12	8	0	1	1	0	0	2	1					
