Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    Заиграевская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192					
1	"Число избирателей, внесенных в списки избирателей"	37247	90	2156	1752	552	1365	2278	962	695	1257	108	970	713	1732	2032	307	235	1670	1887	2089	850	1454	504	487	184	172	187	566	178	951	1119	679	61	1452	598	418	538	459	354	1427	85	546	766	102	126	134					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36833	90	2148	1738	535	1324	2189	918	702	1225	93	920	714	1698	1968	311	383	1664	1830	2088	828	1445	493	486	180	153	184	552	174	943	1085	666	67	1480	593	417	554	450	351	1417	102	536	785	99	121	134					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18810	46	1087	889	260	554	1186	439	278	632	63	522	348	746	930	170	213	789	794	979	431	753	330	288	139	78	116	269	124	513	576	360	58	525	379	286	280	249	249	628	85	439	492	74	92	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1595	13	33	91	27	36	93	25	69	36	8	19	21	38	39	30	22	69	88	70	42	43	20	19	7	12	18	44	23	13	34	30	3	77	54	14	65	38	26	145	0	4	1	5	4	27					
6	Число погашенных избирательных бюллетеней	16430	31	1028	758	248	734	910	454	355	557	22	379	345	914	999	111	148	806	948	1039	355	649	143	179	34	63	50	241	27	417	475	276	6	878	160	117	209	163	76	644	17	93	292	20	25	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1595	13	33	91	27	36	93	25	69	36	8	19	21	38	39	30	22	69	88	70	42	43	20	19	7	12	18	44	23	13	34	30	3	77	54	14	65	38	26	145	0	4	1	5	4	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18802	46	1087	889	260	554	1186	439	278	632	63	522	348	746	930	170	213	789	794	979	429	753	330	288	139	78	116	267	124	512	576	360	58	522	379	286	280	249	249	628	85	439	492	74	92	72					
9	Число недействительных избирательных бюллетеней	491	3	73	19	6	11	18	8	0	11	0	17	7	20	5	1	6	23	18	12	24	36	11	5	6	4	0	11	1	12	9	19	4	3	8	4	9	21	1	6	0	20	9	5	4	1					
10	Число действительных избирательных бюллетеней	19906	56	1047	961	281	579	1261	456	347	657	71	524	362	764	964	199	229	835	864	1037	447	760	339	302	140	86	134	300	146	513	601	371	57	596	425	296	336	266	274	767	85	423	484	74	92	98					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1298	10	42	38	20	30	50	30	20	50	20	30	20	50	50	15	15	40	50	50	20	40	20	20	20	20	20	20	20	30	30	20	20	30	20	20	38	20	20	40	20	50	50	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	288	2	42	21	1	4	13	4	10	8	0	8	11	8	7	1	2	8	3	10	4	4	0	0	0	6	0	0	1	2	2	2	0	7	0	8	28	0	1	17	1	9	10	0	3	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	142	0	8	14	2	6	13	1	0	6	0	2	6	2	1	1	4	3	4	2	2	6	2	0	2	2	0	3	2	0	3	5	1	6	1	2	3	1	2	1	1	9	7	0	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	1010	8	0	17	19	26	37	26	10	42	20	22	9	42	43	14	13	32	47	40	16	36	20	20	20	14	20	20	19	28	28	18	20	23	20	12	10	20	19	23	19	41	40	20	17	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	1.Политическая партия «Аграрная партия России»	213	1	17	4	2	9	5	1	2	6	3	5	4	11	9	1	5	10	10	11	6	10	2	5	3	0	0	8	0	0	5	5	1	13	4	1	2	1	11	8	1	5	3	0	2	1					
		1.04%	1.69%	1.52%	0.41%	0.70%	1.53%	0.39%	0.22%	0.58%	0.90%	4.23%	0.92%	1.08%	1.40%	0.93%	0.50%	2.13%	1.17%	1.13%	1.05%	1.27%	1.26%	0.57%	1.63%	2.05%	0.00%	0.00%	2.57%	0.00%	0.00%	0.82%	1.28%	1.64%	2.17%	0.92%	0.33%	0.58%	0.35%	4.00%	1.03%	1.18%	1.13%	0.61%	0.00%	2.08%	1.01%					
19	2.Всероссийская политическая партия «Гражданская Сила»	73	0	9	2	0	3	6	3	1	3	0	0	2	2	4	0	0	5	1	1	3	0	0	2	0	1	0	0	1	5	3	0	1	2	2	0	0	2	0	5	1	3	0	0	0	0					
		0.36%	0.00%	0.80%	0.20%	0.00%	0.51%	0.47%	0.65%	0.29%	0.45%	0.00%	0.00%	0.54%	0.26%	0.41%	0.00%	0.00%	0.58%	0.11%	0.10%	0.64%	0.00%	0.00%	0.65%	0.00%	1.11%	0.00%	0.00%	0.68%	0.95%	0.49%	0.00%	1.64%	0.33%	0.46%	0.00%	0.00%	0.70%	0.00%	0.65%	1.18%	0.68%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	31	1	2	2	0	2	1	2	3	1	0	0	0	0	4	0	0	1	0	0	0	0	3	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	1	0					
		0.15%	1.69%	0.18%	0.20%	0.00%	0.34%	0.08%	0.43%	0.86%	0.15%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.86%	0.33%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.16%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.45%	0.00%	0.00%	1.04%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2015	5	101	92	18	64	143	52	35	79	5	69	38	109	135	29	28	117	91	136	30	86	25	23	6	11	12	24	16	27	57	38	2	75	22	5	32	35	22	52	4	13	37	0	12	3					
		9.88%	8.47%	9.02%	9.39%	6.27%	10.85%	11.18%	11.21%	10.09%	11.83%	7.04%	12.75%	10.30%	13.90%	13.93%	14.50%	11.91%	13.64%	10.32%	12.96%	6.37%	10.80%	7.14%	7.49%	4.11%	12.22%	8.96%	7.72%	10.88%	5.14%	9.34%	9.74%	3.28%	12.52%	5.08%	1.67%	9.28%	12.20%	8.00%	6.73%	4.71%	2.93%	7.51%	0.00%	12.50%	3.03%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	50	0	1	3	0	2	7	1	2	1	0	1	1	0	2	0	0	1	2	1	0	3	1	0	1	0	0	0	1	0	2	2	0	7	2	0	0	1	0	2	0	2	1	0	0	0					
		0.25%	0.00%	0.09%	0.31%	0.00%	0.34%	0.55%	0.22%	0.58%	0.15%	0.00%	0.18%	0.27%	0.00%	0.21%	0.00%	0.00%	0.12%	0.23%	0.10%	0.00%	0.38%	0.29%	0.00%	0.68%	0.00%	0.00%	0.00%	0.68%	0.00%	0.33%	0.51%	0.00%	1.17%	0.46%	0.00%	0.00%	0.35%	0.00%	0.26%	0.00%	0.45%	0.20%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	37	0	4	4	1	1	3	0	0	1	0	0	0	1	2	0	1	0	0	2	2	2	1	0	0	1	0	0	0	0	0	2	0	5	1	0	1	0	0	1	0	0	1	0	0	0					
		0.18%	0.00%	0.36%	0.41%	0.35%	0.17%	0.23%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.13%	0.21%	0.00%	0.43%	0.00%	0.00%	0.19%	0.42%	0.25%	0.29%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.83%	0.23%	0.00%	0.29%	0.00%	0.00%	0.13%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%					
