Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Заиграевская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191					
1	"Число избирателей, внесенных в список избирателей"	36594	72	2178	1848	572	1398	2294	760	734	1247	96	856	760	1822	2123	115	219	1577	2128	1745	797	1328	809	435	162	155	145	479	157	886	1112	668	68	1457	659	416	526	406	381	1337	114	528	808	94	123					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33998	74	1960	1660	510	1250	2205	700	690	1160	94	850	720	1620	1930	117	320	1410	2087	1560	786	1200	740	400	150	145	150	476	155	840	988	610	63	1370	600	390	510	410	340	1285	110	497	650	96	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17526	49	987	781	224	452	1068	236	272	584	66	522	395	731	910	71	180	694	1005	783	357	669	380	305	98	97	100	230	118	460	525	313	56	730	402	320	260	228	218	687	78	369	384	74	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2843	12	56	71	16	85	122	122	124	80	8	43	15	58	64	34	39	74	146	159	130	50	113	20	22	27	17	90	23	58	119	59	2	74	101	35	87	74	62	279	12	7	8	6	40					
6	Число погашенных избирательных бюллетеней	13629	13	917	808	270	713	1015	342	294	496	20	285	310	831	956	12	101	642	936	618	299	481	247	75	30	21	33	156	14	322	344	238	5	566	97	35	163	108	60	319	20	121	258	16	22					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2843	12	56	71	16	85	122	122	124	80	8	43	15	58	64	34	39	74	146	159	130	50	113	20	22	27	17	90	23	58	119	59	2	74	101	35	87	74	62	279	12	7	8	6	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17523	49	987	781	224	452	1068	236	272	584	66	522	395	731	910	71	180	694	1005	780	357	669	380	305	98	97	100	230	118	460	525	313	56	730	402	320	260	228	218	687	78	369	384	74	58					
9	Число недействительных избирательных бюллетеней	280	4	9	14	5	8	19	3	0	6	0	12	12	11	20	2	3	5	21	11	14	12	2	6	1	2	0	4	1	8	10	2	0	4	3	0	7	6	2	21	2	4	4	0	0					
10	Число действительных избирательных бюллетеней	20086	57	1034	838	235	529	1171	355	396	658	74	553	398	778	954	103	216	763	1130	928	473	707	491	319	119	122	117	316	140	510	634	370	58	800	500	355	340	296	278	945	88	372	388	80	98					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1098	5	55	50	15	35	60	20	20	35	5	31	25	50	55	5	20	45	55	50	25	35	20	15	5	25	10	15	12	25	30	20	5	45	20	20	20	10	10	50	5	10	20	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	614	3	50	22	4	13	41	8	20	12	5	24	24	18	13	4	17	37	34	12	0	11	8	3	2	20	10	9	10	5	5	0	3	43	4	14	20	4	3	50	1	4	16	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	255	3	17	11	1	4	10	3	3	12	1	10	15	19	3	2	6	8	15	4	2	6	5	5	3	5	3	4	2	5	10	1	4	8	3	4	4	0	2	7	4	7	6	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	484	2	5	28	11	22	19	12	0	23	0	7	1	32	42	1	3	8	21	38	25	24	12	12	3	5	0	6	2	20	25	20	2	2	16	6	0	6	7	0	4	6	4	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2679	9	195	153	40	58	165	52	32	111	12	49	58	133	160	3	30	95	260	166	68	129	65	30	5	8	7	53	12	55	52	18	5	68	40	18	15	37	14	98	13	28	51	3	6					
		13.15%	14.75%	18.70%	17.96%	16.67%	10.80%	13.87%	14.53%	8.08%	16.72%	16.22%	8.67%	14.15%	16.86%	16.43%	2.86%	13.70%	12.37%	22.59%	17.68%	13.96%	17.94%	13.18%	9.23%	4.17%	6.45%	5.98%	16.56%	8.51%	10.62%	8.07%	4.84%	8.62%	8.46%	7.95%	5.07%	4.32%	12.25%	5.00%	10.14%	14.44%	7.45%	13.01%	3.75%	6.12%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2477	3	158	124	42	85	180	44	56	90	10	63	42	72	110	6	8	105	110	128	78	142	90	20	12	3	11	32	23	51	76	30	12	33	84	3	15	39	15	71	7	108	79	0	7					
		12.16%	4.92%	15.15%	14.55%	17.50%	15.83%	15.13%	12.29%	14.14%	13.55%	13.51%	11.15%	10.24%	9.13%	11.29%	5.71%	3.65%	13.67%	9.56%	13.63%	16.02%	19.75%	18.26%	6.15%	10.00%	2.42%	9.40%	10.00%	16.31%	9.85%	11.80%	8.06%	20.69%	4.10%	16.70%	0.85%	4.32%	12.91%	5.36%	7.35%	7.78%	28.72%	20.15%	0.00%	7.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	148	1	11	8	4	6	10	3	1	7	0	6	6	3	1	0	2	6	7	4	4	3	1	0	2	0	0	1	1	3	12	2	2	9	2	5	0	3	0	3	1	2	6	0	0					
		0.73%	1.64%	1.05%	0.94%	1.67%	1.12%	0.84%	0.84%	0.25%	1.05%	0.00%	1.06%	1.46%	0.38%	0.10%	0.00%	0.91%	0.78%	0.61%	0.43%	0.82%	0.42%	0.20%	0.00%	1.67%	0.00%	0.00%	0.31%	0.71%	0.58%	1.86%	0.54%	3.45%	1.12%	0.40%	1.41%	0.00%	0.99%	0.00%	0.31%	1.11%	0.53%	1.53%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4797	12	247	243	64	106	302	73	70	175	12	211	120	215	282	14	73	228	220	215	101	184	90	63	38	21	10	102	60	77	134	85	7	266	105	28	70	70	62	138	13	50	94	11	36					
		23.55%	19.67%	23.68%	28.52%	26.67%	19.74%	25.38%	20.39%	17.68%	26.36%	16.22%	37.35%	29.27%	27.25%	28.95%	13.33%	33.33%	29.69%	19.11%	22.90%	20.74%	25.59%	18.26%	19.38%	31.67%	16.94%	8.55%	31.88%	42.55%	14.86%	20.81%	22.85%	12.07%	33.08%	20.87%	7.89%	20.17%	23.18%	22.14%	14.29%	14.44%	13.30%	23.98%	13.75%	36.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	208	0	19	19	2	15	19	5	0	6	0	8	6	11	6	1	4	14	5	6	1	7	0	3	0	2	0	3	0	1	4	1	0	13	7	3	0	3	1	6	0	2	4	0	1					
		1.02%	0.00%	1.82%	2.23%	0.83%	2.79%	1.60%	1.40%	0.00%	0.90%	0.00%	1.42%	1.46%	1.39%	0.62%	0.95%	1.83%	1.82%	0.43%	0.64%	0.21%	0.97%	0.00%	0.92%	0.00%	1.61%	0.00%	0.94%	0.00%	0.19%	0.62%	0.27%	0.00%	1.62%	1.39%	0.85%	0.00%	0.99%	0.36%	0.62%	0.00%	0.53%	1.02%	0.00%	1.02%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9697	32	400	285	83	256	485	172	227	269	40	216	165	340	394	79	99	311	523	403	221	242	244	202	62	88	89	125	44	319	356	232	32	408	261	298	240	144	186	625	54	182	153	66	45					
		47.61%	52.46%	38.35%	33.45%	34.58%	47.67%	40.76%	48.04%	57.32%	40.51%	54.05%	38.23%	40.24%	43.09%	40.45%	75.24%	45.21%	40.49%	45.44%	42.92%	45.38%	33.66%	49.49%	62.15%	51.67%	70.97%	76.07%	39.06%	31.21%	61.58%	55.28%	62.37%	55.17%	50.75%	51.89%	83.94%	69.16%	47.68%	66.43%	64.70%	60.00%	48.40%	39.03%	82.50%	45.92%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	80	0	4	6	0	3	10	6	10	0	0	0	1	4	1	0	0	4	5	6	0	0	1	1	0	0	0	0	0	4	0	2	0	3	1	0	0	0	0	4	0	0	1	0	3					
		0.39%	0.00%	0.38%	0.70%	0.00%	0.56%	0.84%	1.68%	2.53%	0.00%	0.00%	0.00%	0.24%	0.51%	0.10%	0.00%	0.00%	0.52%	0.43%	0.64%	0.00%	0.00%	0.20%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.54%	0.00%	0.37%	0.20%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.26%	0.00%	3.06%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
