Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Калининская-179																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №317	УИК №318									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27962	1200	1516	287	695	422	521	1004	393	311	305	502	390	1153	686	922	826	751	911	1136	721	1756	540	283	539	990	226	603	695	1368	1394	650	1754	184	1764	564									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26540	1100	1400	310	650	400	500	950	350	300	300	450	350	1100	650	900	750	750	850	1100	700	1700	500	250	500	900	200	550	650	1300	1400	600	1700	180	1700	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9060	400	557	0	198	182	152	340	100	77	72	131	119	397	203	197	290	218	282	435	239	538	200	87	177	281	43	173	207	511	546	188	661	54	601	204									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1221	41	49	270	33	30	32	21	39	40	20	23	20	7	44	22	72	35	34	4	16	35	20	12	36	39	21	58	39	21	10	7	5	22	34	10									
6	Число погашенных избирательных бюллетеней	16258	659	794	40	419	188	316	589	211	183	208	296	211	696	403	681	388	497	534	661	445	1127	279	151	287	580	136	319	404	768	844	405	1034	104	1065	336									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1221	41	49	270	33	30	32	21	39	40	20	23	20	7	44	22	72	35	34	4	16	35	20	12	36	39	21	58	39	21	10	7	5	22	34	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9056	400	557	0	198	182	152	340	100	77	72	131	119	397	203	197	290	217	282	434	237	538	200	87	177	281	43	173	207	511	546	188	661	54	601	204									
9	Число недействительных избирательных бюллетеней	285	3	9	0	3	7	2	11	4	3	1	2	1	16	9	14	7	4	8	23	5	9	0	1	10	8	2	12	2	18	27	5	19	8	28	4									
10	Число действительных избирательных бюллетеней	9992	438	597	270	228	205	182	350	135	114	91	152	138	388	238	205	355	248	308	415	248	564	220	98	203	312	62	219	244	514	529	190	647	68	607	210									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	456	10	15	2	15	15	10	15	5	5	5	10	10	15	10	15	16	15	10	20	15	20	5	10	10	20	5	10	10	20	30	8	20	10	25	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	196	10	5	0	2	4	6	6	2	0	1	6	2	6	9	2	10	9	4	6	3	9	1	6	4	5	1	1	1	10	18	5	18	3	16	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	397	24	31	4	18	9	2	12	4	4	2	7	1	5	6	5	36	3	11	6	9	15	31	1	56	13	0	7	4	15	8	9	24	2	6	7									
14	Число погашенных неиспользованных открепительных удостоверений	260	0	10	2	13	11	4	9	3	5	4	4	8	9	1	13	6	6	6	14	12	11	4	4	6	15	4	9	9	10	12	3	2	7	9	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	1	1	0	1	1	0	1	0	0	0	0	2	0	4	0	5	0	1	1	2	3	2	0	1	3	0	1	1	0	5	3	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	239	15	23	3	1	12	6	9	1	4	0	3	0	9	5	8	11	6	9	4	3	16	1	2	4	6	0	3	6	15	19	3	19	3	8	2									
		2.33%	3.40%	3.80%	1.11%	0.43%	5.66%	3.26%	2.49%	0.72%	3.42%	0.00%	1.95%	0.00%	2.23%	2.02%	3.65%	3.04%	2.38%	2.85%	0.91%	1.19%	2.79%	0.45%	2.02%	1.88%	1.88%	0.00%	1.30%	2.44%	2.82%	3.42%	1.54%	2.85%	3.95%	1.26%	0.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	249	13	14	2	5	5	1	14	6	1	4	5	5	8	5	5	3	12	5	11	1	13	6	0	7	4	1	5	0	6	20	3	23	1	21	14									
		2.42%	2.95%	2.31%	0.74%	2.16%	2.36%	0.54%	3.88%	4.32%	0.85%	4.35%	3.25%	3.60%	1.98%	2.02%	2.28%	0.83%	4.76%	1.58%	2.51%	0.40%	2.27%	2.73%	0.00%	3.29%	1.25%	1.56%	2.16%	0.00%	1.13%	3.60%	1.54%	3.45%	1.32%	3.31%	6.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	196	2	10	6	6	3	1	10	2	1	4	4	3	12	2	2	7	3	8	5	4	9	4	0	6	11	1	11	3	8	15	5	19	1	5	3									
		1.91%	0.45%	1.65%	2.22%	2.60%	1.42%	0.54%	2.77%	1.44%	0.85%	4.35%	2.60%	2.16%	2.97%	0.81%	0.91%	1.93%	1.19%	2.53%	1.14%	1.58%	1.57%	1.82%	0.00%	2.82%	3.44%	1.56%	4.76%	1.22%	1.50%	2.70%	2.56%	2.85%	1.32%	0.79%	1.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5095	242	301	164	119	108	105	169	85	51	52	70	88	193	122	105	225	107	144	245	136	283	127	58	117	149	36	126	133	283	185	77	253	38	276	123									
		49.58%	54.88%	49.67%	60.74%	51.52%	50.94%	57.07%	46.81%	61.15%	43.59%	56.52%	45.45%	63.31%	47.77%	49.39%	47.95%	62.15%	42.46%	45.57%	55.94%	53.75%	49.39%	57.73%	58.59%	54.93%	46.56%	56.25%	54.55%	54.07%	53.20%	33.27%	39.49%	37.99%	50.00%	43.46%	57.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	63	4	0	2	1	1	0	2	0	0	1	1	0	2	2	2	0	1	1	0	2	6	2	0	3	2	0	0	0	4	8	2	9	1	3	1									
		0.61%	0.91%	0.00%	0.74%	0.43%	0.47%	0.00%	0.55%	0.00%	0.00%	1.09%	0.65%	0.00%	0.50%	0.81%	0.91%	0.00%	0.40%	0.32%	0.00%	0.79%	1.05%	0.91%	0.00%	1.41%	0.63%	0.00%	0.00%	0.00%	0.75%	1.44%	1.03%	1.35%	1.32%	0.47%	0.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	2	0	0	0	1	1	0	0	1	0	1	3	0	0	0									
		0.18%	0.00%	0.17%	0.37%	0.43%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.40%	0.46%	0.00%	0.40%	0.00%	0.23%	0.40%	0.35%	0.00%	0.00%	0.00%	0.31%	1.56%	0.00%	0.00%	0.19%	0.00%	0.51%	0.45%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1778	78	107	65	43	35	39	48	18	40	13	29	19	59	37	34	45	37	62	49	54	115	47	23	35	63	15	38	56	102	77	31	101	12	118	34									
		17.30%	17.69%	17.66%	24.07%	18.61%	16.51%	21.20%	13.30%	12.95%	34.19%	14.13%	18.83%	13.67%	14.60%	14.98%	15.53%	12.43%	14.68%	19.62%	11.19%	21.34%	20.07%	21.36%	23.23%	16.43%	19.69%	23.44%	16.45%	22.76%	19.17%	13.85%	15.90%	15.17%	15.79%	18.58%	15.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	58	4	3	2	1	0	0	1	1	0	0	0	0	1	2	1	4	3	4	2	1	3	0	1	0	0	0	1	1	2	6	2	6	0	6	0									
		0.56%	0.91%	0.50%	0.74%	0.43%	0.00%	0.00%	0.28%	0.72%	0.00%	0.00%	0.00%	0.00%	0.25%	0.81%	0.46%	1.10%	1.19%	1.27%	0.46%	0.40%	0.52%	0.00%	1.01%	0.00%	0.00%	0.00%	0.43%	0.41%	0.38%	1.08%	1.03%	0.90%	0.00%	0.94%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	99	4	2	2	0	0	2	5	1	0	0	1	0	2	0	0	3	4	5	8	3	8	0	0	1	1	1	1	2	11	14	4	9	1	4	0									
		0.96%	0.91%	0.33%	0.74%	0.00%	0.00%	1.09%	1.39%	0.72%	0.00%	0.00%	0.65%	0.00%	0.50%	0.00%	0.00%	0.83%	1.59%	1.58%	1.83%	1.19%	1.40%	0.00%	0.00%	0.47%	0.31%	1.56%	0.43%	0.81%	2.07%	2.52%	2.05%	1.35%	1.32%	0.63%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	0	0	1	0	0	0	0	0	1	1	1	1	0	1	3	2	0	0	0	1	0	0	0	1	1	0	0	1	1	0	2	2	0	0	0									
		0.19%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	1.09%	0.65%	0.72%	0.00%	0.40%	1.37%	0.55%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.47%	0.31%	0.00%	0.00%	0.41%	0.19%	0.00%	1.03%	0.30%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	163	9	15	4	5	1	2	3	0	2	0	3	0	4	6	1	1	4	2	8	3	13	3	1	2	3	0	1	3	5	16	7	16	3	16	1									
		1.59%	2.04%	2.48%	1.48%	2.16%	0.47%	1.09%	0.83%	0.00%	1.71%	0.00%	1.95%	0.00%	0.99%	2.43%	0.46%	0.28%	1.59%	0.63%	1.83%	1.19%	2.27%	1.36%	1.01%	0.94%	0.94%	0.00%	0.43%	1.22%	0.94%	2.88%	3.59%	2.40%	3.95%	2.52%	0.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1133	47	75	12	34	26	13	40	17	8	10	9	13	49	22	24	23	51	37	41	22	53	13	8	13	36	4	19	30	39	108	26	111	6	73	21									
		11.02%	10.66%	12.38%	4.44%	14.72%	12.26%	7.07%	11.08%	12.23%	6.84%	10.87%	5.84%	9.35%	12.13%	8.91%	10.96%	6.35%	20.24%	11.71%	9.36%	8.70%	9.25%	5.91%	8.08%	6.10%	11.25%	6.25%	8.23%	12.20%	7.33%	19.42%	13.33%	16.67%	7.89%	11.50%	9.81%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	0	2	1	3	0	0	2	0	1	0	1	1	4	1	1	1	2	0	0	0	5	2	0	0	1	1	0	1	0	4	1	8	2	0	0									
		0.44%	0.00%	0.33%	0.37%	1.30%	0.00%	0.00%	0.55%	0.00%	0.85%	0.00%	0.65%	0.72%	0.99%	0.40%	0.46%	0.28%	0.79%	0.00%	0.00%	0.00%	0.87%	0.91%	0.00%	0.00%	0.31%	1.56%	0.00%	0.41%	0.00%	0.72%	0.51%	1.20%	2.63%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	835	20	44	5	9	13	13	47	4	5	6	25	8	44	32	18	30	17	31	41	17	38	15	5	14	34	2	14	8	37	57	26	68	0	77	11									
		8.12%	4.54%	7.26%	1.85%	3.90%	6.13%	7.07%	13.02%	2.88%	4.27%	6.52%	16.23%	5.76%	10.89%	12.96%	8.22%	8.29%	6.75%	9.81%	9.36%	6.72%	6.63%	6.82%	5.05%	6.57%	10.63%	3.13%	6.06%	3.25%	6.95%	10.25%	13.33%	10.21%	0.00%	12.13%	5.14%									
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
