Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Большереченская 																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, внесенных в списки"	24679	1070	1099	1094	1226	779	715	413	1069	1311	790	157	1572	193	996	60	167	972	87	166	95	572	81	92	174	1003	235	105	137	677	172	66	132	173	91	672	75	259	146	508	98	203	74	518	571	301	127	491	140	180	74	489	74	165	191	1122	258	202					
2	"Число бюллетеней, полученных участковыми комиссиями"	24718	1000	1000	1000	1200	800	700	410	1100	1200	760	150	1610	200	1000	100	170	980	85	175	95	570	84	91	174	1100	240	115	140	700	170	70	145	170	95	670	75	260	200	505	100	210	75	530	570	310	130	500	140	180	75	500	84	170	200	1170	260	205					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16228	603	621	656	675	412	393	243	595	642	421	143	796	151	620	46	153	636	83	157	75	485	77	86	162	705	197	77	89	454	139	64	85	108	81	482	68	209	112	396	85	136	74	432	343	189	103	341	95	148	67	296	70	145	151	982	210	164					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	890	42	26	30	56	28	14	7	31	15	7	0	82	0	63	9	4	33	0	3	5	25	0	0	0	27	14	8	12	38	0	0	0	9	0	53	0	3	0	0	0	27	0	25	20	26	7	38	12	11	2	33	0	0	0	14	17	14					
6	Число погашенных бюллетеней	7600	355	353	314	469	360	293	160	474	543	332	7	732	49	317	45	13	311	2	15	15	60	7	5	12	368	29	30	39	208	31	6	60	53	14	135	7	48	88	109	15	47	1	73	207	95	20	121	33	21	6	171	14	25	49	174	33	27					
7	Число бюллетеней в переносных ящиках для голосования	890	42	26	30	56	28	14	7	31	15	7	0	82	0	63	9	4	33	0	3	5	25	0	0	0	27	14	8	12	38	0	0	0	9	0	53	0	3	0	0	0	27	0	25	20	26	7	38	12	11	2	33	0	0	0	14	17	14					
8	Число бюллетеней в стационарных ящиках для голосования	16228	603	621	656	675	412	393	243	595	642	421	143	796	151	620	46	153	636	83	157	75	485	77	86	162	705	197	77	89	454	139	64	85	108	81	482	68	209	112	396	85	136	74	432	343	189	103	341	95	148	67	296	70	145	151	982	210	164					
9	Число недействительных бюллетеней	289	9	11	13	12	7	5	2	11	7	1	0	18	4	23	1	3	14	1	0	2	21	0	0	0	18	0	1	1	18	2	0	0	8	0	9	0	7	0	1	3	0	0	3	4	2	2	12	2	7	3	11	0	2	4	4	0	0					
10	Число действительных бюллетеней	16829	636	636	673	719	433	402	248	615	650	427	143	860	147	660	54	154	655	82	160	78	489	77	86	162	714	211	84	100	474	137	64	85	109	81	526	68	205	112	395	82	163	74	454	359	213	108	367	105	152	66	318	70	143	147	992	227	178					
