Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Чойская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219					
1	"Число избирателей, внесенных в список"	6419	482	590	533	91	110	247	648	679	344	1075	154	240	426	433	137	230					
2	Число полученных избирательных бюллетеней	6320	460	575	525	89	111	241	640	660	338	1070	160	237	420	428	136	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3699	302	336	317	63	70	173	358	362	236	582	109	178	218	206	59	130					
5	"Число избирательных бюллетеней, выданных вне помещения"	337	39	30	44	10	17	11	32	28	19	56	7	5	5	17	12	5					
6	Число погашенных избирательных бюллетеней	2284	119	209	164	16	24	57	250	270	83	432	44	54	197	205	65	95					
7	Число избирательных бюллетеней в переносных ящиках	337	39	30	44	10	17	11	32	28	19	56	7	5	5	17	12	5					
8	Число бюллетеней в стационарных ящиках для голосования	3699	302	336	317	63	70	173	358	362	236	582	109	178	218	206	59	130					
9	Число недействительных избирательных бюллетеней	49	4	3	3	1	0	5	7	3	3	4	2	3	3	6	2	0					
10	Число действительных избирательных бюллетеней	3987	337	363	358	72	87	179	383	387	252	634	114	180	220	217	69	135					
11	Число полученных открепительных  удостоверений	189	13	15	16	5	5	8	16	16	12	31	5	7	14	14	5	7					
12	Число выданных открепительных удостоверений	24	7	3	1	0	1	0	0	0	2	6	2	0	0	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	1	3	1	1	1	0	4	1	1	2	0	0	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	165	6	12	15	5	4	8	16	16	10	25	3	7	14	13	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	11	2	1	0	0	0	0	3	3	0	1	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	114	7	8	11	1	0	2	21	17	4	14	2	9	11	4	3	0					
		2.82%	2.05%	2.19%	3.05%	1.37%	0.00%	1.09%	5.38%	4.36%	1.57%	2.19%	1.72%	4.92%	4.93%	1.79%	4.23%	0.00%					
19	. Малышкин Олег Александрович	117	4	13	8	4	3	3	31	17	11	9	1	6	1	5	0	1					
		2.90%	1.17%	3.55%	2.22%	5.48%	3.45%	1.63%	7.95%	4.36%	4.31%	1.41%	0.86%	3.28%	0.45%	2.24%	0.00%	0.74%					
20	. Миронов Сергей Михайлович	42	6	2	2	3	0	0	6	3	2	9	1	2	3	2	0	1					
		1.04%	1.76%	0.55%	0.55%	4.11%	0.00%	0.00%	1.54%	0.77%	0.78%	1.41%	0.86%	1.09%	1.35%	0.90%	0.00%	0.74%					
21	. Путин Владимир Владимирович	2893	255	263	271	42	66	160	246	270	180	476	76	130	143	165	56	94					
		71.68%	74.78%	71.86%	75.07%	57.53%	75.86%	86.96%	63.08%	69.23%	70.59%	74.61%	65.52%	71.04%	64.13%	73.99%	78.87%	69.63%					
22	. Хакамада Ирина Муцуовна	84	4	9	12	1	5	2	6	5	7	12	0	9	2	4	2	4					
		2.08%	1.17%	2.46%	3.32%	1.37%	5.75%	1.09%	1.54%	1.28%	2.75%	1.88%	0.00%	4.92%	0.90%	1.79%	2.82%	2.96%					
23	. Харитонов Николай Михайлович	681	56	66	52	18	13	11	65	58	44	107	34	22	56	37	8	34					
		16.87%	16.42%	18.03%	14.40%	24.66%	14.94%	5.98%	16.67%	14.87%	17.25%	16.77%	29.31%	12.02%	25.11%	16.59%	11.27%	25.19%					
																							
24	Против всех	56	5	2	2	3	0	1	8	17	4	7	0	2	4	0	0	1					
		1.39%	1.47%	0.55%	0.55%	4.11%	0.00%	0.54%	2.05%	4.36%	1.57%	1.10%	0.00%	1.09%	1.79%	0.00%	0.00%	0.74%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
