Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Троицкая городская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55301	1458	1369	1157	889	2321	2076	1078	1257	1092	1244	178	1968	1622	893	2438	1133	2178	2207	2300	2185	1064	1007	854	1591	866	1319	2112	2365	1468	740	663	2174	2286	1147	2115	1138	818	531									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50570	1200	1200	1000	900	2000	2000	1000	1100	1000	1100	170	1800	1500	900	2500	1000	2000	2000	2000	2000	1000	1000	800	1500	900	1200	2000	2000	1200	700	600	2000	2000	1000	2000	1000	800	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18165	597	570	499	290	973	812	231	314	253	359	57	655	554	254	870	422	786	565	540	493	218	291	296	421	189	385	506	628	373	240	230	845	727	417	1078	698	254	275									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1843	17	74	8	29	114	76	43	53	39	36	5	52	60	7	27	42	54	114	23	63	42	29	50	14	10	15	30	48	20	57	50	165	35	28	221	11	55	27									
6	Число погашенных избирательных бюллетеней	30562	586	556	493	581	913	1112	726	733	708	705	108	1093	886	639	1603	536	1160	1321	1437	1444	740	680	454	1065	701	800	1464	1324	807	403	320	990	1238	555	701	291	491	198									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1843	17	74	8	29	114	76	43	53	39	36	5	52	60	7	27	42	54	114	23	63	42	29	50	14	10	15	30	48	20	57	50	165	35	28	221	11	55	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18164	597	570	499	290	973	812	231	314	253	359	57	655	554	254	870	422	786	565	540	493	218	291	296	421	189	385	506	627	373	240	230	845	727	417	1078	698	254	275									
9	Число недействительных избирательных бюллетеней	541	8	20	13	4	24	13	7	16	7	20	1	36	20	6	20	10	15	19	22	10	6	14	5	15	5	10	19	29	7	3	16	33	19	10	16	16	18	9									
10	Число действительных избирательных бюллетеней	19466	606	624	494	315	1063	875	267	351	285	375	61	671	594	255	877	454	825	660	541	546	254	306	341	420	194	390	517	646	386	294	264	977	743	435	1283	693	291	293									
