Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Красногородская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351					
1	"Число избирателей, внесенных в списки"	7739	1836	1791	236	161	270	142	864	772	385	157	312	215	409	189					
2	"Число бюллетеней, полученных участковыми комиссиями"	7416	1700	1650	230	163	260	156	850	780	380	159	320	200	380	188					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3543	1019	1106	79	82	148	85	134	186	180	52	119	105	175	73					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1554	89	39	109	55	56	46	307	334	91	71	110	57	128	62					
6	Число погашенных бюллетеней	2319	592	505	42	26	56	25	409	260	109	36	91	38	77	53					
7	Число бюллетеней в переносных ящиках для голосования	1554	89	39	109	55	56	46	307	334	91	71	110	57	128	62					
8	Число бюллетеней в стационарных ящиках для голосования	3543	1019	1106	79	82	148	85	134	186	180	52	119	105	175	73					
9	Число недействительных бюллетеней	77	12	16	2	0	5	1	7	4	6	4	4	1	12	3					
10	Число действительных бюллетеней	5020	1096	1129	186	137	199	130	434	516	265	119	225	161	291	132					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	80	10	10	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	9	5	0	0	0	0	0	1	1	0	2	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	1	3	1	1	1	0	1	1	2	1	1	1	1	1					
14	Число погашенных открепительных удостоверений	59	1	5	5	5	5	5	5	4	4	5	3	4	3	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	83	9	18	4	1	5	3	11	11	6	2	3	3	3	4					
		1.62%	0.81%	1.57%	2.12%	0.72%	2.45%	2.29%	2.49%	2.11%	2.21%	1.62%	1.31%	1.85%	0.99%	2.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	84	27	25	1	3	0	0	11	8	2	0	2	0	3	2					
		1.64%	2.43%	2.18%	0.53%	2.18%	0.0%	0.0%	2.49%	1.53%	0.73%	0.0%	0.87%	0.0%	0.99%	1.48%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	158	39	42	13	9	6	0	11	9	4	2	3	8	11	1					
		3.09%	3.51%	3.66%	6.91%	6.56%	2.94%	0.0%	2.49%	1.73%	1.47%	1.62%	1.31%	4.93%	3.63%	0.74%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	71	14	14	5	2	1	0	8	16	1	0	5	1	2	2					
		1.39%	1.26%	1.22%	2.65%	1.45%	0.49%	0.0%	1.81%	3.07%	0.36%	0.0%	2.18%	0.61%	0.66%	1.48%					
22	"5. ""За Русь Святую"""	26	6	5	1	1	1	1	5	1	0	1	0	1	2	1					
		0.51%	0.54%	0.43%	0.53%	0.72%	0.49%	0.76%	1.13%	0.19%	0.0%	0.81%	0.0%	0.61%	0.66%	0.74%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	4	2	3	2	1	0	0	0	1	0	0	1	1	2					
		0.33%	0.36%	0.17%	1.59%	1.45%	0.49%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.61%	0.33%	1.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	26	7	5	1	0	2	1	2	2	2	1	1	1	1	0					
		0.51%	0.63%	0.43%	0.53%	0.0%	0.98%	0.76%	0.45%	0.38%	0.73%	0.81%	0.43%	0.61%	0.33%	0.0%					
25	"8. ""Народно-республиканская партия России"""	9	5	0	2	0	0	1	0	0	0	0	0	0	0	1					
		0.17%	0.45%	0.0%	1.06%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	1	2	0	0	0	0	5	1	0	1	0	0	1	1					
		0.23%	0.09%	0.17%	0.0%	0.0%	0.0%	0.0%	1.13%	0.19%	0.0%	0.81%	0.0%	0.0%	0.33%	0.74%					
27	"10. ""Аграрная партия России"""	336	49	47	12	13	25	3	30	69	7	16	12	21	17	15					
		6.59%	4.42%	4.10%	6.38%	9.48%	12.25%	2.29%	6.80%	13.26%	2.58%	13.00%	5.24%	12.96%	5.61%	11.11%					
28	"11. ""Истинные патриоты России"""	4	1	0	2	0	0	0	0	0	0	0	1	0	0	0					
		0.07%	0.09%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	35	7	11	0	1	1	0	2	6	0	1	0	0	6	0					
		0.68%	0.63%	0.96%	0.0%	0.72%	0.49%	0.0%	0.45%	1.15%	0.0%	0.81%	0.0%	0.0%	1.98%	0.0%					
30	"13. ""Демократическая партия России"""	12	1	3	1	0	0	0	3	2	0	0	0	0	2	0					
		0.23%	0.09%	0.26%	0.53%	0.0%	0.0%	0.0%	0.68%	0.38%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	9	3	2	1	0	0	0	0	0	1	0	0	0	1	1					
		0.17%	0.27%	0.17%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.33%	0.74%					
32	"15. ""Партия СЛОН"""	10	2	2	0	0	0	0	2	0	1	0	0	0	3	0					
		0.19%	0.18%	0.17%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.36%	0.0%	0.0%	0.0%	0.99%	0.0%					
