Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Красноармейская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20811	2313	2421	1173	1329	2099	2156	2104	1100	2032	1796	2288									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20800	2260	2410	1180	1340	2070	2180	2110	1105	2050	1800	2295									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7228	905	796	416	520	871	850	773	216	608	547	726									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	142	18	10	11	5	17	16	13	5	17	9	21									
6	Число погашенных избирательных бюллетеней	13430	1337	1604	753	815	1182	1314	1324	884	1425	1244	1548									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	142	18	10	11	5	17	16	13	5	17	9	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7215	901	796	416	520	871	850	773	216	608	547	717									
9	Число недействительных избирательных бюллетеней	274	36	30	19	19	26	32	27	8	15	30	32									
10	Число действительных избирательных бюллетеней	7083	883	776	408	506	862	834	759	213	610	526	706									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	66	7	6	4	5	13	10	6	2	4	5	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	68	24	2	0	49	3	6	1	3	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	264	23	24	26	25	17	20	24	28	26	25	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	4	3	3	6	3	8	4	2	8	8	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	188	16	31	11	16	17	23	21	9	16	15	13									
		2.56%	1.74%	3.85%	2.58%	3.05%	1.91%	2.66%	2.67%	4.07%	2.56%	2.70%	1.76%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	179	18	25	9	11	17	17	26	3	25	6	22									
		2.43%	1.96%	3.10%	2.11%	2.10%	1.91%	1.96%	3.31%	1.36%	4.00%	1.08%	2.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	228	25	27	15	15	25	33	30	6	18	15	19									
		3.10%	2.72%	3.35%	3.51%	2.86%	2.82%	3.81%	3.82%	2.71%	2.88%	2.70%	2.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2778	352	268	159	177	343	295	287	91	249	221	336									
		37.76%	38.30%	33.25%	37.24%	33.71%	38.63%	34.06%	36.51%	41.18%	39.84%	39.75%	45.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	112	12	12	4	10	10	24	13	1	10	8	8									
		1.52%	1.31%	1.49%	0.94%	1.90%	1.13%	2.77%	1.65%	0.45%	1.60%	1.44%	1.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	3	0	3	0	1	5	0	0	3	0	1									
		0.22%	0.33%	0.00%	0.70%	0.00%	0.11%	0.58%	0.00%	0.00%	0.48%	0.00%	0.14%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1206	159	169	56	79	133	118	117	50	106	108	111									
		16.39%	17.30%	20.97%	13.11%	15.05%	14.98%	13.63%	14.89%	22.62%	16.96%	19.42%	15.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	105	15	13	5	6	17	12	13	4	8	3	9									
		1.43%	1.63%	1.61%	1.17%	1.14%	1.91%	1.39%	1.65%	1.81%	1.28%	0.54%	1.22%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	163	20	23	13	15	23	21	14	1	14	11	8									
		2.22%	2.18%	2.85%	3.04%	2.86%	2.59%	2.42%	1.78%	0.45%	2.24%	1.98%	1.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	4	2	2	0	1	0	2	0	0	1	1									
		0.18%	0.44%	0.25%	0.47%	0.00%	0.11%	0.00%	0.25%	0.00%	0.00%	0.18%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	272	21	29	14	42	13	54	36	10	16	15	22									
		3.70%	2.29%	3.60%	3.28%	8.00%	1.46%	6.24%	4.58%	4.52%	2.56%	2.70%	2.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1493	195	145	97	101	215	189	160	36	121	96	138									
		20.29%	21.22%	17.99%	22.72%	19.24%	24.21%	21.82%	20.36%	16.29%	19.36%	17.27%	18.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	5	9	2	7	0	4	6	0	4	1	5									
		0.58%	0.54%	1.12%	0.47%	1.33%	0.00%	0.46%	0.76%	0.00%	0.64%	0.18%	0.68%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	287	38	23	18	27	47	39	34	2	20	26	13									
		3.90%	4.13%	2.85%	4.22%	5.14%	5.29%	4.50%	4.33%	0.90%	3.20%	4.68%	1.76%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
