Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Набережные Челны, Комсомольская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2824	УИК №2825	УИК №2826									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	96990	1160	1848	1640	1202	2389	2521	2489	2381	2135	2078	2545	2396	2393	2381	1693	1793	2480	2112	2009	2234	2589	2448	2137	2565	2386	2443	2569	2547	2133	2337	1958	1882	1916	2319	878	1142	2587	2578	1085	2231	2205	949	2573	2521	2381	1072	680									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	97900	1190	1870	1660	1290	2370	2560	2520	2420	2130	2100	2560	2420	2430	2350	1720	1770	2490	2110	2030	2220	2610	2490	2120	2580	2380	2460	2620	2580	2170	2300	1980	1900	1940	2390	1200	1160	2590	2570	1100	2250	2230	860	2560	2560	2410	1060	620									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	80880	808	1441	1409	943	2097	2047	2185	2127	1801	1766	2098	2125	1920	2064	1560	1069	2085	1705	1648	1843	2056	1960	1825	2277	1919	2004	2182	2114	1856	1968	1564	1541	1605	1961	701	929	2156	2234	892	1891	1816	806	2299	2285	1752	969	577									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2462	140	130	67	55	47	208	55	38	41	35	32	64	110	78	0	63	47	89	80	47	129	121	34	22	68	82	2	51	54	19	100	40	5	11	107	42	43	10	37	5	8	0	8	9	10	17	2									
6	Число погашенных избирательных бюллетеней	14558	242	299	184	292	226	305	280	255	288	299	430	231	400	208	160	638	358	316	302	330	425	409	261	281	393	374	436	415	260	313	316	319	330	418	392	189	391	326	171	354	406	54	253	266	648	74	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2462	140	130	67	55	47	208	55	38	41	35	32	64	110	78	0	63	47	89	80	47	129	121	34	22	68	82	2	51	54	19	100	40	5	11	107	42	43	10	37	5	8	0	8	9	10	17	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	80868	806	1441	1407	943	2097	2047	2183	2127	1801	1766	2098	2125	1920	2064	1560	1069	2085	1705	1648	1843	2054	1960	1825	2277	1919	2004	2182	2114	1856	1968	1564	1541	1605	1961	701	929	2156	2234	892	1887	1816	806	2299	2285	1752	969	577									
9	Число недействительных избирательных бюллетеней	420	6	7	5	4	10	12	13	11	5	4	5	12	10	18	0	18	10	16	8	9	5	0	7	13	12	9	9	10	7	3	5	8	7	7	2	3	7	3	4	21	27	13	18	18	15	0	4									
10	Число действительных избирательных бюллетеней	82910	940	1564	1469	994	2134	2243	2225	2154	1837	1797	2125	2177	2020	2124	1560	1114	2122	1778	1720	1881	2178	2081	1852	2286	1975	2077	2175	2155	1903	1984	1659	1573	1603	1965	806	968	2192	2241	925	1871	1797	793	2289	2276	1747	986	575									
