Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Знаменская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10					
1	"Число избирателей, внесенных в список избирателей"	23108	2248	2464	2782	2243	2240	2128	2304	2306	2260	2133					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20158	2000	2000	2200	2000	2000	2000	1958	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	71	0	0	9	0	0	0	0	62	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14527	1325	1708	1821	1368	1422	1349	1410	1568	1557	999					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	457	19	19	199	70	35	49	13	15	24	14					
6	Число погашенных избирательных бюллетеней	5103	656	273	171	562	543	602	535	355	419	987					
7	Число избирательных бюллетеней в переносных ящиках для голосования	528	19	19	208	70	35	49	13	77	24	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14413	1325	1708	1821	1340	1419	1348	1409	1491	1555	997					
9	Число недействительных избирательных бюллетеней	167	15	14	27	19	21	22	12	14	12	11					
10	Число действительных избирательных бюллетеней	14774	1329	1713	2002	1391	1433	1375	1410	1554	1567	1000					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	30	30	30	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	228	20	23	24	22	18	21	24	23	28	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	240	11	31	67	16	11	22	46	7	10	19					
14	Число погашенных неиспользованных открепительных удостоверений	72	10	7	6	8	12	9	6	7	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	2	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3068	279	295	375	284	314	284	327	367	338	205					
		20.53%	20.76%	17.08%	18.48%	20.14%	21.60%	20.33%	22.99%	23.41%	21.41%	20.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3161	291	354	463	320	308	278	326	299	322	200					
		21.16%	21.65%	20.50%	22.82%	22.70%	21.18%	19.90%	22.93%	19.07%	20.39%	19.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	261	27	31	30	28	23	19	21	26	38	18					
		1.75%	2.01%	1.80%	1.48%	1.99%	1.58%	1.36%	1.48%	1.66%	2.41%	1.78%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3042	277	371	309	277	290	340	302	334	295	247					
		20.36%	20.61%	21.48%	15.23%	19.65%	19.94%	24.34%	21.24%	21.30%	18.68%	24.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	252	30	34	31	15	17	28	23	25	34	15					
		1.69%	2.23%	1.97%	1.53%	1.06%	1.17%	2.00%	1.62%	1.59%	2.15%	1.48%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4894	414	620	776	453	475	419	407	493	534	303					
		32.76%	30.80%	35.90%	38.25%	32.13%	32.67%	29.99%	28.62%	31.44%	33.82%	29.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	96	11	8	18	14	6	7	4	10	6	12					
		0.64%	0.82%	0.46%	0.89%	0.99%	0.41%	0.50%	0.28%	0.64%	0.38%	1.19%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
