Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Валуйская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365					
1	"Число избирателей, внесенных в списки"	55240	2298	1189	2179	2657	37	1610	1838	965	1200	1485	1363	1989	2839	2821	2321	278	252	553	296	293	710	1427	359	830	133	175	59	191	218	392	298	297	397	180	712	914	1481	65	202	450	200	869	74	334	491	1296	452	390	103	121	658	435	205	310	375	1826	600	480	358	211	331	210	399	1394	1047	1483	1296	381	958					
2	"Число бюллетеней, полученных участковыми комиссиями"	55010	2280	1180	2160	2640	100	1610	1840	950	1200	1460	1340	1990	2830	2800	2300	280	250	550	290	290	710	1430	350	810	130	170	70	190	220	400	300	300	390	180	710	910	1500	70	200	450	200	870	80	330	490	1310	450	370	110	120	660	430	200	310	370	1820	600	480	350	210	330	210	390	1380	1040	1470	1280	380	940					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28436	947	526	1001	1350	37	718	778	466	535	605	594	871	1297	1047	990	212	160	381	193	172	460	731	225	507	103	139	49	136	168	234	197	180	270	134	469	590	914	47	132	300	152	406	65	222	273	694	192	296	92	107	443	366	154	196	245	865	286	230	193	114	188	151	254	708	563	724	699	217	476					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2508	29	12	69	59	0	50	52	53	28	21	38	85	39	152	48	22	32	36	33	13	70	37	31	47	19	28	7	26	10	31	26	61	63	27	9	30	8	5	8	85	33	122	1	20	64	35	16	19	9	9	37	14	22	62	58	50	57	72	24	16	46	13	12	48	31	35	42	15	27					
6	Число погашенных бюллетеней	24066	1304	642	1090	1231	63	842	1010	431	637	834	708	1034	1494	1601	1262	46	58	133	64	105	180	662	94	256	8	3	14	28	42	135	77	59	57	19	232	290	578	18	60	65	15	342	14	88	153	581	242	55	9	4	180	50	24	52	67	905	257	178	133	80	96	46	124	624	446	711	539	148	437					
7	Число бюллетеней в переносных ящиках для голосования	2508	29	12	69	59	0	50	52	53	28	21	38	85	39	152	48	22	32	36	33	13	70	37	31	47	19	28	7	26	10	31	26	61	63	27	9	30	8	5	8	85	33	122	1	20	64	35	16	19	9	9	37	14	22	62	58	50	57	72	24	16	46	13	12	48	31	35	42	15	27					
8	Число бюллетеней в стационарных ящиках для голосования	28436	947	526	1001	1350	37	718	778	466	535	605	594	871	1297	1047	990	212	160	381	193	172	460	731	225	507	103	139	49	136	168	234	197	180	270	134	469	590	914	47	132	300	152	406	65	222	273	694	192	296	92	107	443	366	154	196	245	865	286	230	193	114	188	151	254	708	563	724	699	217	476					
9	Число недействительных бюллетеней	520	16	8	1	29	0	7	6	11	4	19	15	6	9	13	19	3	5	10	10	9	27	29	19	13	6	1	2	1	6	7	2	0	0	0	22	6	5	1	1	0	2	15	5	10	5	2	9	2	0	2	2	21	0	2	0	17	1	16	2	1	0	0	6	13	5	19	7	7	1					
10	Число действительных бюллетеней	30424	960	530	1069	1380	37	761	824	508	559	607	617	950	1327	1186	1019	231	187	407	216	176	503	739	237	541	116	166	54	161	172	258	221	241	333	161	456	614	917	51	139	385	183	513	61	232	332	727	199	313	101	114	478	359	176	256	303	898	342	286	215	129	234	164	260	743	589	740	734	225	502					
