Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Алькеевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15195	896	911	890	492	934	93	395	242	287	202	199	131	170	312	139	137	669	203	100	150	270	61	146	384	357	201	273	356	213	60	170	310	73	122	332	248	176	194	245	567	310	207	272	474	625	191	224	256	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15413	915	928	909	500	950	95	399	242	292	202	198	134	170	316	140	137	667	205	100	155	275	63	146	384	361	203	280	362	219	62	171	314	75	124	339	256	180	200	248	569	315	213	273	479	636	193	222	260	337									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14807	859	898	875	490	934	93	394	233	278	179	198	121	170	303	137	133	646	201	100	142	256	60	146	368	335	197	273	351	198	54	170	303	73	117	330	244	175	194	230	530	308	182	272	468	612	191	213	253	320									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	307	14	12	13	2	0	0	0	3	7	22	0	10	0	8	2	4	2	2	0	8	11	1	0	16	21	4	0	5	13	6	0	7	0	5	2	4	0	0	15	33	2	21	0	4	13	0	9	2	4									
6	Число погашенных избирательных бюллетеней	299	42	18	21	8	16	2	5	6	7	1	0	3	0	5	1	0	19	2	0	5	8	2	0	0	5	2	7	6	8	2	1	4	2	2	7	8	5	6	3	6	5	10	1	7	11	2	0	5	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	307	14	12	13	2	0	0	0	3	7	22	0	10	0	8	2	4	2	2	0	8	11	1	0	16	21	4	0	5	13	6	0	7	0	5	2	4	0	0	15	33	2	21	0	4	13	0	9	2	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14807	859	898	875	490	934	93	394	233	278	179	198	121	170	303	137	133	646	201	100	142	256	60	146	368	335	197	273	351	198	54	170	303	73	117	330	244	175	194	230	530	308	182	272	468	612	191	213	253	320									
9	Число недействительных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	15112	873	910	888	492	934	93	394	236	285	201	198	131	170	311	139	137	648	203	100	150	267	61	146	384	356	201	273	356	209	60	170	310	73	122	332	248	175	194	245	563	310	203	272	472	625	191	222	255	324									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	20	20	20	15	20	3	10	8	7	5	5	3	4	7	3	3	15	5	3	4	7	2	4	10	10	5	7	9	5	2	5	7	3	3	9	6	9	5	6	15	7	5	7	15	15	5	5	6	16									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	229	20	19	20	10	19	1	5	6	3	1	0	1	0	3	0	3	15	2	0	3	3	1	1	3	3	1	7	7	4	0	0	3	1	1	7	3	8	4	3	4	2	5	0	3	9	1	0	1	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	3	2	3	2	3	0	2	2	0	1	1	1	3	1	1	1	3	1	1	0	1	1	3	4	1	1	2	1	1	0	1	1	1	1	3	1	5	0	1	3	1	1	1	2	1	1	3	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	161	0	1	0	5	1	2	5	2	4	4	5	2	4	4	3	0	0	3	3	1	4	1	3	7	7	4	0	2	1	2	5	4	2	2	2	3	1	1	3	11	5	0	7	12	6	4	5	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	19	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	2.19%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.26%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.71%	0.52%	0.41%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14976	866	909	885	489	928	93	394	234	283	200	197	129	166	310	139	133	642	202	100	150	260	61	145	380	355	201	268	356	208	60	169	308	73	121	331	247	155	183	240	557	308	200	270	470	624	191	221	243	322									
		99.09%	99.20%	99.89%	99.66%	99.39%	99.36%	100.00%	100.00%	99.15%	99.30%	99.50%	99.49%	98.47%	97.65%	99.68%	100.00%	97.08%	99.07%	99.51%	100.00%	100.00%	97.38%	100.00%	99.32%	98.96%	99.72%	100.00%	98.17%	100.00%	98.58%	100.00%	99.41%	99.35%	100.00%	99.18%	99.70%	99.60%	88.57%	94.33%	97.96%	98.93%	99.35%	98.52%	99.26%	99.58%	99.84%	100.00%	99.55%	95.29%	99.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	23	2	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	3	1	0	0	1	1	0	0	0	0									
		0.15%	0.23%	0.00%	0.11%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.52%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	1.55%	0.00%	0.53%	0.32%	0.00%	0.00%	0.21%	0.16%	0.00%	0.00%	0.00%	0.00%									
