Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
"Наименование Избирательной комиссии:    Пермь, Ленинская"																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36315	1806	1715	1437	2092	1565	1244	1297	1602	1132	1837	1414	1235	672	1164	1155	1605	1528	2036	1675	1545	1457	1523	1511	607	162	387	350	61	323	178									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28650	1250	1200	1100	1500	1100	900	1000	1200	900	1300	1000	900	600	1000	1000	1200	1100	1500	1200	1200	1100	1100	1100	600	250	500	500	100	1000	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14884	627	634	611	859	639	436	467	764	461	858	614	429	251	382	481	630	638	671	693	600	513	673	478	191	136	387	350	50	239	122									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	348	27	8	7	8	11	16	7	3	9	13	13	12	9	4	6	16	24	11	17	13	23	18	13	0	0	0	0	0	60	0									
6	Число погашенных избирательных бюллетеней	13418	596	558	482	633	450	448	526	433	430	429	373	459	340	614	513	554	438	818	490	587	564	409	609	409	114	113	150	50	701	128									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	348	27	8	7	8	11	16	7	3	9	13	13	12	9	4	6	16	24	11	17	13	23	18	13	0	0	0	0	0	60	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14840	623	634	611	859	639	436	467	764	460	848	612	414	251	379	481	629	638	669	693	599	512	670	478	191	136	387	349	50	239	122									
9	Число недействительных избирательных бюллетеней	612	26	23	38	34	23	14	18	19	13	53	26	22	11	13	15	17	32	48	19	27	29	21	24	7	1	16	13	2	7	1									
10	Число действительных избирательных бюллетеней	14576	624	619	580	833	627	438	456	748	456	808	599	404	249	370	472	628	630	632	691	585	506	667	467	184	135	371	336	48	292	121									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	780	45	40	30	40	30	20	30	35	30	40	30	30	20	30	40	40	40	40	40	30	30	30	20	20	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	459	29	27	19	30	19	13	18	19	19	35	10	17	11	21	19	21	22	25	19	15	19	16	7	9	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	801	35	71	13	17	26	12	18	6	58	66	15	46	17	16	19	13	6	11	17	6	17	26	12	6	21	125	21	3	43	39									
14	Число погашенных неиспользованных открепительных удостоверений	321	16	13	11	10	11	7	12	16	11	5	20	13	9	9	21	19	18	15	21	15	11	14	13	11	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	5	3	5	1	4	5	4	0	1	2	3	4	0	0	1	0	2	4	3	2	2	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	316	10	19	15	20	22	7	6	21	10	21	19	8	9	6	15	9	9	15	23	6	13	11	6	1	3	3	2	2	5	0									
		2.08%	1.54%	2.96%	2.43%	2.31%	3.38%	1.55%	1.27%	2.74%	2.13%	2.44%	3.04%	1.88%	3.46%	1.57%	3.08%	1.40%	1.36%	2.21%	3.24%	0.98%	2.43%	1.60%	1.22%	0.52%	2.21%	0.78%	0.57%	4.00%	1.67%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	375	9	10	16	21	18	15	8	25	10	25	15	9	10	10	9	20	16	7	23	18	12	12	20	11	3	2	2	4	12	3									
		2.47%	1.38%	1.56%	2.59%	2.42%	2.77%	3.32%	1.69%	3.26%	2.13%	2.90%	2.40%	2.11%	3.85%	2.61%	1.85%	3.10%	2.42%	1.03%	3.24%	2.94%	2.24%	1.74%	4.07%	5.76%	2.21%	0.52%	0.57%	8.00%	4.01%	2.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	371	14	26	24	10	9	11	7	18	11	20	11	6	6	12	9	25	14	26	20	21	16	16	10	5	3	5	1	5	10	0									
		2.44%	2.15%	4.05%	3.88%	1.15%	1.38%	2.43%	1.48%	2.35%	2.35%	2.32%	1.76%	1.41%	2.31%	3.13%	1.85%	3.88%	2.11%	3.82%	2.82%	3.43%	2.99%	2.33%	2.04%	2.62%	2.21%	1.29%	0.29%	10.00%	3.34%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5303	188	192	209	255	206	150	179	239	137	249	182	140	85	138	182	219	235	222	248	178	169	236	213	64	68	243	248	16	145	68									
