Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
"Наименование Избирательной комиссии:    Оренбург, Дзержинская"																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971					
1	"Число избирателей, внесенных в списки"	133836	2536	2181	2293	1855	1866	1886	787	1053	1337	2564	1439	2502	2924	2849	2643	2883	2676	2646	2537	2397	2032	2347	2701	2741	1962	1692	2911	2757	2390	2324	2667	2756	2888	2819	2640	2921	2775	2887	2877	2193	2088	2064	1974	2153	2341	2884	2820	2898	2840	2907	2536	2728	2812	1324	1967	2366					
2	"Число бюллетеней, полученных участковыми комиссиями"	132970	2520	2150	1860	1830	1870	1900	840	2250	1340	2410	1530	2460	2860	2830	2620	2830	2640	2630	2550	2350	2090	2280	2650	2750	1930	1670	2890	2700	2350	2320	2330	2770	2880	2790	2670	2830	2780	2870	2830	2110	2060	2010	1970	2320	2380	2850	2760	2830	2840	2840	2500	2670	2740	1320	1850	2270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	63610	1262	1097	984	943	1039	865	292	1030	474	1055	573	1173	1038	1343	1236	1364	1300	1301	998	1233	1019	1012	1233	1383	919	833	1242	1325	1236	1153	1178	1231	1358	1289	1247	1290	1446	1445	1418	1178	1128	1005	918	1133	1181	1392	1405	1353	1416	1439	1236	1356	1425	559	781	848					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2082	15	9	452	19	26	16	51	23	15	43	48	18	38	43	24	38	33	12	14	21	29	15	37	39	20	28	29	19	27	24	24	10	30	53	17	34	31	33	31	13	3	19	75	27	21	11	23	79	18	26	27	26	16	83	56	71					
6	Число погашенных бюллетеней	67276	1243	1044	424	868	805	1019	497	1197	851	1312	909	1269	1784	1444	1360	1428	1307	1317	1538	1096	1042	1253	1378	1328	991	809	1619	1356	1087	1143	1128	1529	1492	1448	1406	1506	1303	1392	1381	919	929	986	977	1160	1178	1447	1332	1398	1406	1375	1237	1288	1299	678	1013	1351					
7	Число бюллетеней в переносных ящиках для голосования	2083	15	9	452	19	26	16	51	23	15	43	48	18	38	43	24	38	33	12	14	21	29	15	37	39	20	28	29	19	27	25	24	10	30	53	17	34	31	33	31	13	3	19	75	27	21	11	23	79	18	26	27	26	16	83	56	71					
8	Число бюллетеней в стационарных ящиках для голосования	63558	1261	1097	984	942	1039	865	292	1030	474	1055	573	1173	1038	1343	1236	1364	1297	1301	998	1233	1019	1012	1233	1380	917	832	1240	1324	1232	1146	1178	1230	1357	1289	1247	1287	1433	1445	1418	1178	1128	1000	918	1133	1180	1392	1405	1353	1416	1438	1236	1356	1423	559	781	848					
9	Число недействительных бюллетеней	995	14	18	15	41	14	9	9	26	29	23	13	16	9	14	10	13	24	26	11	16	18	28	17	29	9	22	11	9	34	24	14	24	40	14	20	14	17	12	22	13	10	12	10	11	12	10	10	26	28	27	11	16	16	11	18	26					
10	Число действительных бюллетеней	64646	1262	1088	1421	920	1051	872	334	1027	460	1075	608	1175	1067	1372	1250	1389	1306	1287	1001	1238	1030	999	1253	1390	928	838	1258	1334	1225	1147	1188	1216	1347	1328	1244	1307	1447	1466	1427	1178	1121	1007	983	1149	1189	1393	1418	1406	1406	1437	1252	1366	1423	631	819	893					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2220	40	30	20	20	20	0	10	30	20	40	20	40	40	40	40	40	40	40	40	40	30	30	40	40	30	30	40	40	40	40	40	40	40	40	40	40	40	40	40	30	30	30	0	40	440	40	40	0	40	0	40	40	40	20	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	538	15	8	9	8	15	0	3	4	4	1	3	10	9	10	11	12	11	12	8	16	13	9	8	10	11	8	7	15	15	8	9	18	18	6	11	13	7	18	21	11	10	14	0	9	14	20	12	9	20	0	8	14	0	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	378	8	8	22	15	11	0	8	3	5	4	10	8	3	3	2	10	7	9	12	6	6	14	4	8	5	4	4	7	9	8	5	10	5	9	3	2	14	1	12	3	4	2	5	2	1	5	13	6	10	11	7	6	7	5	3	4					
14	Число погашенных открепительных удостоверений	1317	25	22	11	12	5	0	7	26	16	39	17	30	31	30	29	28	29	28	32	24	17	21	32	30	19	22	33	25	25	32	31	22	22	34	29	27	33	22	19	19	20	16	0	31	26	20	28	31	20	0	32	26	35	20	29	28					
15	Число открепительных удостоверений выданных ТИК	18	15	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	604	12	15	15	11	6	9	8	13	8	16	8	13	5	15	8	10	11	12	13	8	11	12	11	21	5	4	12	18	17	13	8	15	15	8	9	12	6	16	12	14	18	8	10	13	8	7	6	4	13	17	13	4	3	6	7	12					
		0.92%	0.94%	1.35%	1.04%	1.14%	0.56%	1.02%	2.33%	1.23%	1.63%	1.45%	1.28%	1.09%	0.46%	1.08%	0.63%	0.71%	0.82%	0.91%	1.28%	0.63%	1.04%	1.16%	0.86%	1.47%	0.53%	0.46%	0.94%	1.34%	1.35%	1.11%	0.66%	1.20%	1.08%	0.59%	0.71%	0.90%	0.40%	1.08%	0.82%	1.17%	1.59%	0.78%	1.00%	1.12%	0.66%	0.49%	0.42%	0.27%	0.90%	1.16%	1.02%	0.28%	0.20%	0.93%	0.83%	1.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3456	52	58	58	52	100	60	21	47	27	29	13	54	51	84	68	50	66	63	73	60	51	45	62	68	54	60	56	50	70	103	48	84	84	65	54	72	101	68	92	94	88	48	63	49	58	100	109	93	60	62	59	75	64	12	25	24					
		5.26%	4.07%	5.24%	4.03%	5.41%	9.38%	6.81%	6.12%	4.46%	5.52%	2.64%	2.09%	4.53%	4.73%	6.06%	5.39%	3.56%	4.96%	4.79%	7.21%	4.78%	4.86%	4.38%	4.88%	4.79%	5.76%	6.97%	4.41%	3.72%	5.55%	8.79%	3.99%	6.77%	6.05%	4.84%	4.27%	5.45%	6.89%	4.60%	6.34%	7.89%	7.78%	4.71%	6.34%	4.22%	4.82%	7.12%	7.63%	6.49%	4.18%	4.23%	4.67%	5.42%	4.44%	1.86%	2.98%	2.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2045	25	32	52	32	39	23	12	36	24	22	27	43	39	53	29	35	37	68	28	38	37	52	48	53	38	22	47	32	40	32	22	32	29	54	48	58	52	51	37	16	18	31	23	50	37	38	43	46	57	54	20	32	32	24	23	23					
