Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Невская №5																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1801					
1	"Число избирателей, внесенных в список"	191339	1765	1769	2367	2278	2501	2608	2359	1999	2100	2106	2126	2121	2400	2343	2265	2299	2155	2238	2174	2403	1993	2409	2092	2341	2161	2208	2151	1995	1933	1904	1867	1908	2149	2575	2592	2587	2939	2111	2408	2292	3054	2533	2557	2331	2787	2193	2104	2011	1820	2412	2488	2504	2863	2416	2680	2336	2514	2643	2513	2306	2572	2322	2302	2218	2742	2819	2386	2207	1979	2068	2230	2995	2891	2702	2530	1846	2010	2667	2908	1924	522	184	57	1972	2230					
2	Число полученных избирательных бюллетеней	181000	1800	1700	2200	2100	2400	2500	2200	2000	2000	2000	2000	2000	2200	2200	2100	2200	2000	2100	2100	2200	1900	2300	2000	2200	2000	2000	2000	1900	1800	1800	1800	1800	2000	2400	2400	2500	2700	2000	2300	2100	2900	2400	2400	2200	2600	2100	2000	2000	1800	2300	2400	2400	2700	2300	2500	2200	2400	2500	2400	2200	2500	2200	2200	2000	2600	2600	2200	2100	1900	1900	2100	2800	2700	2500	2400	1700	1900	2400	2700	1800	700	250	250	1900	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	104472	1128	953	1345	1268	1290	1355	1316	1159	1079	1119	1149	1099	1235	1236	1326	1300	1171	1115	1134	1313	1103	1291	1176	1282	1195	1179	993	1072	1081	1057	1021	1095	1211	1200	1305	1417	1558	1049	1280	1251	1720	1380	1402	1343	1536	1139	1142	1183	1022	1302	1348	1408	1609	1264	1536	1271	1358	1437	1221	1289	1451	1362	1242	1143	1543	1561	1297	1128	953	1078	1260	1571	1553	1665	1382	1125	1196	1462	1672	1031	391	184	57	1058	1291					
5	"Число избирательных бюллетеней, выданных вне помещения"	2238	4	30	33	34	28	30	17	32	25	25	22	22	16	34	14	27	42	41	49	22	35	50	32	41	33	27	26	23	34	40	25	31	34	22	31	25	30	17	23	26	38	33	46	36	25	15	17	24	22	24	39	28	25	11	21	30	56	31	54	16	24	28	24	34	28	21	21	12	20	23	32	33	25	11	18	12	38	14	8	13	26	0	0	14	16					
6	Число погашенных избирательных бюллетеней	74290	668	717	822	798	1082	1115	867	809	896	856	829	879	949	930	760	873	787	944	917	865	762	959	792	877	772	794	981	805	685	703	754	674	755	1178	1064	1058	1112	934	997	823	1142	987	952	821	1039	946	841	793	756	974	1013	964	1066	1025	943	899	986	1032	1125	895	1025	810	934	823	1029	1018	882	960	927	799	808	1196	1122	824	1000	563	666	924	1020	756	283	66	193	828	793					
7	Число избирательных бюллетеней в переносных ящиках	2238	4	30	33	34	28	30	17	32	25	25	22	22	16	34	14	27	42	41	49	22	35	50	32	41	33	27	26	23	34	40	25	31	34	22	31	25	30	17	23	26	38	33	46	36	25	15	17	24	22	24	39	28	25	11	21	30	56	31	54	16	24	28	24	34	28	21	21	12	20	23	32	33	25	11	18	12	38	14	8	13	26	0	0	14	16					
8	Число бюллетеней в стационарных ящиках для голосования	104305	1127	953	1341	1268	1290	1355	1316	1157	1074	1119	1149	1099	1235	1230	1315	1300	1171	1114	1134	1313	1099	1287	1173	1282	1195	1174	993	1071	1081	1057	1021	1091	1211	1200	1304	1417	1558	1049	1274	1251	1716	1380	1402	1343	1536	1126	1142	1183	1022	1302	1348	1397	1609	1264	1528	1268	1358	1437	1221	1289	1451	1347	1242	1143	1542	1561	1276	1125	951	1066	1260	1569	1553	1665	1382	1123	1196	1462	1663	1030	391	184	57	1056	1291					
9	Число недействительных избирательных бюллетеней	548	3	8	8	10	8	10	8	8	5	8	7	4	14	6	4	2	2	6	5	8	11	10	4	5	7	14	6	1	4	3	5	6	5	10	3	16	0	3	6	4	6	6	11	5	2	21	6	4	7	5	13	4	6	0	10	4	7	13	22	14	11	6	3	4	7	8	0	8	4	6	5	7	6	4	5	2	9	0	0	3	15	0	1	6	5					
10	Число действительных избирательных бюллетеней	105995	1128	975	1366	1292	1310	1375	1325	1181	1094	1136	1164	1117	1237	1258	1325	1325	1211	1149	1178	1327	1123	1327	1201	1318	1221	1187	1013	1093	1111	1094	1041	1116	1240	1212	1332	1426	1588	1063	1291	1273	1748	1407	1437	1374	1559	1120	1153	1203	1037	1321	1374	1421	1628	1275	1539	1294	1407	1455	1253	1291	1464	1369	1263	1173	1563	1574	1297	1129	967	1083	1287	1595	1572	1672	1395	1133	1225	1476	1671	1040	402	184	56	1064	1302					
11	Число полученных открепительных  удостоверений	5987	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	50	70	70	70	70	70	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	87	0	0	80	80					
12	Число выданных открепительных удостоверений	1728	11	13	19	9	36	18	13	14	12	11	17	14	18	19	15	23	18	25	15	16	19	9	21	21	24	17	32	20	21	19	19	17	19	23	24	21	14	15	26	25	20	18	32	20	21	12	25	19	21	16	24	26	37	28	14	20	18	32	20	18	16	28	14	22	33	22	16	16	17	19	28	27	17	21	23	15	12	25	29	19	87	0	0	11	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1288	8	11	18	9	6	4	16	16	11	6	12	8	17	10	14	15	13	14	10	9	17	12	9	18	16	10	11	23	11	12	16	6	14	24	12	6	10	8	12	19	12	11	17	14	15	6	11	19	13	15	12	6	23	12	14	10	23	10	9	10	33	15	25	7	19	15	11	13	8	10	12	18	15	36	15	23	16	22	18	19	16	145	0	12	10					
14	Число неиспользованных открепительных удостоверений	4259	59	57	51	61	34	52	57	56	58	59	53	56	52	51	55	47	52	45	55	54	51	61	49	49	46	53	38	50	49	51	51	53	51	47	46	49	56	55	44	45	50	52	38	50	49	58	45	51	49	54	46	44	33	42	56	50	52	38	30	52	54	42	56	48	47	58	64	64	63	61	52	53	63	59	57	65	68	55	51	61	0	0	0	69	52					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																												
18	. Глазьев Сергей Юрьевич	4466	47	43	54	54	57	43	58	55	45	31	47	41	45	50	71	73	73	68	39	51	39	47	83	48	59	54	30	52	47	38	34	60	45	36	56	76	59	52	69	65	85	64	55	58	42	39	61	62	61	53	65	60	64	60	71	55	68	63	50	47	50	55	39	31	72	65	35	38	35	41	63	73	78	65	64	49	44	71	68	41	4	9	3	46	50					
		4.19%	4.16%	4.37%	3.93%	4.15%	4.32%	3.10%	4.35%	4.63%	4.09%	2.71%	4.01%	3.66%	3.60%	3.96%	5.34%	5.50%	6.02%	5.89%	3.30%	3.82%	3.44%	3.52%	6.89%	3.63%	4.80%	4.50%	2.94%	4.75%	4.22%	3.46%	3.25%	5.35%	3.61%	2.95%	4.19%	5.27%	3.72%	4.88%	5.32%	5.09%	4.85%	4.53%	3.80%	4.21%	2.69%	3.42%	5.26%	5.14%	5.84%	4.00%	4.69%	4.21%	3.92%	4.71%	4.58%	4.24%	4.81%	4.29%	3.92%	3.60%	3.39%	4.00%	3.08%	2.63%	4.59%	4.11%	2.70%	3.34%	3.60%	3.76%	4.88%	4.56%	4.94%	3.88%	4.57%	4.32%	3.57%	4.81%	4.07%	3.93%	0.96%	4.89%	5.26%	4.30%	3.83%					
19	. Малышкин Олег Александрович	858	7	9	12	10	11	8	15	9	22	11	4	13	8	10	14	9	6	9	24	8	9	9	8	9	8	5	5	11	8	6	4	8	7	9	13	7	15	9	11	7	20	6	17	7	15	9	12	7	10	10	7	9	11	14	14	12	16	6	12	10	8	12	7	12	10	13	17	8	4	14	11	11	16	19	9	10	10	11	13	6	2	0	1	6	17					
