Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Серебряно-Прудская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606					
1	"Число избирателей, внесенных в списки"	18676	2067	1422	766	1562	558	1385	609	686	984	565	778	744	730	919	688	124	1385	1048	309	251	777	319					
2	"Число бюллетеней, полученных участковыми комиссиями"	17885	1917	1345	711	1454	509	1311	573	643	903	530	739	696	694	1204	662	123	1326	993	280	245	733	294					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11348	1201	923	487	888	301	712	385	370	521	370	443	432	493	873	485	108	852	579	214	118	400	193					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1419	25	56	17	34	40	66	120	180	124	41	107	100	60	46	24	7	52	54	22	112	100	32					
6	Число погашенных бюллетеней	5118	691	366	207	532	168	533	68	93	258	119	189	164	141	285	153	8	422	360	44	15	233	69					
7	Число бюллетеней в переносных ящиках для голосования	1419	25	56	17	34	40	66	120	180	124	41	107	100	60	46	24	7	52	54	22	112	100	32					
8	Число бюллетеней в стационарных ящиках для голосования	11347	1201	923	487	888	301	712	385	370	521	370	443	432	493	873	485	108	852	579	213	118	400	193					
9	Число недействительных бюллетеней	335	17	17	9	30	11	27	6	20	16	25	13	26	4	35	8	6	23	20	7	1	11	3					
10	Число действительных бюллетеней	12431	1209	962	495	892	330	751	499	530	629	386	537	506	549	884	501	109	881	613	228	229	489	222					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	499	23	39	15	10	10	25	32	36	15	38	24	27	15	30	20	20	68	30	10	10	2	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	495	23	39	15	9	10	25	32	36	15	38	24	27	15	30	20	20	68	27	10	10	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	128	17	6	7	9	3	5	2	13	2	9	3	4	4	8	2	1	8	12	10	2	1	0					
14	Число погашенных открепительных удостоверений	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	225	12	8	6	15	5	18	6	16	18	14	13	8	9	18	8	7	13	4	3	8	13	3					
		1.76%	0.97%	0.81%	1.19%	1.62%	1.46%	2.31%	1.18%	2.90%	2.79%	3.40%	2.36%	1.50%	1.62%	1.95%	1.57%	6.08%	1.43%	0.63%	1.27%	3.47%	2.6%	1.33%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	157	18	11	8	22	7	13	1	8	4	5	8	7	3	6	7	0	15	4	2	2	4	2					
		1.22%	1.46%	1.12%	1.58%	2.38%	2.05%	1.67%	0.19%	1.45%	0.62%	1.21%	1.45%	1.31%	0.54%	0.65%	1.37%	0.0%	1.65%	0.63%	0.85%	0.86%	0.8%	0.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	233	30	13	18	19	9	16	2	9	11	15	4	11	1	18	11	2	18	10	1	2	7	6					
		1.82%	2.44%	1.32%	3.57%	2.06%	2.63%	2.05%	0.39%	1.63%	1.70%	3.64%	0.72%	2.06%	0.18%	1.95%	2.16%	1.73%	1.99%	1.57%	0.42%	0.86%	1.4%	2.66%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	209	31	27	14	20	9	10	4	4	7	8	2	11	3	12	13	1	15	6	0	5	5	2					
		1.63%	2.52%	2.75%	2.77%	2.16%	2.63%	1.28%	0.79%	0.72%	1.08%	1.94%	0.36%	2.06%	0.54%	1.30%	2.55%	0.86%	1.65%	0.94%	0.0%	2.17%	1.0%	0.88%					
22	"5. ""За Русь Святую"""	44	4	3	2	1	1	1	2	0	3	1	0	4	3	2	0	1	1	13	0	0	0	2					
		0.34%	0.32%	0.30%	0.39%	0.10%	0.29%	0.12%	0.39%	0.0%	0.46%	0.24%	0.0%	0.75%	0.54%	0.21%	0.0%	0.86%	0.11%	2.05%	0.0%	0.0%	0.0%	0.88%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	3	1	1	2	0	2	0	0	1	2	3	2	0	2	1	0	0	5	2	0	1	1					
		0.22%	0.24%	0.10%	0.19%	0.21%	0.0%	0.25%	0.0%	0.0%	0.15%	0.48%	0.54%	0.37%	0.0%	0.21%	0.19%	0.0%	0.0%	0.78%	0.85%	0.0%	0.2%	0.44%					
