Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Туапсинская районная																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5312	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328	УИК №5329	УИК №5330	УИК №5331	УИК №5332	УИК №5333	УИК №5334	УИК №5335	УИК №5336	УИК №5337	УИК №5338	УИК №5339	УИК №5340	УИК №5341	УИК №5342	УИК №5343	УИК №5344	УИК №5345	УИК №5346	УИК №5347	УИК №5348	УИК №5349	УИК №5350	УИК №5351	УИК №5352	УИК №5353	УИК №5354	УИК №5355	УИК №5356	УИК №5357									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42546	484	1170	365	430	1076	672	1502	735	944	823	656	1345	2445	2104	1602	304	878	1349	621	365	1196	1435	1368	1564	1196	1179	1007	518	381	371	94	170	497	569	1104	690	1019	185	175	786	471	77	678	232	343	213	1000	113	109	128	338	591	484	652	567	583	593									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40869	450	1100	350	400	1050	650	1400	750	700	800	660	1100	2500	2050	1600	300	850	1350	600	350	1050	1350	1300	1450	1200	1150	1000	500	350	350	90	160	500	500	1100	700	1000	190	180	790	450	70	650	200	340	200	1000	112	112	125	340	600	500	600	550	550	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26389	359	781	257	304	801	474	1223	661	583	543	471	870	920	764	747	131	649	520	381	153	796	1008	1066	1089	1092	661	534	281	144	172	71	87	257	290	758	196	815	172	155	676	346	69	441	173	270	162	375	84	79	94	232	418	329	351	311	364	379									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3390	31	100	31	37	38	47	12	29	67	71	60	173	69	268	152	22	80	46	59	137	94	83	120	104	18	75	111	59	80	52	10	33	52	54	59	26	53	0	0	0	54	0	84	25	20	21	124	10	8	18	36	48	52	116	70	38	54									
6	Число погашенных избирательных бюллетеней	11090	60	219	62	59	211	129	165	60	50	186	129	57	1511	1018	701	147	121	784	160	60	160	259	114	257	90	414	355	160	126	126	9	40	191	156	283	478	132	18	25	114	50	1	125	2	50	17	501	18	25	13	72	134	119	133	169	148	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3385	31	100	31	37	38	47	12	29	67	71	60	173	69	268	147	22	80	46	59	137	94	83	120	104	18	75	111	59	80	52	10	33	52	54	59	26	53	0	0	0	54	0	84	25	20	21	124	10	8	18	36	48	52	116	70	38	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26308	359	781	257	304	801	474	1223	661	583	515	471	870	920	764	747	131	649	520	381	153	796	1008	1066	1089	1092	661	534	281	144	172	71	87	257	290	758	196	762	172	155	676	346	69	441	173	270	162	375	84	79	94	232	418	329	351	311	364	379									
9	Число недействительных избирательных бюллетеней	224	3	0	0	4	0	0	9	2	0	3	0	7	22	14	19	6	6	16	12	5	2	20	1	6	6	13	5	1	4	3	0	0	2	5	0	4	0	0	0	0	1	0	1	0	0	2	8	0	0	0	0	1	5	0	3	0	3									
10	Число действительных избирательных бюллетеней	29469	387	881	288	337	839	521	1226	688	650	583	531	1036	967	1018	875	147	723	550	428	285	888	1071	1185	1187	1104	723	640	339	220	221	81	120	307	339	817	218	815	172	155	676	399	69	524	198	290	181	491	94	87	112	268	465	376	467	378	402	430									
