Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
"Наименование Избирательной комиссии:    Владивосток, Первореченская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №1334	УИК №1335	УИК №1336					
1	"Число избирателей, внесенных в списки избирателей"	102397	2072	2214	1688	2179	2809	2581	2834	2566	2675	2802	2806	2464	2172	2536	3435	2662	3035	1290	2507	1575	2403	2872	997	2440	2352	2730	2369	2508	2662	2089	2587	2657	2538	2589	3060	1887	1931	1278	1997	2266	2127	1119	1370	438	483	262	187	219	297	586	195					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91320	2000	2000	1500	2000	2600	2400	2600	2300	2500	2600	2600	2000	2000	2200	2800	2500	2700	1100	2000	1500	2000	2700	900	2000	2000	2500	2000	2300	2500	2000	2400	2400	2100	2400	2600	1500	1700	1200	1800	2000	1800	1000	1200	400	410	230	200	180	280	540	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	50806	1096	1164	802	982	1386	1300	1300	1361	1084	1201	1324	1251	1037	1093	1935	1275	1512	753	1249	1359	1136	1442	382	1291	1189	1352	1059	1237	1202	1023	1186	1214	1181	1349	1763	895	668	560	993	1167	1013	498	505	327	392	219	167	150	204	416	162					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	591	18	19	12	15	9	19	16	16	20	6	13	30	27	7	15	35	15	16	17	0	17	8	2	11	7	14	11	7	12	13	16	2	12	9	46	14	9	16	12	9	2	9	7	0	0	0	0	0	0	1	0					
6	Число погашенных избирательных бюллетеней	39923	886	817	686	1003	1205	1081	1284	923	1396	1393	1263	719	936	1100	850	1190	1173	331	734	141	847	1250	516	698	804	1134	930	1056	1286	964	1198	1184	907	1042	791	591	1023	624	795	824	785	493	688	73	18	11	33	30	76	123	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	590	18	19	12	15	9	19	16	16	20	6	13	30	27	7	15	35	15	16	17	0	16	8	2	11	7	14	11	7	12	13	16	2	12	9	46	14	9	16	12	9	2	9	7	0	0	0	0	0	0	1	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50738	1093	1162	801	982	1384	1298	1300	1361	1084	1196	1324	1251	1034	1082	1935	1275	1512	753	1249	1354	1136	1441	382	1291	1187	1352	1057	1234	1190	1023	1185	1212	1181	1342	1763	894	668	560	993	1166	1011	498	505	327	392	219	167	150	204	416	162					
9	Число недействительных избирательных бюллетеней	1117	21	34	18	26	18	22	28	33	15	20	36	29	29	27	52	31	20	20	24	24	28	32	5	33	25	47	17	22	31	21	22	33	21	28	36	22	11	13	34	20	20	15	12	9	6	5	5	2	2	13	0					
10	Число действительных избирательных бюллетеней	50211	1090	1147	795	971	1375	1295	1288	1344	1089	1182	1301	1252	1032	1062	1898	1279	1507	749	1242	1330	1124	1417	379	1269	1169	1319	1051	1219	1171	1015	1179	1181	1172	1323	1773	886	666	563	971	1155	993	492	500	318	386	214	162	148	202	404	162					
