Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																															
Дата голосования: 02.12.2007																																																																															
																																																																															
"Наименование Избирательной комиссии:    Воронеж, Советская"																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372					
1	"Число избирателей, внесенных в списки избирателей"	158164	2865	3051	2998	2982	2643	2902	2057	2838	2239	2594	2587	2582	2586	2263	2502	2383	1384	1953	2568	2089	610	2676	2303	2606	2585	2421	2794	2268	2073	2447	2105	1683	2945	2830	2555	2755	671	2535	2542	2616	2222	2438	343	2175	2513	2601	2284	1320	1299	2227	2806	2531	2230	1671	2247	2438	2649	2320	1805	2063	2993	2658	1953	2669	1746	2334	2450	1714	969	217	80	113					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	147000	2600	2800	2800	2700	2400	2700	1900	2700	2000	2400	2400	2400	2400	2100	2400	2200	1200	1800	2200	2000	600	2300	2100	2300	2500	2300	2700	2000	2000	2300	1900	1600	2600	2700	2500	2600	600	2400	2400	2500	2000	2100	600	2000	2400	2500	2200	1200	1200	2200	2600	2300	2200	1500	2100	2200	2500	2200	1700	1900	2700	2400	1700	2400	1700	2100	2400	1600	800	300	100	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	85478	1465	1633	1625	1668	1523	1343	955	1419	1053	1352	1312	1368	1182	906	1260	1255	722	999	1395	1163	549	1556	1158	1375	1455	1433	1532	1219	1106	1351	1096	1034	1437	1608	1444	1632	334	1439	1289	1498	1267	1690	319	1090	1390	1513	1290	757	682	1236	1528	1452	1189	884	1259	1331	1407	1170	852	1217	1606	1488	1042	1447	847	1345	1331	876	432	209	76	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3920	103	74	56	63	22	106	56	69	52	53	62	70	39	65	56	65	21	66	90	47	41	48	18	35	29	54	65	40	41	33	114	33	68	56	59	61	29	49	85	43	30	30	0	54	45	58	37	41	19	43	42	60	63	19	60	79	60	78	90	61	63	62	15	33	196	118	112	25	91	0	0	0					
6	Число погашенных избирательных бюллетеней	57602	1032	1093	1119	969	855	1251	889	1212	895	995	1026	962	1179	1129	1084	880	457	735	715	790	10	696	924	890	1016	813	1103	741	853	916	690	533	1095	1036	997	907	237	912	1026	959	703	380	281	856	965	929	873	402	499	921	1030	788	948	597	781	790	1033	952	758	622	1031	850	643	920	657	637	957	699	277	91	24	87					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3920	103	74	56	63	22	106	56	69	52	53	62	70	39	65	56	65	21	66	90	47	41	48	18	35	29	54	65	40	41	33	114	33	68	56	59	61	29	49	85	43	30	30	0	54	45	58	37	41	19	43	42	60	63	19	60	79	60	78	90	61	63	62	15	33	196	118	112	25	91	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	85452	1465	1633	1625	1668	1523	1343	955	1419	1053	1352	1311	1367	1182	906	1255	1255	722	998	1395	1163	549	1556	1158	1374	1455	1433	1532	1219	1105	1351	1096	1031	1437	1606	1444	1632	334	1439	1288	1498	1267	1690	319	1090	1390	1513	1290	757	681	1233	1528	1452	1189	884	1259	1331	1407	1170	850	1217	1603	1488	1041	1447	847	1345	1331	876	432	209	76	113					
9	Число недействительных избирательных бюллетеней	991	21	30	24	13	15	15	10	18	16	4	19	15	15	17	16	9	7	8	8	12	0	16	12	22	24	25	12	11	12	29	8	6	14	19	14	29	9	24	20	12	12	28	6	18	16	10	12	7	9	18	17	9	14	4	9	19	23	9	12	12	13	14	12	16	7	15	16	11	2	7	2	2					
10	Число действительных избирательных бюллетеней	88381	1547	1677	1657	1718	1530	1434	1001	1470	1089	1401	1354	1422	1206	954	1295	1311	736	1056	1477	1198	590	1588	1164	1387	1460	1462	1585	1248	1134	1355	1202	1058	1491	1643	1489	1664	354	1464	1353	1529	1285	1692	313	1126	1419	1561	1315	791	691	1258	1553	1503	1238	899	1310	1391	1444	1239	928	1266	1653	1536	1044	1464	1036	1448	1427	890	521	202	74	111					
