Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Шаблыкинская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765					
1	"Число избирателей, внесенных в список избирателей"	6780	1122	1241	793	189	213	651	184	263	254	254	609	328	52	141	197	289					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7019	1132	1257	835	197	221	660	190	280	280	264	637	348	55	146	217	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3680	574	717	486	126	112	322	79	92	122	115	375	194	21	71	119	155					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	880	67	57	48	28	41	144	69	72	49	24	56	59	14	23	39	90					
6	Число погашенных избирательных бюллетеней	2459	491	483	301	43	68	194	42	116	109	125	206	95	20	52	59	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	880	67	57	48	28	41	144	69	72	49	24	56	59	14	23	39	90					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3680	574	717	486	126	112	322	79	92	122	115	375	194	21	71	119	155					
9	Число недействительных избирательных бюллетеней	103	19	57	8	0	0	3	1	2	1	7	0	1	1	0	1	2					
10	Число действительных избирательных бюллетеней	4457	622	717	526	154	153	463	147	162	170	132	431	252	34	94	157	243					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	40	41	50	0	10	10	5	10	20	10	30	15	5	0	40	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	157	20	27	19	0	3	10	1	9	13	10	19	14	3	0	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	9	14	2	1	2	3	1	1	3	2	5	0	1	0	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	139	20	14	31	0	7	0	4	1	7	0	11	1	2	0	31	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	362	49	73	54	14	12	22	2	10	12	18	29	22	4	4	17	20					
		7.94%	7.64%	9.43%	10.11%	9.09%	7.84%	4.72%	1.35%	6.10%	7.02%	12.95%	6.73%	8.70%	11.43%	4.26%	10.76%	8.16%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	449	57	69	44	14	18	48	16	17	17	16	61	12	5	19	18	18					
		9.85%	8.89%	8.91%	8.24%	9.09%	11.76%	10.30%	10.81%	10.37%	9.94%	11.51%	14.15%	4.74%	14.29%	20.21%	11.39%	7.35%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	2	4	3	0	1	9	0	0	2	2	5	3	0	2	0	0					
		0.72%	0.31%	0.52%	0.56%	0.00%	0.65%	1.93%	0.00%	0.00%	1.17%	1.44%	1.16%	1.19%	0.00%	2.13%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1319	277	242	155	29	81	124	38	24	52	25	83	71	2	29	33	54					
		28.93%	43.21%	31.27%	29.03%	18.83%	52.94%	26.61%	25.68%	14.63%	30.41%	17.99%	19.26%	28.06%	5.71%	30.85%	20.89%	22.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	9	7	2	1	2	2	0	0	8	0	7	0	0	0	0	0					
		0.83%	1.40%	0.90%	0.37%	0.65%	1.31%	0.43%	0.00%	0.00%	4.68%	0.00%	1.62%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2236	225	320	263	96	39	256	88	111	78	71	244	143	23	40	89	150					
		49.04%	35.10%	41.34%	49.25%	62.34%	25.49%	54.94%	59.46%	67.68%	45.61%	51.08%	56.61%	56.52%	65.71%	42.55%	56.33%	61.22%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	20	3	2	5	0	0	2	3	0	1	0	2	1	0	0	0	1					
		0.44%	0.47%	0.26%	0.94%	0.00%	0.00%	0.43%	2.03%	0.00%	0.58%	0.00%	0.46%	0.40%	0.00%	0.00%	0.00%	0.41%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
