Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Шаблыкинская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №767					
1	"Число избирателей, внесенных в списки избирателей"	6734	1037	1220	784	201	231	593	241	84	189	288	250	577	308	52	146	202	285	46					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7262	1092	1295	848	207	243	641	247	91	205	303	288	652	358	63	156	222	297	54					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4395	673	794	590	139	153	321	109	50	103	124	172	401	214	25	101	144	250	32					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1064	174	92	59	40	61	151	93	14	27	60	30	72	65	24	24	40	26	12					
6	Число погашенных избирательных бюллетеней	1803	245	409	199	28	29	169	45	27	75	119	86	179	79	14	31	38	21	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1064	174	92	59	40	61	151	93	14	27	60	30	72	65	24	24	40	26	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4395	673	794	590	139	153	321	109	50	103	124	172	401	214	25	101	144	250	32					
9	Число недействительных избирательных бюллетеней	127	1	8	1	0	0	45	20	2	1	1	11	4	6	0	0	17	10	0					
10	Число действительных избирательных бюллетеней	5332	846	878	648	179	214	427	182	62	129	183	191	469	273	49	125	167	266	44					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	425	35	68	38	5	8	32	2	7	12	30	35	57	40	10	8	18	12	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	413	35	68	38	5	8	32	2	7	12	18	35	57	40	10	8	18	12	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	34	1	13	2	0	1	0	0	2	1	2	1	5	2	0	2	2	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	12	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	7	2	5	0	0	0	0	0	1	0	4	4	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	68	8	16	6	0	4	13	0	1	1	0	3	1	1	0	4	5	4	1					
		1.25%	0.94%	1.81%	0.92%	0.00%	1.87%	2.75%	0.00%	1.56%	0.77%	0.00%	1.49%	0.21%	0.36%	0.00%	3.20%	2.72%	1.45%	2.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	14	2	4	2	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0					
		0.26%	0.24%	0.45%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	1.60%	0.00%	1.09%	0.00%					
