Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Михайловская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119					
1	"Число избирателей, внесенных в списки избирателей"	18682	715	2493	2060	1672	1673	2006	1904	2064	843	492	445	980	1110	225					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17650	720	2500	1900	1500	1500	1800	1645	2050	830	480	460	965	1070	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11458	412	1524	1283	982	1033	1261	1092	1274	557	307	300	570	713	150					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	660	15	94	32	88	39	62	47	52	47	38	21	52	60	13					
6	Число погашенных избирательных бюллетеней	5532	293	882	585	430	428	477	506	724	226	135	139	343	297	67					
7	Число избирательных бюллетеней в переносных ящиках для голосования	660	15	94	32	88	39	62	47	52	47	38	21	52	60	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11457	412	1524	1283	982	1033	1260	1092	1274	557	307	300	570	713	150					
9	Число недействительных избирательных бюллетеней	100	5	14	7	9	4	15	10	10	7	3	4	4	7	1					
10	Число действительных избирательных бюллетеней	12017	422	1604	1308	1061	1068	1307	1129	1316	597	342	317	618	766	162					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	190	10	25	15	15	15	15	15	15	10	10	10	10	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	86	0	22	13	5	10	6	4	8	5	2	1	1	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	46	0	5	3	10	2	5	8	5	2	1	1	2	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	104	10	3	2	10	5	9	11	7	5	8	9	9	9	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	410	7	27	32	19	38	26	22	89	28	6	27	45	34	10					
		3.38%	1.64%	1.67%	2.43%	1.78%	3.54%	1.97%	1.93%	6.71%	4.64%	1.74%	8.41%	7.23%	4.40%	6.13%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	2	5	2	2	4	2	9	3	0	0	0	0	2	0					
		0.26%	0.47%	0.31%	0.15%	0.19%	0.37%	0.15%	0.79%	0.23%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	1	1	0	0	5	0	0	0	0	0	1	0					
		0.07%	0.00%	0.06%	0.08%	0.09%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1961	44	218	240	168	183	226	160	176	169	79	51	132	101	14					
		16.18%	10.30%	13.47%	18.25%	15.70%	17.07%	17.10%	14.05%	13.27%	27.98%	22.90%	15.89%	21.22%	13.07%	8.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	152	1	22	27	13	9	12	16	19	7	3	2	10	11	0					
		1.25%	0.23%	1.36%	2.05%	1.21%	0.84%	0.91%	1.40%	1.43%	1.16%	0.87%	0.62%	1.61%	1.42%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	23	0	1	0	7	2	0	8	2	0	1	0	0	1	1					
		0.19%	0.00%	0.06%	0.00%	0.65%	0.19%	0.00%	0.70%	0.15%	0.00%	0.29%	0.00%	0.00%	0.13%	0.61%					
24	7.Политическая партия «Либерально-демократическая партия России»	1011	30	123	106	83	91	111	106	71	59	42	32	49	86	22					
		8.34%	7.03%	7.60%	8.06%	7.76%	8.49%	8.40%	9.31%	5.35%	9.77%	12.17%	9.97%	7.88%	11.13%	13.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	903	27	170	102	108	86	99	71	82	21	33	27	23	46	8					
		7.45%	6.32%	10.51%	7.76%	10.09%	8.02%	7.49%	6.23%	6.18%	3.48%	9.57%	8.41%	3.70%	5.95%	4.91%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	213	53	39	17	15	9	6	3	52	4	8	2	0	5	0					
		1.76%	12.41%	2.41%	1.29%	1.40%	0.84%	0.45%	0.26%	3.92%	0.66%	2.32%	0.62%	0.00%	0.65%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7258	258	992	777	639	641	817	722	818	308	169	176	357	477	107					
		59.90%	60.42%	61.31%	59.09%	59.72%	59.79%	61.80%	63.39%	61.69%	50.99%	48.99%	54.83%	57.40%	61.71%	65.64%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	46	0	6	4	6	5	8	7	4	1	1	0	2	2	0					
