Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Восходненская поселковая												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №211									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1417	1417									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1200	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	757	757									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	12	12									
6	Число погашенных избирательных бюллетеней	431	431									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	12	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	753	753									
9	Число недействительных избирательных бюллетеней	31	31									
10	Число действительных избирательных бюллетеней	734	734									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	19	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	10	10									
14	Число погашенных неиспользованных открепительных удостоверений	6	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	9									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	27	27									
		3.53%	3.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	13	13									
		1.70%	1.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	15	15									
		1.96%	1.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	307	307									
		40.13%	40.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	5									
		0.65%	0.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	1									
		0.13%	0.13%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	201	201									
		26.27%	26.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	9									
		1.18%	1.18%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	13									
		1.70%	1.70%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0									
		0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	11									
		1.44%	1.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	96	96									
		12.55%	12.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	6									
		0.78%	0.78%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	30	30									
		3.92%	3.92%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
