Выборы Президента Российской Федерации																																																																															
Дата голосования: 02.03.2008																																																																															
																																																																															
Наименование Избирательной комиссии:    Каменск-Уральская городская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
	Число участковых избирательных комиссий	72																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	72																																																																													
																																																																															
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912					
1	"Число избирателей, включенных в списки избирателей"	152328	497	329	1134	1527	1361	2209	2098	2249	2784	1451	1316	1465	1476	2156	1494	2887	2134	2267	2431	2008	2157	2253	2110	2367	2380	2028	2243	1988	2918	2617	2970	2515	1292	2485	2843	2417	1983	2397	2644	2446	2745	2864	2502	2482	2417	1992	2778	2622	2899	2773	2166	2849	2227	2630	2025	2452	1676	2391	2576	1627	1910	2980	2559	1848	2843	2119	1888	1660	304	758	454	1986					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	146110	450	300	1100	1500	1300	2100	2000	2200	2700	1300	1200	1300	1400	2000	1400	2800	2100	2200	2300	2000	2100	2200	2000	2300	2300	1950	2200	1900	2900	2550	2500	2450	1150	2450	2800	2350	1900	2300	2550	2450	2700	2800	2450	2400	2300	1950	2600	2500	2500	2750	2100	2750	2100	2600	2000	2400	1650	2300	2600	1500	1700	2900	2500	1500	2800	2100	1800	1600	250	700	460	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	86397	230	178	601	850	817	1296	1221	1394	1717	697	588	785	877	1316	934	1768	1293	1388	1326	1227	1262	1327	1366	1399	1335	862	1241	1196	1683	1592	1684	1438	731	1555	1831	1447	1107	1310	1503	1367	1622	1729	1393	1483	1296	1137	1505	1298	1703	1577	1196	1614	1221	1272	1147	1363	942	1415	1356	969	1077	1719	1432	829	1490	1194	754	810	148	375	437	1155					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3034	51	19	3	7	27	40	105	22	23	41	40	91	11	24	100	100	30	30	35	10	20	27	20	63	37	69	19	39	30	36	34	34	98	23	45	28	47	82	40	26	42	15	14	30	36	24	198	93	54	20	47	66	26	24	34	68	31	34	41	18	160	11	21	25	45	40	70	15	8	63	7	28					
6	Число погашенных избирательных бюллетеней	56679	169	103	496	643	456	764	674	784	960	562	572	424	512	660	366	932	777	782	939	763	818	846	614	838	928	1019	940	665	1187	922	782	978	321	872	924	875	746	908	1007	1057	1036	1056	1043	887	968	789	897	1109	743	1153	857	1070	853	1304	819	969	677	851	1203	513	463	1170	1047	646	1265	866	976	775	94	262	16	717					
