Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Каменск-Уральская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК  1912					
1	"Число избирателей, внесенных в список"	148822	403	311	1050	1465	1401	2278	2181	1967	2948	1064	1205	1382	1571	1751	1407	3048	1891	2271	2496	1987	2353	2322	2111	2445	2318	1821	1999	2053	2956	2437	3020	2333	1217	2596	2956	2519	1999	2379	2679	2507	2750	2945	2198	2445	1616	1348	2548	2551	2688	2749	2915	2643	2250	2479	2067	2467	1707	2395	2375	1688	1911	2991	2998	1549	2555	2151	1846	1587	288	600	442	1983					
2	Число полученных избирательных бюллетеней	138040	350	300	950	1400	1200	2100	2000	1900	2700	1200	1200	1300	1800	1600	1300	2700	1600	2100	2200	1900	2340	2100	2200	2300	2100	1700	1800	1800	2700	2400	2700	2300	1100	2300	2600	2300	1900	2300	2500	2300	2600	2700	2000	2200	1500	1400	2200	2300	2400	2500	2700	2500	2100	2400	1900	2300	1600	2300	2400	1500	1700	2400	2700	1700	2500	2000	1700	1500	250	500	450	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	81549	149	150	478	711	725	1204	1204	1093	1675	566	518	768	824	1003	941	2141	1248	1428	1426	1203	1234	1354	1284	1535	1159	692	1044	1141	1597	1508	1908	1450	738	1617	1856	1530	1129	1316	1462	1311	1455	1623	1113	1368	824	729	1361	1205	1399	1476	1427	1406	1118	1102	1168	1305	981	1301	1223	968	1087	1605	1558	651	1393	1210	662	725	144	301	296	1045					
5	"Число избирательных бюллетеней, выданных вне помещения"	2525	56	34	8	2	32	21	87	18	25	38	46	30	25	25	97	31	14	28	46	10	13	18	20	56	18	60	21	48	34	27	31	29	75	16	30	30	36	66	40	17	32	8	6	28	21	20	127	34	29	15	32	26	28	22	38	60	23	23	26	21	130	5	16	55	24	31	78	8	0	40	143	18					
6	Число погашенных избирательных бюллетеней	53965	145	116	464	687	443	875	709	789	1000	596	636	502	951	572	262	528	338	643	728	687	1093	728	896	709	923	948	735	611	1069	865	761	821	287	667	714	740	735	918	998	972	1113	1069	881	804	655	651	712	1061	972	1009	1241	1068	954	1276	694	935	596	976	1151	511	483	790	1126	994	1083	759	960	767	106	159	11	537					
7	Число избирательных бюллетеней в переносных ящиках	2525	56	34	8	2	32	21	87	18	25	38	46	30	25	25	97	31	14	28	46	10	13	18	20	56	18	60	21	48	34	27	31	29	75	16	30	30	36	66	40	17	32	8	6	28	21	20	127	34	29	15	32	26	28	22	38	60	23	23	26	21	130	5	16	55	24	31	78	8	0	40	143	18					
8	Число бюллетеней в стационарных ящиках для голосования	81528	149	150	478	710	725	1204	1204	1093	1675	566	518	768	824	1003	941	2141	1248	1427	1426	1201	1234	1354	1284	1535	1158	692	1044	1141	1597	1508	1908	1450	738	1617	1855	1530	1129	1312	1462	1311	1455	1623	1113	1366	824	729	1361	1205	1399	1476	1425	1406	1118	1102	1168	1304	981	1301	1223	968	1087	1599	1558	651	1393	1210	662	725	144	301	296	1045					
9	Число недействительных избирательных бюллетеней	930	2	4	15	5	8	17	17	7	12	8	11	17	18	6	10	24	21	8	21	18	9	10	11	17	13	12	6	16	19	18	11	19	10	15	18	13	15	19	22	9	9	19	17	24	8	9	10	9	25	19	16	17	23	11	10	18	8	13	16	4	16	7	10	8	13	8	7	12	6	7	3	17					
10	Число действительных избирательных бюллетеней	83123	203	180	471	707	749	1208	1274	1104	1688	596	553	781	831	1022	1028	2148	1241	1447	1451	1193	1238	1362	1293	1574	1163	740	1059	1173	1612	1517	1928	1460	803	1618	1867	1547	1150	1359	1480	1319	1478	1612	1102	1370	837	740	1478	1230	1403	1472	1441	1415	1123	1113	1196	1346	996	1311	1233	985	1201	1597	1564	698	1404	1233	733	721	138	334	436	1046					
11	Число полученных открепительных  удостоверений	2991	36	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40					
12	Число выданных открепительных удостоверений	811	5	2	2	2	1	7	10	3	9	4	3	5	9	8	8	20	7	13	12	22	10	14	11	21	19	2	5	7	21	10	25	18	4	14	21	13	12	25	11	9	16	20	8	16	11	7	23	15	21	12	11	21	11	10	12	15	10	13	9	12	11	26	17	5	6	13	5	20	0	2	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	611	1	10	2	0	0	3	0	4	5	4	4	3	8	2	4	15	12	4	2	2	7	5	15	6	7	6	3	9	19	10	11	21	23	3	19	18	8	6	8	5	5	1	9	10	1	1	7	6	4	8	7	15	5	2	3	12	8	8	5	117	4	9	4	6	8	5	5	2	26	5	0	9					
14	Число неиспользованных открепительных удостоверений	2180	31	43	43	43	44	38	35	42	36	41	42	40	36	37	37	25	38	32	33	23	35	31	34	24	21	38	35	33	19	30	15	22	36	26	19	27	28	15	29	31	24	20	32	24	29	33	17	25	19	28	29	19	29	30	28	25	30	27	31	28	29	14	23	35	34	27	35	20	40	38	40	31					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	2917	5	8	12	14	26	50	58	39	65	24	8	28	38	23	18	71	53	56	50	37	55	54	35	70	52	30	32	40	83	52	53	43	19	63	78	74	46	59	69	57	42	53	28	44	36	21	67	41	40	53	67	54	27	25	65	30	32	54	39	53	30	51	49	12	42	31	15	18	0	14	4	33					
		3.47%	2.44%	4.35%	2.47%	1.97%	3.43%	4.08%	4.49%	3.51%	3.82%	3.97%	1.42%	3.51%	4.48%	2.24%	1.73%	3.27%	4.20%	3.85%	3.40%	3.06%	4.41%	3.94%	2.68%	4.40%	4.42%	3.99%	3.00%	3.36%	5.09%	3.39%	2.73%	2.91%	2.34%	3.86%	4.14%	4.74%	3.95%	4.28%	4.59%	4.29%	2.82%	3.25%	2.50%	3.16%	4.26%	2.80%	4.50%	3.31%	2.80%	3.55%	4.60%	3.77%	2.36%	2.22%	5.39%	2.20%	3.19%	4.08%	3.12%	5.36%	2.47%	3.18%	3.11%	1.70%	2.96%	2.50%	2.03%	2.46%	0.00%	4.11%	0.91%	3.10%					
19	. Малышкин Олег Александрович	2020	6	5	12	24	16	25	34	35	39	19	22	13	11	17	18	60	28	28	48	31	38	16	29	36	29	25	28	12	48	28	46	39	27	37	42	30	24	38	26	35	31	41	24	36	12	19	31	28	42	51	43	29	33	38	27	29	31	36	18	19	22	34	51	13	48	27	12	4	4	10	8	45					
		2.40%	2.93%	2.72%	2.47%	3.37%	2.11%	2.04%	2.63%	3.15%	2.29%	3.15%	3.90%	1.63%	1.30%	1.65%	1.73%	2.76%	2.22%	1.92%	3.26%	2.56%	3.05%	1.17%	2.22%	2.26%	2.47%	3.32%	2.63%	1.01%	2.94%	1.82%	2.37%	2.64%	3.32%	2.27%	2.23%	1.92%	2.06%	2.76%	1.73%	2.64%	2.08%	2.51%	2.14%	2.58%	1.42%	2.54%	2.08%	2.26%	2.94%	3.42%	2.95%	2.03%	2.88%	3.38%	2.24%	2.13%	3.09%	2.72%	1.44%	1.92%	1.81%	2.12%	3.24%	1.84%	3.39%	2.18%	1.62%	0.55%	2.78%	2.93%	1.82%	4.23%					
20	. Миронов Сергей Михайлович	607	1	1	2	6	3	11	7	7	6	5	13	3	4	3	4	10	6	5	13	8	13	17	10	11	4	10	5	28	11	12	13	6	5	7	17	13	8	6	12	7	18	15	7	15	7	9	9	12	4	15	9	8	12	7	10	13	9	9	12	7	10	10	7	1	7	8	4	3	0	3	8	6					
		0.72%	0.49%	0.54%	0.41%	0.84%	0.40%	0.90%	0.54%	0.63%	0.35%	0.83%	2.30%	0.38%	0.47%	0.29%	0.39%	0.46%	0.48%	0.34%	0.88%	0.66%	1.04%	1.24%	0.77%	0.69%	0.34%	1.33%	0.47%	2.35%	0.67%	0.78%	0.67%	0.41%	0.62%	0.43%	0.90%	0.83%	0.69%	0.44%	0.80%	0.53%	1.21%	0.92%	0.63%	1.08%	0.83%	1.20%	0.60%	0.97%	0.28%	1.01%	0.62%	0.56%	1.05%	0.62%	0.83%	0.95%	0.90%	0.68%	0.96%	0.71%	0.82%	0.62%	0.44%	0.14%	0.49%	0.64%	0.54%	0.41%	0.00%	0.88%	1.82%	0.56%					
21	. Путин Владимир Владимирович	61103	152	126	384	521	536	863	920	812	1296	438	414	557	577	785	804	1605	914	1047	1084	846	884	951	935	1088	835	522	769	867	1132	1134	1436	1104	616	1155	1409	1101	796	1033	1055	955	1093	1154	850	969	615	527	1048	921	1028	1098	1042	1013	802	842	854	1004	733	901	927	690	891	1213	1196	583	1091	934	580	569	117	255	373	732					
		72.70%	74.15%	68.48%	79.01%	73.17%	70.81%	70.45%	71.26%	73.09%	76.24%	72.52%	73.40%	69.80%	67.96%	76.36%	77.46%	73.90%	72.42%	71.96%	73.64%	69.86%	70.89%	69.31%	71.70%	68.38%	71.00%	69.41%	72.21%	72.92%	69.41%	73.88%	74.06%	74.65%	75.77%	70.73%	74.75%	70.58%	68.33%	74.96%	70.24%	71.91%	73.50%	70.75%	75.96%	69.51%	72.78%	70.36%	70.43%	74.33%	71.99%	73.64%	71.52%	70.74%	69.98%	74.91%	70.81%	73.61%	73.01%	68.05%	74.22%	69.77%	73.21%	75.62%	75.98%	82.58%	76.99%	75.26%	78.38%	77.63%	81.25%	74.78%	84.97%	68.86%					
22	. Хакамада Ирина Муцуовна	4890	11	13	24	41	41	52	68	79	114	27	38	61	45	66	80	119	74	98	75	76	87	87	85	95	65	34	65	69	97	101	126	89	38	115	93	123	114	58	98	87	72	100	91	85	51	34	77	56	77	71	86	90	54	56	76	62	59	93	60	69	71	109	96	27	43	52	24	22	6	13	9	71					
